date,t,I_observed,I_smoothed,Lambda_t,Rt_est,Rt_model_input,Rt_evaluation_proxy
2020-03-01,0,3,3,NaN,NaN,NaN,NaN
2020-03-02,1,0,1.5,NaN,NaN,NaN,NaN
2020-03-03,2,5,2.66666666666667,NaN,NaN,NaN,NaN
2020-03-04,3,13,5.25,NaN,NaN,NaN,NaN
2020-03-05,4,30,10.2,NaN,NaN,NaN,NaN
2020-03-06,5,25,12.6666666666667,NaN,NaN,NaN,NaN
2020-03-07,6,59,19.2857142857143,NaN,NaN,NaN,NaN
2020-03-08,7,33,23.5714285714286,NaN,NaN,NaN,NaN
2020-03-09,8,46,30.1428571428571,NaN,NaN,NaN,NaN
2020-03-10,9,101,43.8571428571429,NaN,NaN,NaN,NaN
2020-03-11,10,98,56,NaN,NaN,NaN,NaN
2020-03-12,11,196,79.7142857142857,NaN,NaN,NaN,NaN
2020-03-13,12,151,97.7142857142857,NaN,NaN,NaN,NaN
2020-03-14,13,152,111,NaN,NaN,NaN,NaN
2020-03-15,14,71,116.428571428571,NaN,NaN,NaN,NaN
2020-03-16,15,69,119.714285714286,NaN,NaN,NaN,NaN
2020-03-17,16,83,117.142857142857,NaN,NaN,NaN,NaN
2020-03-18,17,119,120.142857142857,NaN,NaN,NaN,NaN
2020-03-19,18,145,112.857142857143,NaN,NaN,NaN,NaN
2020-03-20,19,143,111.714285714286,NaN,NaN,NaN,NaN
2020-03-21,20,180,115.714285714286,NaN,NaN,NaN,NaN
2020-03-22,21,136,125,114.714555002489,1.08966120295099,1.08966120295099,1.08966120295099
2020-03-23,22,118,132,114.995827243011,1.14786773715759,1.14786773715759,1.14786773715759
2020-03-24,23,182,146.142857142857,115.600905283533,1.2642016667985,1.2642016667985,1.2642016667985
2020-03-25,24,230,162,117.753489187357,1.37575541173342,1.37575541173342,1.37575541173342
2020-03-26,25,314,186.142857142857,122.130396460292,1.52413209600427,1.52413209600427,1.52413209600427
2020-03-27,26,286,206.571428571429,129.207813757918,1.59875337693166,1.59875337693166,1.59875337693166
2020-03-28,27,365,233,139.498715645065,1.67026627394073,1.67026627394073,1.67026627394073
2020-03-29,28,300,256.428571428571,153.190443704897,1.67392015602846,1.67392015602846,1.67392015602846
2020-03-30,29,280,279.571428571429,170.059643350195,1.64396104251331,1.64396104251331,1.64396104251331
2020-03-31,30,416,313,189.590313699244,1.65092822461662,1.65092822461662,1.65092822461662
2020-04-01,31,474,347.857142857143,211.040384153614,1.64829657722733,1.64829657722733,1.64829657722733
2020-04-02,32,486,372.428571428571,234.256414231658,1.58983297277091,1.58983297277091,1.58983297277091
2020-04-03,33,554,410.714285714286,259.686711169824,1.58157606087782,1.58157606087782,1.58157606087782
2020-04-04,34,602,444.571428571429,287.111285314431,1.54842895877309,1.54842895877309,1.54842895877309
2020-04-05,35,357,452.714285714286,316.132919501625,1.43203778470138,1.43203778470138,1.43203778470138
2020-04-06,36,340,461.285714285714,346.546329365899,1.33109392654588,1.33109392654588,1.33109392654588
2020-04-07,37,389,457.428571428571,376.551223693425,1.21478445068338,1.21478445068338,1.21478445068338
2020-04-08,38,739,495.285714285714,403.221762451284,1.22832089040718,1.22832089040718,1.22832089040718
2020-04-09,39,654,519.285714285714,424.442910709521,1.22345243891022,1.22345243891022,1.22345243891022
2020-04-10,40,645,532.285714285714,441.682330266059,1.20513246243081,1.20513246243081,1.20513246243081
2020-04-11,41,454,511.142857142857,458.536735301086,1.11472607926872,1.11472607926872,1.11472607926872
2020-04-12,42,395,516.571428571429,476.269677320647,1.08461960349336,1.08461960349336,1.08461960349336
2020-04-13,43,464,534.285714285714,492.125649426183,1.08566931008105,1.08566931008105,1.08566931008105
2020-04-14,44,437,541.142857142857,503.430976227377,1.07490973479242,1.07490973479242,1.07490973479242
2020-04-15,45,479,504,511.303129451501,0.985716634554271,0.985716634554271,0.985716634554271
2020-04-16,46,604,496.857142857143,517.934937290802,0.959304165608305,0.959304165608305,0.959304165608305
2020-04-17,47,623,493.714285714286,521.963073649201,0.945879719541423,0.945879719541423,0.945879719541423
2020-04-18,48,689,527.285714285714,521.104071729647,1.01186258732454,1.01186258732454,1.01186258732454
2020-04-19,49,532,546.857142857143,516.330242896446,1.05912281990195,1.05912281990195,1.05912281990195
2020-04-20,50,388,536,512.233081491802,1.04639864032011,1.04639864032011,1.04639864032011
2020-04-21,51,461,539.428571428571,513.162014444071,1.05118570012037,1.05118570012037,1.05118570012037
2020-04-22,52,707,572,518.542215617872,1.10309244410974,1.10309244410974,1.10309244410974
2020-04-23,53,723,589,525.275854784599,1.12131558044207,1.12131558044207,1.12131558044207
2020-04-24,54,758,608.285714285714,533.09652669354,1.14104235129523,1.14104235129523,1.14104235129523
2020-04-25,55,781,621.428571428571,543.549688427899,1.14327831412418,1.14327831412418,1.14327831412418
2020-04-26,56,473,613,557.031875834182,1.10047562194175,1.10047562194175,1.10047562194175
2020-04-27,57,300,600.428571428571,572.401913657949,1.04896324960117,1.04896324960117,1.04896324960117
2020-04-28,58,563,615,586.841728904187,1.04798273488219,1.04798273488219,1.04798273488219
2020-04-29,59,742,620,597.210213098409,1.03816041052506,1.03816041052506,1.03816041052506
2020-04-30,60,799,630.857142857143,603.346082781379,1.04559747856312,1.04559747856312,1.04559747856312
2020-05-01,61,636,613.428571428571,607.512056936258,1.00973892521928,1.00973892521928,1.00973892521928
2020-05-02,62,532,577.857142857143,611.646150421989,0.944757262771073,0.944757262771073,0.944757262771073
2020-05-03,63,299,553,615.067037208867,0.899088987941017,0.899088987941017,0.899088987941017
2020-05-04,64,261,547.428571428571,614.297397920048,0.891145841219761,0.891145841219761,0.891145841219761
2020-05-05,65,477,535.142857142857,606.758243218281,0.881970476914213,0.881970476914213,0.881970476914213
2020-05-06,66,657,523,593.785721341652,0.880789114999747,0.880789114999747,0.880789114999747
2020-05-07,67,745,515.285714285714,578.67101217341,0.890464017456778,0.890464017456778,0.890464017456778
2020-05-08,68,785,536.571428571429,563.700203332097,0.951873753813982,0.951873753813982,0.951873753813982
2020-05-09,69,701,560.714285714286,550.089003253883,1.01931556965791,1.01931556965791,1.01931556965791
2020-05-10,70,509,590.714285714286,540.025639134466,1.09386340741351,1.09386340741351,1.09386340741351
2020-05-11,71,279,593.285714285714,536.449129912673,1.10594962542356,1.10594962542356,1.10594962542356
2020-05-12,72,455,590.142857142857,540.927566383859,1.09098314417216,1.09098314417216,1.09098314417216
