Model,ExoMode,Alpha,NumIntervalPoints,NominalCoverage,MeanCoverage,CoverageBias,AbsoluteCalibrationError,UnderCoverage,OverCoverage,MeanIntervalWidth,MeanIntervalScore,MeanWISIntervalComponent,MeanWISSharpnessComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
AR,None,0.05,2464,0.949999999999999,0.72362012987013,-0.226379870129869,0.226379870129869,0.226379870129869,0,0.0277295280543326,0.184462550751057,0.00102479194861699,0.000154052933635181,0.000869879928997613,8.59085984192499e-07
AR,None,0.1,2464,0.89999999999999,0.656655844155844,-0.243344155844145,0.243344155844145,0.243344155844145,0,0.0210381879407102,0.100948336193867,0.00112164817993185,0.000233757643785669,0.000886690701804093,1.19983434208933e-06
AR,None,0.2,2464,0.800000000000008,0.581574675324675,-0.218425324675332,0.218425324675332,0.218425324675332,0,0.0132310768739232,0.0543041549057958,0.00120675899790658,0.000294023930531626,0.000911009254593858,1.72581278109168e-06
AR,None,0.5,2464,0.5,0.342126623376623,-0.157873376623377,0.157873376623377,0.157873376623377,0,0.00416973380119232,0.0223516601531003,0.00124175889739446,0.000231651877844018,0.00100642916879884,3.67785075160698e-06
ARX,Both,0.05,2464,0.949999999999999,0.49025974025974,-0.459740259740258,0.459740259740258,0.459740259740258,0,0.0259310149692901,0.271607185226718,0.0015089288068151,0.000144061194273834,0.000978838250029544,0.000386029362511722
ARX,Both,0.1,2464,0.89999999999999,0.451298701298701,-0.448701298701288,0.448701298701288,0.448701298701288,0,0.0199141610271372,0.145126582677341,0.00161251758530379,0.000221268455857079,0.000981669694060729,0.000409579435385981
ARX,Both,0.2,2464,0.800000000000008,0.391233766233766,-0.408766233766242,0.408766233766242,0.408766233766242,0,0.013361617446386,0.0773666172535885,0.00171925816119086,0.000296924832141911,0.000985543309129901,0.000436790019919042
ARX,Both,0.5,2464,0.5,0.239448051948052,-0.260551948051948,0.260551948051948,0.260551948051948,0,0.0041404353012532,0.0312968420921249,0.0017387134495625,0.000230024183402956,0.00103999325769866,0.000468696008460883
ARX,I,0.05,2464,0.949999999999999,0.520698051948052,-0.429301948051947,0.429301948051947,0.429301948051947,0,0.0268157639217711,0.271924724752855,0.00151069291529364,0.000148976466232061,0.000975885222798142,0.000385831226263434
ARX,I,0.1,2464,0.89999999999999,0.474431818181818,-0.425568181818171,0.425568181818171,0.425568181818171,0,0.0204348783138059,0.144703996393933,0.00160782218215481,0.000227054203486733,0.000978997131807241,0.000401770846860838
