Model,ExoMode,Candidate,GlobalMeanWIS,GlobalMeanAICc,Selected
ARX,Both,[1 1 1],0.0904142015536192,NaN,0
ARX,Both,[2 1 1],0.0291399791036368,-2532.08060896703,1
ARX,Both,[1 2 1],0.117316899786132,-1351.03001607531,0
ARX,Both,[2 2 1],Inf,-2678.1906490445,0
ARX,Both,[1 1 2],0.0761023106755293,-1283.55306307243,0
ARX,Both,[2 1 2],0.0289333498278757,-2531.90342038675,0
ARX,Both,[1 2 2],0.0879649233544787,-1305.08500753351,0
ARX,Both,[2 2 2],0.0358531828377201,-2558.58281152041,0
ARX,I,[1 1 1],0.0762353942727031,-1249.55723341908,0
ARX,I,[2 1 1],0.0246605927037154,-2498.06370282052,1
ARX,I,[1 2 1],Inf,-1259.06620773633,0
ARX,I,[2 2 1],Inf,-2509.40041105946,0
ARX,I,[1 1 2],0.0758657604598922,-1249.93779740311,0
ARX,I,[2 1 2],0.0246191591810908,-2498.18038462414,0
ARX,I,[1 2 2],0.0771784825886716,-1252.31855665934,0
ARX,I,[2 2 2],0.0257326704255944,-2505.16220607853,0
ARX,S,[1 1 1],0.0803496159331603,-1268.53753550372,0
ARX,S,[2 1 1],0.0222812214234593,-2468.73522166192,1
ARX,S,[1 2 1],0.0761175696511492,-1287.96363909878,0
ARX,S,[2 2 1],0.0296144067853845,-2496.44057768897,0
ARX,S,[1 1 2],0.0780390984547092,-1260.24769553568,0
ARX,S,[2 1 2],0.0222965978959854,-2468.88870626191,0
ARX,S,[1 2 2],0.0800898074054107,-1264.93497767911,0
ARX,S,[2 2 2],0.0222273269523428,-2469.24825600623,0
AR,None,1,0.0652861972276371,-1231.7472706278,0
AR,None,2,0.0178672752611593,-2362.00497643554,1
N4SID,Both,[1 0],1.75434306934151e+189,-979.23680380144,0
N4SID,Both,[2 0],960681708.928166,-2352.66089129962,1
N4SID,I,[1 0],0.0852232719207336,-976.841800664386,0
N4SID,I,[2 0],0.045117186295638,-2178.42063545535,1
N4SID,None,[1 0],0.0716203400258524,-957.92054461784,0
N4SID,None,[2 0],0.0209834982073067,-2114.32389222272,1
N4SID,S,[1 0],0.0807061856259429,-989.39013658227,0
N4SID,S,[2 0],0.0420816754864271,-2152.82393914571,1
SSEST,Both,[1 0],0.0761493196790575,-1540.15942172508,1
SSEST,Both,[2 0],899315615535338,-2837.6457003883,0
SSEST,I,[1 0],0.0657443303232668,-1512.57771173355,1
SSEST,I,[2 0],0.146965963931023,-2731.64029562838,0
SSEST,None,[1 0],0.0498764845544132,-1234.47317638205,1
SSEST,None,[2 0],3.23978818288729e+30,-2578.76791791497,0
SSEST,S,[1 0],0.0748120522120614,-1531.74209855229,1
SSEST,S,[2 0],51.9690050141743,-2698.93565251481,0
