Scenario,Model,ExoMode,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
A1,ARX,Both,49,50,1,50,1.13649504552614,1.1364950457288,2.02657224335212e-10,2.02657224335212e-10,4.10699505752525e-20,1.56626492022996e-10,0,1.60693514050791e-10
A1,ARX,Both,49,50,2,51,1.13849466883911,1.13849466977937,9.40264754945019e-10,9.40264754945019e-10,8.84097809391817e-19,8.10392507420864e-10,0,5.14988163224928e-10
A1,ARX,Both,49,50,3,52,1.14045325319274,1.14045325597807,2.78532996667025e-09,2.78532996667025e-09,7.75806302323128e-18,2.51274236356341e-09,0,1.09346315335657e-09
A1,ARX,Both,49,50,4,53,1.14237021821622,1.14237022478757,6.57134835435613e-09,6.57134835435613e-09,4.3182619194299e-17,5.9735236140273e-09,0,2.03233657680713e-09
A1,ARX,Both,49,50,5,54,1.14424499587144,1.14424500922601,1.33545641212152e-08,1.33545641212152e-08,1.78344382867647e-16,1.23368640525534e-08,0,3.26222970858936e-09
A1,ARX,Both,49,50,6,55,1.14607703062133,1.14607705535172,2.47303899580942e-08,2.47303899580942e-08,6.11592187479405e-16,2.30748750514505e-08,0,4.88573803636427e-09
A1,ARX,Both,49,50,7,56,1.14786577959443,1.14786582232654,4.27321096285738e-08,4.27321096285738e-08,1.82603319330845e-15,4.02116208861633e-08,0,7.06228725499969e-09
A1,ARX,Both,49,50,8,57,1.14961071274585,1.14961078249836,6.97525104342844e-08,6.97525104342844e-08,4.86541271188496e-15,6.62940295128836e-08,0,9.79770176101624e-09
A1,ARX,Both,49,50,9,58,1.15131131301421,1.15131142255115,1.09536942627386e-07,1.09536942627386e-07,1.19983418001553e-14,1.04777447600895e-07,0,1.30321898828001e-08
A1,ARX,Both,49,50,10,59,1.15296707647496,1.15296724205745,1.65582491717942e-07,1.65582491717942e-07,2.74175615635222e-14,1.59703810741362e-07,0,1.69037373543013e-08
A1,ARX,Both,49,50,11,60,1.15457751248964,1.1545777562023,2.43712658720696e-07,2.43712658720696e-07,5.93958600207105e-14,2.36470871782678e-07,0,2.13452547304094e-08
A1,ARX,Both,49,50,12,61,1.15614214385133,1.1561424937785,3.49927173015629e-07,3.49927173015629e-07,1.2244902641471e-13,3.41355144786417e-07,0,2.63096092689707e-08
A1,ARX,Both,49,50,13,62,1.15766050692596,1.15766099943975,4.92513785310678e-07,4.92513785310678e-07,2.42569828721052e-13,4.8229576419133e-07,0,3.20026669609064e-08
A1,ARX,Both,49,50,14,63,1.15913215178981,1.15913283265673,6.80866928837176e-07,6.80866928837176e-07,4.63579774784168e-13,6.6879176240622e-07,0,3.86342967617637e-08
A1,ARX,Both,56,57,1,57,1.14961071274585,1.14961071306247,3.16621839857589e-10,3.16621839857589e-10,1.00249389474805e-19,2.29308799109478e-10,0,2.44442244223819e-10
A1,ARX,Both,56,57,2,58,1.15131131301421,1.1513113144397,1.42549683168625e-09,1.42549683168625e-09,2.03204121714753e-18,1.18206714786832e-09,0,7.53605011727387e-10
A1,ARX,Both,56,57,3,59,1.15296707647496,1.15296708045644,3.98148980451651e-09,3.98148980451651e-09,1.58522610634689e-17,3.53337721797292e-09,0,1.62457891583756e-09
A1,ARX,Both,56,57,4,60,1.15457751248964,1.15457752152367,9.03403019059112e-09,9.03403019059112e-09,8.16137014845119e-17,8.31595416849061e-09,0,2.8380793826166e-09
A1,ARX,Both,56,57,5,61,1.15614214385133,1.15614216185369,1.80023660423245e-08,1.80023660423245e-08,3.24085183121839e-16,1.68822685312856e-08,0,4.60025190163194e-09
A1,ARX,Both,56,57,6,62,1.15766050692596,1.1576605398814,3.29554379341346e-08,3.29554379341346e-08,1.0860608894306e-15,3.10865680950043e-08,0,6.98167429424856e-09
A1,ARX,Both,56,57,7,63,1.15913215178981,1.15913220799991,5.62101059031761e-08,5.62101059031761e-08,3.15957600564627e-15,5.3291034844231e-08,0,1.01096281346358e-08
A1,ARX,Both,56,57,8,64,1.16055664236272,1.16055673338266,9.10199382531118e-08,9.10199382531118e-08,8.28462915960029e-15,8.6648440342538e-08,0,1.39257576581286e-08
A1,ARX,Both,56,57,9,65,1.1619335565374,1.16193369742272,1.40885320965012e-07,1.40885320965012e-07,1.98486736634144e-14,1.34825922422828e-07,0,1.84884358933601e-08
A1,ARX,Both,56,57,10,66,1.16326248630447,1.16326269694157,2.10637099762323e-07,2.10637099762323e-07,4.43679877962828e-14,2.0254455364515e-07,0,2.39187055717238e-08
A1,ARX,Both,56,57,11,67,1.16454303787336,1.16454334385029,3.05976931347374e-07,3.05976931347374e-07,9.36218825167554e-14,2.95567757797106e-07,0,3.01466305252518e-08
A1,ARX,Both,56,57,12,68,1.16577483178899,1.16577526569871,4.33909713049019e-07,4.33909713049019e-07,1.88277639078282e-13,4.20651314778395e-07,0,3.7752943271574e-08
A1,ARX,Both,56,57,13,69,1.16695750304426,1.16695810570726,6.02663001503245e-07,6.02663001503245e-07,3.63202693380901e-13,5.86203302488375e-07,0,4.64147226764133e-08
A1,ARX,Both,56,57,14,70,1.16809070118813,1.16809152356961,8.22381485132695e-07,8.22381485132695e-07,6.76311307089057e-13,8.02142649726346e-07,0,5.67303607423852e-08
A1,ARX,Both,63,64,1,64,1.16055664236272,1.16055664281627,4.53555637491831e-10,4.53555637491831e-10,2.05712716300622e-19,3.31951477416936e-10,0,2.84241463699431e-10
A1,ARX,Both,63,64,2,65,1.1619335565374,1.16193355858413,2.04672834236419e-09,2.04672834236419e-09,4.18909690743687e-18,1.64707681197621e-09,0,9.87041837152702e-10
