HorizonIdx,GroupCount,MeanWIS,MeanError,MeanAbsoluteError,MeanSquaredError,MeanCoverage,MeanIntervalWidth
1,176,0.000139696819105733,5.29833993684557e-05,0.000252926073396039,2.77282339770937e-07,0.491477272727273,0.000848105525617303
2,176,0.000453312536782799,0.000165550036346429,0.000778428459768428,2.51017634002177e-06,0.436079545454545,0.00199076141007038
3,176,0.000971769299004733,0.000344300883627541,0.00159611760401075,1.05909675541639e-05,0.394886363636364,0.00336407119739505
4,176,0.00171797084836789,0.000565987203244187,0.00272479918217651,3.15955786378161e-05,0.362215909090909,0.00493800151926143
5,176,0.00270468797929928,0.000796492088075973,0.00413249773453006,7.5972422335671e-05,0.330965909090909,0.00667124976289359
6,176,0.00394414814555042,0.00109205607793768,0.0058591106408452,0.000158004106457697,0.305397727272727,0.0085759906746099
7,176,0.00544835914541259,0.00142986172234285,0.00789915451212485,0.000294538804554565,0.294034090909091,0.0106048220853045
8,176,0.00720372172089537,0.00185889662003424,0.010258658638958,0.000504548201795066,0.282670454545455,0.0127347456716524
9,176,0.0091749723237417,0.00231607706776418,0.0128746949679406,0.000800275102139097,0.272727272727273,0.0150130986953381
10,176,0.0113789313721827,0.00289415338612361,0.0158253282104448,0.00119387568601391,0.272727272727273,0.0173872462904953
11,176,0.0137893345884763,0.00357097709567432,0.019042267763196,0.00168033418097797,0.271306818181818,0.0198343125799412
12,176,0.0164095653549372,0.00435291112547568,0.022466690051516,0.00225705029211437,0.267045454545455,0.0223461825727125
13,176,0.0192252060043199,0.0053373042288077,0.0261602411039489,0.0029280391112072,0.261363636363636,0.0249226328631571
14,176,0.0222267620810377,0.0063834673859278,0.0300053229324356,0.00366196680220462,0.242897727272727,0.0275708281453635
