Model,ExoMode,HorizonIdx,GroupCount,MeanForecastDrivenAbsoluteError,MeanPersistenceRtAbsoluteError,MeanAbsoluteErrorImprovement
AR,None,1,176,2.45630693815083e-13,2.45630693815083e-13,0
AR,None,2,176,0.0650919653264554,1.31027042252657,1.24517845720011
AR,None,3,176,0.249660457117814,3.92539014551802,3.67572968840021
AR,None,4,176,0.596133190919091,7.83453524784693,7.23840205692784
AR,None,5,176,1.14458718965025,13.0173535561698,11.8727663665195
AR,None,6,176,1.9285028867313,19.4467525882845,17.5182497015532
AR,None,7,176,2.97472797729597,27.1081799217237,24.1334519444277
AR,None,8,176,4.28999392383608,35.9855770018393,31.6955830780032
AR,None,9,176,5.90651102423627,46.0338235942615,40.1273125700253
AR,None,10,176,7.84680617446437,57.2270525068552,49.3802463323908
AR,None,11,176,10.1407872331977,69.6045116747132,59.4637244415155
AR,None,12,176,12.7843258169902,83.0943370394095,70.3100112224193
AR,None,13,176,15.8167527053976,97.7021273546157,81.8853746492181
AR,None,14,176,19.2490053964062,113.381009119399,94.132003722993
ARX,I,1,176,2.45630693815083e-13,2.45630693815083e-13,0
ARX,I,2,176,0.0759971749723549,1.31027042252657,1.23427324755421
ARX,I,3,176,0.304659818095331,3.92539014551802,3.62073032742269
ARX,I,4,176,0.770512385617513,7.83453524784693,7.06402286222941
ARX,I,5,176,1.55169236135943,13.0173535561698,11.4656611948103
ARX,I,6,176,2.73595283543223,19.4467525882845,16.7107997528523
ARX,I,7,176,4.40421461189729,27.1081799217237,22.7039653098264
ARX,I,8,176,6.62154773048191,35.9855770018393,29.3640292713574
ARX,I,9,176,9.44660050376318,46.0338235942615,36.5872230904984
ARX,I,10,176,12.93374542788,57.2270525068552,44.2933070789752
ARX,I,11,176,17.1263027282185,69.6045116747132,52.4782089464947
ARX,I,12,176,22.0718172991069,83.0943370394095,61.0225197403026
ARX,I,13,176,27.8244333284525,97.7021273546157,69.8776940261632
ARX,I,14,176,34.4127592523503,113.381009119399,78.968249867049
N4SID,I,1,176,2.45630693815083e-13,2.45630693815083e-13,0
N4SID,I,2,176,0.315281266105105,1.31027042252657,0.994989156421461
N4SID,I,3,176,0.795860058270493,3.92539014551802,3.12953008724753
N4SID,I,4,176,1.68480412171034,7.83453524784693,6.14973112613658
N4SID,I,5,176,2.81361027556754,13.0173535561698,10.2037432806022
N4SID,I,6,176,4.52000884949132,19.4467525882845,14.9267437387932
N4SID,I,7,176,6.49595538520804,27.1081799217237,20.6122245365156
N4SID,I,8,176,9.22231424915045,35.9855770018393,26.7632627526888
N4SID,I,9,176,12.2328768393759,46.0338235942615,33.8009467548857
N4SID,I,10,176,16.1880236358522,57.2270525068552,41.0390288710031
N4SID,I,11,176,20.355281954322,69.6045116747132,49.2492297203912
N4SID,I,12,176,25.6856529739379,83.0943370394095,57.4086840654716
N4SID,I,13,176,31.0125410085129,97.7021273546157,66.6895863461028
N4SID,I,14,176,37.7271350137533,113.381009119399,75.6538741056459
SSEST,I,1,176,2.45630693815083e-13,2.45630693815083e-13,0
SSEST,I,2,176,0.238129949147606,1.31027042252657,1.07214047337896
SSEST,I,3,176,0.59159593539227,3.92539014551802,3.33379421012575
SSEST,I,4,176,1.28186653189522,7.83453524784693,6.5526687159517
SSEST,I,5,176,2.12839788104411,13.0173535561698,10.8889556751257
SSEST,I,6,176,3.4558219000405,19.4467525882845,15.990930688244
SSEST,I,7,176,4.95601953843599,27.1081799217237,22.1521603832877
SSEST,I,8,176,7.09564597852293,35.9855770018393,28.8899310233164
SSEST,I,9,176,9.39753875600471,46.0338235942615,36.6362848382568
SSEST,I,10,176,12.5303089962204,57.2270525068552,44.6967435106348
SSEST,I,11,176,15.757171922522,69.6045116747132,53.8473397521912
SSEST,I,12,176,20.0140954230269,83.0943370394095,63.0802416163826
SSEST,I,13,176,24.1208924543641,97.7021273546157,73.5812349002516
SSEST,I,14,176,29.4817969533014,113.381009119399,83.8992121660978
