Scenario,Model,ExoMode,WindowDay,WindowDayIdx,ForecastDrivenRMSE,ForecastDrivenMAE,PersistenceRtRMSE,PersistenceRtMAE
A1,ARX,Both,49,50,8.3267704002342e-05,4.59395741521413e-05,12.2617175768036,8.99682107175032
A1,ARX,Both,56,57,0.000123466635006161,6.86663546503041e-05,12.067819824155,8.85921167700339
A1,ARX,Both,63,64,0.000183843366257068,0.000103465951285995,11.3202188646485,8.32788355309651
A1,ARX,Both,70,71,0.000258632952873027,0.000146559952554526,9.7476319271885,7.20770369699513
A1,ARX,Both,77,78,0.00035593157561676,0.000202607568959528,7.01377497562333,5.25436666144922
A1,ARX,Both,84,85,0.000472505605338997,0.000270619946734639,2.74519331701475,2.17966847719804
A1,ARX,Both,91,92,0.000607726433800969,0.000350952421838104,3.64289471278349,2.33132900723558
A1,ARX,Both,98,99,0.000725353080812104,0.000422235304800519,12.3130008433676,8.58732198972958
A1,ARX,Both,105,106,0.000759220881084682,0.000445883246941646,23.7388881854315,16.8400194132754
A1,ARX,Both,112,113,0.00058418530661929,0.00035000538550126,38.0489552255276,27.2177775655361
A1,ARX,Both,119,120,4.28576066877916e-05,2.36807387149643e-05,55.1094433121749,39.6518838298979
A1,ARX,Both,126,127,0.00147676457673789,0.000845162354380591,74.4227486680137,53.8106908243949
A1,ARX,Both,133,134,0.00437019938406431,0.00254993090753227,95.0824706947927,69.0621227268346
A1,ARX,Both,140,141,0.00988737454932937,0.00583173623480044,115.79997309429,84.4856299754751
A1,ARX,Both,147,148,0.0192685796569884,0.0114409826754646,135.01884754882,98.9478249222496
A1,ARX,Both,154,155,0.0349651714483195,0.0208907874428925,151.113133434544,111.241343916535
A1,ARX,Both,161,162,0.0604501142299924,0.0363067791284785,162.638288186527,120.266891244435
A1,ARX,Both,168,169,0.0991630514095722,0.0597612288179984,168.579959560451,125.220017344299
A1,ARX,Both,175,176,0.153684793165892,0.092921282964718,168.534449681483,125.734252576073
A1,ARX,Both,182,183,0.208993276927008,0.12667020308293,162.763721631181,121.93658747407
A1,ARX,Both,189,190,0.229831750324736,0.139196765703803,152.099944148211,114.392729649442
A1,ARX,Both,196,197,0.170918814205771,0.103721789637348,137.727526914456,103.956906542929
A1,ARX,Both,203,204,0.0402497086463766,0.0250122908564013,120.928489272853,91.5840398037199
A1,ARX,Both,210,211,0.0760340601069069,0.0438604957616267,102.898018141353,78.1826347754038
A1,ARX,Both,217,218,0.142226724586527,0.0844780725720479,84.6790259923909,64.5523074921721
A1,ARX,Both,224,225,0.143649339337883,0.0866004006944162,67.1645079531648,51.3784070274079
A1,ARX,Both,231,232,0.105192660540546,0.0641685148607394,51.0853472341665,39.2242621345695
A1,ARX,Both,238,239,0.0691671957921592,0.042908107835826,36.9652827487337,28.5004062790646
A1,ARX,Both,245,246,0.0461194824135473,0.0287678236276341,25.0846764260829,19.4366991167723
A1,ARX,Both,252,253,0.0321761279986823,0.0202756441693899,15.4879329075841,12.0843957095143
A1,ARX,Both,259,260,0.0229019259685678,0.0144199308370259,8.03317334903573,6.34970413922731
A1,ARX,Both,266,267,0.0181636744452575,0.0115241950517852,2.47076953031965,2.04329395955407
A1,ARX,Both,273,274,0.0150463892010846,0.00949759309220813,1.63263219100205,1.07121005847104
A1,ARX,Both,280,281,0.0132405044979114,0.00836701121946654,4.39708636808428,3.23565704303811
A1,ARX,Both,287,288,0.0121901488144027,0.00777227867307114,6.25014981575648,4.67723193594176
A1,ARX,Both,294,295,0.0119122621450716,0.00756064621664011,7.42435476111812,5.58940055221035
A1,ARX,Both,301,302,0.0102473286501042,0.00647335142571949,8.1229637068487,6.13010843371196
A1,ARX,Both,308,309,0.00949046281683388,0.00602313093729176,8.50490215418731,6.42250383368597
A1,ARX,Both,315,316,0.00797088527491144,0.00506645199069616,8.68970667311669,6.55931300642936
A1,ARX,Both,322,323,0.00608795854258563,0.00386958088868791,8.76476850233843,6.60839102832371
A1,ARX,Both,329,330,0.00467936196502369,0.0030035827891522,8.79256721922356,6.61824742824867
A1,ARX,Both,336,337,0.0028315800215187,0.00183142314134394,8.81699474300079,6.62290757019901
A1,ARX,Both,343,344,0.000195422266085864,0.000144280332896025,8.86843482387444,6.64584514839221
A1,ARX,Both,350,351,0.00234736896975312,0.00144148792587576,8.96754662324916,6.70293603138635
A1,ARX,I,49,50,1.38877289399462e-06,7.37831994358982e-07,12.2617175768036,8.99682107175032
A1,ARX,I,56,57,3.18402884648973e-06,1.70341758933189e-06,12.067819824155,8.85921167700339
A1,ARX,I,63,64,6.6325684104717e-06,3.5771802718695e-06,11.3202188646485,8.32788355309651
A1,ARX,I,70,71,1.23746509166933e-05,6.7052288191657e-06,9.7476319271885,7.20770369699513
A1,ARX,I,77,78,2.1266805562296e-05,1.15625301110153e-05,7.01377497562333,5.25436666144922
A1,ARX,I,84,85,3.48503751354603e-05,1.90102642981011e-05,2.74519331701475,2.17966847719804
A1,ARX,I,91,92,5.46478653123268e-05,2.99573507943153e-05,3.64289471278349,2.33132900723558
A1,ARX,I,98,99,8.21306003538442e-05,4.52000037642262e-05,12.3130008433676,8.58732198972958
A1,ARX,I,105,106,0.000117494331406896,6.49906451144489e-05,23.7388881854315,16.8400194132754
A1,ARX,I,112,113,0.000164844140451537,9.14571191320387e-05,38.0489552255276,27.2177775655361
A1,ARX,I,119,120,0.000224885301267798,0.000125043726062099,55.1094433121749,39.6518838298979
A1,ARX,I,126,127,0.000308448780036995,0.000172482767473931,74.4227486680137,53.8106908243949
A1,ARX,I,133,134,0.000423930481406487,0.000237987338875558,95.0824706947927,69.0621227268346
A1,ARX,I,140,141,0.000573749464530849,0.00032309125357902,115.79997309429,84.4856299754751
A1,ARX,I,147,148,0.000761789081509774,0.00043089294539251,135.01884754882,98.9478249222496
A1,ARX,I,154,155,0.000994717500047371,0.000564912853535913,151.113133434544,111.241343916535
A1,ARX,I,161,162,0.00127284671228404,0.000726460242471408,162.638288186527,120.266891244435
A1,ARX,I,168,169,0.00146556330659989,0.00084196698454824,168.579959560451,125.220017344299
A1,ARX,I,175,176,0.00155176393680567,0.000895164741320644,168.534449681483,125.734252576073
A1,ARX,I,182,183,0.0012739268265975,0.000745434690933117,162.763721631181,121.93658747407
A1,ARX,I,189,190,0.000623632672389748,0.000374976121682786,152.099944148211,114.392729649442
A1,ARX,I,196,197,0.00052457489420082,0.000284250412538053,137.727526914456,103.956906542929
A1,ARX,I,203,204,0.00181723920779217,0.00103881508818761,120.928489272853,91.5840398037199
A1,ARX,I,210,211,0.00267178248664465,0.00154431407424584,102.898018141353,78.1826347754038
A1,ARX,I,217,218,0.00263583169023591,0.00153228950232785,84.6790259923909,64.5523074921721
A1,ARX,I,224,225,0.00209101972987508,0.00121578104835862,67.1645079531648,51.3784070274079
A1,ARX,I,231,232,0.00146667397440269,0.000854781980446465,51.0853472341665,39.2242621345695
A1,ARX,I,238,239,0.00103227962184873,0.000607439787147866,36.9652827487337,28.5004062790646
A1,ARX,I,245,246,0.000571881208825967,0.000336715851355101,25.0846764260829,19.4366991167723
A1,ARX,I,252,253,0.000269038256903532,0.000161844928178263,15.4879329075841,12.0843957095143
A1,ARX,I,259,260,6.21861711997319e-05,3.4425738671676e-05,8.03317334903573,6.34970413922731
A1,ARX,I,266,267,0.000264234672737968,0.000153404028472843,2.47076953031965,2.04329395955407
A1,ARX,I,273,274,0.000472681154459997,0.000274896131957446,1.63263219100205,1.07121005847104
A1,ARX,I,280,281,0.000621584281813182,0.000362907894181522,4.39708636808428,3.23565704303811
A1,ARX,I,287,288,0.00068340253946829,0.000400325604167457,6.25014981575648,4.67723193594176
A1,ARX,I,294,295,0.000717176167298979,0.000421591231819158,7.42435476111812,5.58940055221035
A1,ARX,I,301,302,0.000693239021907147,0.000406338040095631,8.1229637068487,6.13010843371196
A1,ARX,I,308,309,0.000648328558301842,0.000380754296941177,8.50490215418731,6.42250383368597
A1,ARX,I,315,316,0.000560764160062658,0.000329522621598244,8.68970667311669,6.55931300642936
A1,ARX,I,322,323,0.000458476564216038,0.000269588890408353,8.76476850233843,6.60839102832371
A1,ARX,I,329,330,0.000356976367454833,0.000208775779429158,8.79256721922356,6.61824742824867
A1,ARX,I,336,337,0.000235423274265046,0.000137903710286277,8.81699474300079,6.62290757019901
A1,ARX,I,343,344,0.000126058048512961,7.36671865532961e-05,8.86843482387444,6.64584514839221
A1,ARX,I,350,351,8.97999816165939e-06,5.74031789061077e-06,8.96754662324916,6.70293603138635
A1,ARX,S,49,50,6.79609242268228e-05,3.75916443268969e-05,12.2617175768036,8.99682107175032
A1,ARX,S,56,57,0.000105316843609699,5.87100562045505e-05,12.067819824155,8.85921167700339
A1,ARX,S,63,64,0.000159426784589466,8.98894840182558e-05,11.3202188646485,8.32788355309651
A1,ARX,S,70,71,0.000223653968404234,0.000126994788112305,9.7476319271885,7.20770369699513
A1,ARX,S,77,78,0.000299615950614843,0.000170973369790772,7.01377497562333,5.25436666144922
A1,ARX,S,84,85,0.000377427244406164,0.000216804946100118,2.74519331701475,2.17966847719804
A1,ARX,S,91,92,0.000434674475548905,0.000252394630121801,3.64289471278349,2.33132900723558
A1,ARX,S,98,99,0.000404331520734499,0.000238745248550133,12.3130008433676,8.58732198972958
A1,ARX,S,105,106,0.000133693458757572,8.46630494249569e-05,23.7388881854315,16.8400194132754
A1,ARX,S,112,113,0.000682943125784275,0.0003838137612807,38.0489552255276,27.2177775655361
A1,ARX,S,119,120,0.00265826103399976,0.00153167146033541,55.1094433121749,39.6518838298979
A1,ARX,S,126,127,0.00732314662838567,0.00427119145076306,74.4227486680137,53.8106908243949
A1,ARX,S,133,134,0.0179039824450993,0.0105335228630403,95.0824706947927,69.0621227268346
A1,ARX,S,140,141,0.0392756332898471,0.0233040631520843,115.79997309429,84.4856299754751
A1,ARX,S,147,148,0.0548986108700277,0.0330694107158576,135.01884754882,98.9478249222496
A1,ARX,S,154,155,0.0262298542349131,0.0161658278831445,151.113133434544,111.241343916535
A1,ARX,S,161,162,0.000352953138904051,0.000233731756192615,162.638288186527,120.266891244435
A1,ARX,S,168,169,0.00717708212625959,0.00437014251383516,168.579959560451,125.220017344299
A1,ARX,S,175,176,0.00653491818053445,0.00409779415349476,168.534449681483,125.734252576073
A1,ARX,S,182,183,0.000578339688809521,0.000381760721341249,162.763721631181,121.93658747407
A1,ARX,S,189,190,0.0113360527356095,0.00680535448275675,152.099944148211,114.392729649442
A1,ARX,S,196,197,0.02441681029838,0.0148974815050289,137.727526914456,103.956906542929
A1,ARX,S,203,204,0.0382836850648692,0.0236631237354621,120.928489272853,91.5840398037199
A1,ARX,S,210,211,0.047262259327503,0.0294699566963053,102.898018141353,78.1826347754038
A1,ARX,S,217,218,0.0487764199342388,0.0305139209245421,84.6790259923909,64.5523074921721
A1,ARX,S,224,225,0.0425372612547064,0.0266408897398703,67.1645079531648,51.3784070274079
A1,ARX,S,231,232,0.0313194078426054,0.0197470803928549,51.0853472341665,39.2242621345695
A1,ARX,S,238,239,0.0198712590139355,0.0125681445280017,36.9652827487337,28.5004062790646
A1,ARX,S,245,246,0.00899020451002082,0.00571220307168525,25.0846764260829,19.4366991167723
A1,ARX,S,252,253,0.000881066706602949,0.000652293936160017,15.4879329075841,12.0843957095143
A1,ARX,S,259,260,0.0052897575739404,0.00325053943064242,8.03317334903573,6.34970413922731
A1,ARX,S,266,267,0.00931463658854313,0.0058207847188539,2.47076953031965,2.04329395955407
A1,ARX,S,273,274,0.0123383749433724,0.00769887827570009,1.63263219100205,1.07121005847104
A1,ARX,S,280,281,0.0150850985697692,0.00947417121981938,4.39708636808428,3.23565704303811
A1,ARX,S,287,288,0.0162106732304139,0.0101965211815208,6.25014981575648,4.67723193594176
A1,ARX,S,294,295,0.017449179925447,0.0110274450958465,7.42435476111812,5.58940055221035
A1,ARX,S,301,302,0.0176586001103115,0.011124272405425,8.1229637068487,6.13010843371196
A1,ARX,S,308,309,0.0180158455458384,0.0113818385580008,8.50490215418731,6.42250383368597
A1,ARX,S,315,316,0.01786503903478,0.0112844346871108,8.68970667311669,6.55931300642936
A1,ARX,S,322,323,0.0166646996788469,0.0105233008399718,8.76476850233843,6.60839102832371
A1,ARX,S,329,330,0.0156397380100424,0.0098516284067419,8.79256721922356,6.61824742824867
A1,ARX,S,336,337,0.0140828198236549,0.00886128374184685,8.81699474300079,6.62290757019901
A1,ARX,S,343,344,0.0114826506755533,0.00721489824555631,8.86843482387444,6.64584514839221
A1,ARX,S,350,351,0.00937247463615639,0.00584623630844508,8.96754662324916,6.70293603138635
A1,AR,None,49,50,0.0164056372080192,0.00889760744493222,12.2617175768036,8.99682107175032
A1,AR,None,56,57,0.0073470925805218,0.00397696292446881,12.067819824155,8.85921167700339
A1,AR,None,63,64,0.00346793914615848,0.00187430614559097,11.3202188646485,8.32788355309651
A1,AR,None,70,71,0.00155994778171307,0.000843720607284532,9.7476319271885,7.20770369699513
A1,AR,None,77,78,0.000757245268228895,0.000410294396731712,7.01377497562333,5.25436666144922
A1,AR,None,84,85,0.000285586339564735,0.000155580325278087,2.74519331701475,2.17966847719804
A1,AR,None,91,92,4.43910978428721e-06,2.89272650531659e-06,3.64289471278349,2.33132900723558
A1,AR,None,98,99,0.000102223350771659,5.62718447391879e-05,12.3130008433676,8.58732198972958
A1,AR,None,105,106,0.000397693062002477,0.0002141826303484,23.7388881854315,16.8400194132754
A1,AR,None,112,113,0.000785272952920994,0.00042688588749635,38.0489552255276,27.2177775655361
A1,AR,None,119,120,0.00105629447772435,0.000574294137030457,55.1094433121749,39.6518838298979
A1,AR,None,126,127,0.0010509490388666,0.000571459147197727,74.4227486680137,53.8106908243949
A1,AR,None,133,134,0.000828648110564235,0.000453283088453255,95.0824706947927,69.0621227268346
A1,AR,None,140,141,0.000424763155815578,0.00023325958902985,115.79997309429,84.4856299754751
A1,AR,None,147,148,9.0592206979696e-05,5.52708593204443e-05,135.01884754882,98.9478249222496
A1,AR,None,154,155,0.000368211621117938,0.000197608313750866,151.113133434544,111.241343916535
A1,AR,None,161,162,0.000718040615790934,0.000388182259874676,162.638288186527,120.266891244435
A1,AR,None,168,169,0.00101234006021688,0.000556169972307024,168.579959560451,125.220017344299
A1,AR,None,175,176,0.000904310734664395,0.000496326596865921,168.534449681483,125.734252576073
A1,AR,None,182,183,0.000419552983150847,0.000231321043429489,162.763721631181,121.93658747407
A1,AR,None,189,190,5.57404462921524e-05,3.00834889068418e-05,152.099944148211,114.392729649442
A1,AR,None,196,197,0.000356243063703019,0.000198327723540258,137.727526914456,103.956906542929
A1,AR,None,203,204,0.000595194529218025,0.000330661157282261,120.928489272853,91.5840398037199
A1,AR,None,210,211,0.000756229697675297,0.000416248034590743,102.898018141353,78.1826347754038
A1,AR,None,217,218,0.00107598648436359,0.000607164412096089,84.6790259923909,64.5523074921721
A1,AR,None,224,225,0.000886015204424724,0.000495736487209797,67.1645079531648,51.3784070274079
A1,AR,None,231,232,0.000818661031350614,0.000455888095530099,51.0853472341665,39.2242621345695
A1,AR,None,238,239,0.000713976200409778,0.000400090548932245,36.9652827487337,28.5004062790646
A1,AR,None,245,246,0.000586050206773187,0.000328898760082146,25.0846764260829,19.4366991167723
A1,AR,None,252,253,0.00046921725907659,0.000264943860721749,15.4879329075841,12.0843957095143
A1,AR,None,259,260,0.000272767297591955,0.000154397134532961,8.03317334903573,6.34970413922731
A1,AR,None,266,267,9.19364197223789e-05,5.17501898197484e-05,2.47076953031965,2.04329395955407
A1,AR,None,273,274,5.04534120293426e-06,3.29047707379816e-06,1.63263219100205,1.07121005847104
A1,AR,None,280,281,4.42960360721767e-05,2.47515090125359e-05,4.39708636808428,3.23565704303811
A1,AR,None,287,288,6.53572860621721e-05,3.6329359236983e-05,6.25014981575648,4.67723193594176
A1,AR,None,294,295,7.84141808296842e-05,4.43103874415231e-05,7.42435476111812,5.58940055221035
A1,AR,None,301,302,5.05027258590239e-05,2.8378765396805e-05,8.1229637068487,6.13010843371196
A1,AR,None,308,309,5.24079211570746e-05,2.98166782174901e-05,8.50490215418731,6.42250383368597
A1,AR,None,315,316,3.27253755464394e-05,1.85474962190061e-05,8.68970667311669,6.55931300642936
A1,AR,None,322,323,8.54048778493269e-06,5.26399795067586e-06,8.76476850233843,6.60839102832371
A1,AR,None,329,330,2.23919094850172e-05,1.20203838248147e-05,8.79256721922356,6.61824742824867
A1,AR,None,336,337,4.598562529642e-05,2.51216806321151e-05,8.81699474300079,6.62290757019901
A1,AR,None,343,344,7.33836372211432e-05,4.02272910987124e-05,8.86843482387444,6.64584514839221
A1,AR,None,350,351,7.18910401873549e-05,3.94640344763632e-05,8.96754662324916,6.70293603138635
A1,N4SID,I,49,50,0.00882642189505747,0.00573415683081586,12.2617175768036,8.99682107175032
A1,N4SID,I,56,57,0.00509398756599982,0.00335132296695357,12.067819824155,8.85921167700339
A1,N4SID,I,63,64,0.0025268796323695,0.00177215743204735,11.3202188646485,8.32788355309651
A1,N4SID,I,70,71,0.00342428536314317,0.00198090247748236,9.7476319271885,7.20770369699513
A1,N4SID,I,77,78,0.0195441804491811,0.012259284421946,7.01377497562333,5.25436666144922
A1,N4SID,I,84,85,0.055070352324262,0.0349571102544327,2.74519331701475,2.17966847719804
A1,N4SID,I,91,92,0.138629315714988,0.0888393811694641,3.64289471278349,2.33132900723558
A1,N4SID,I,98,99,0.275339978698169,0.177111103213162,12.3130008433676,8.58732198972958
A1,N4SID,I,105,106,0.528580224171457,0.341946914952002,23.7388881854315,16.8400194132754
A1,N4SID,I,112,113,0.966874907846793,0.630051225147846,38.0489552255276,27.2177775655361
A1,N4SID,I,119,120,1.33227584028713,0.874355413759336,55.1094433121749,39.6518838298979
A1,N4SID,I,126,127,1.53830861612034,1.01438347295347,74.4227486680137,53.8106908243949
A1,N4SID,I,133,134,0.421766409274985,0.280121602693271,95.0824706947927,69.0621227268346
A1,N4SID,I,140,141,0.50973103741708,0.3468448376028,115.79997309429,84.4856299754751
