Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,1,50,1.13649504552614,0.05,0.95,1.13649509629478,1.13649545089474,0,3.54599958951596e-07,-0.95,0.95,2.38534543295366e-06,5.96336358238414e-08,8.8649989737899e-09,5.07686368500515e-08,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,2,51,1.13849466883911,0.05,0.95,1.13849496862602,1.13849579350044,0,8.24874423654975e-07,-0.95,0.95,1.28163507333579e-05,3.20408768333946e-07,2.06218605913744e-08,2.99786907742572e-07,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,3,52,1.14045325319274,0.05,0.95,1.14045421244258,1.1404554624422,0,1.249999618258e-06,-0.95,0.95,3.96199932983787e-05,9.90499832459468e-07,3.124999045645e-08,9.59249842003018e-07,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,4,53,1.14237021821622,0.05,0.95,1.14237221564555,1.14237385838496,0,1.64273940250759e-06,-0.95,0.95,8.1539912742068e-05,2.0384978185517e-06,4.10684850626897e-08,1.99742933348901e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,5,54,1.14424499587144,0.05,0.95,1.14424846875458,1.14425070332873,0,2.23457415438055e-06,-0.95,0.95,0.000141149899494986,3.52874748737464e-06,5.58643538595138e-08,3.47288313351513e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,6,55,1.14607703062133,0.05,0.95,1.1460824713771,1.14608546519517,0,2.99381807122856e-06,-0.95,0.95,0.00022062404891221,5.51560122280526e-06,7.4845451780714e-08,5.44075577102454e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,7,56,1.14786577959443,0.05,0.95,1.147873825714,1.14787752406826,0,3.6983542612834e-06,-0.95,0.95,0.000325543136934892,8.13857842337229e-06,9.2458856532085e-08,8.0461195668402e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,8,57,1.14961071274585,0.05,0.95,1.14962207228117,1.14962644740534,0,4.37512416850971e-06,-0.95,0.95,0.000458756537028426,1.14689134257107e-05,1.09378104212743e-07,1.13595353214979e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,9,58,1.15131131301421,0.05,0.95,1.15132677904595,1.15133187856169,0,5.09951573191003e-06,-0.95,0.95,0.00062374078562355,1.55935196405887e-05,1.27487893297751e-07,1.5466031747291e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,10,59,1.15296707647496,0.05,0.95,1.15298755237347,1.15299353243491,0,5.98006143515128e-06,-0.95,0.95,0.000825016002113044,2.06254000528261e-05,1.49501535878782e-07,2.04758985169473e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,11,60,1.15457751248964,0.05,0.95,1.15460412708743,1.15461097678637,0,6.84969894426679e-06,-0.95,0.95,0.00107143361038742,2.67858402596854e-05,1.7124247360667e-07,2.66145977860788e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,12,61,1.15614214385133,0.05,0.95,1.15617628930955,1.15618375950648,0,7.47019692792783e-06,-0.95,0.95,0.00137328852571916,3.43322131429791e-05,1.86754923198196e-07,3.41454582197809e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,13,62,1.15766050692596,0.05,0.95,1.15770310599979,1.15771169494195,0,8.58894216060335e-06,-0.95,0.95,0.00171255189520858,4.28137973802145e-05,2.14723554015084e-07,4.25990738261994e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,14,63,1.15913215178981,0.05,0.95,1.15918467565599,1.15919430688455,0,9.63122855468512e-06,-0.95,0.95,0.00211058587600954,5.27646469002385e-05,2.40780713867128e-07,5.25238661863714e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,1,50,1.13649504552614,0.1,0.9,1.13649509629478,1.13649538756247,0,2.91267695295971e-07,-0.9,0.9,1.306640432297e-06,6.53320216148501e-08,1.45633847647986e-08,5.07686368500515e-08,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,2,51,1.13849466883911,0.1,0.9,1.13849510406618,1.13849575476282,0,6.50696637016779e-07,-0.9,0.9,9.35523804024285e-06,4.67761902012143e-07,3.25348318508389e-08,4.35227070161304e-07,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,3,52,1.14045325319274,0.1,0.9,1.14045437406762,1.14045540570037,0,1.03163274545182e-06,-0.9,0.9,2.34491303459095e-05,1.17245651729547e-06,5.15816372725908e-08,1.12087488002288e-06,0
