Model,ExoMode,Alpha,NominalCoverage,GroupCount,MeanCoverage,MeanIntervalWidth
AR,None,0.05,0.95,176,0.558035714285714,0.0197749854103822
AR,None,0.1,0.9,176,0.51461038961039,0.0166502589944148
AR,None,0.2,0.8,176,0.432224025974026,0.0127270733045209
AR,None,0.5,0.5,176,0.143262987012987,0.00596428321805314
ARX,I,0.05,0.95,176,0.439935064935065,0.0180219499271901
ARX,I,0.1,0.9,176,0.400974025974026,0.0150609351646562
ARX,I,0.2,0.8,176,0.314935064935065,0.0113896130089489
ARX,I,0.5,0.5,176,0.0929383116883117,0.00539294250272308
N4SID,I,0.05,0.95,176,0.486201298701299,0.022757357589484
N4SID,I,0.1,0.9,176,0.446428571428572,0.0190261509757149
N4SID,I,0.2,0.8,176,0.398944805194805,0.014362688494978
N4SID,I,0.5,0.5,176,0.294237012987013,0.00718817534966837
SSEST,I,0.05,0.95,176,0.39163961038961,0.0201387525130809
SSEST,I,0.1,0.9,176,0.337256493506494,0.016874426814912
SSEST,I,0.2,0.8,176,0.243912337662338,0.0127337579503618
SSEST,I,0.5,0.5,176,0.0974025974025974,0.00643580944731663
