Model,ExoMode,NumWindows,NumValidWindows,NumFiniteWIS,MeanWIS,MedianWIS,StdWIS,MinWIS,MaxWIS,MeanRMSE,MeanMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
AR,None,176,176,176,0.0180440726693545,0.00731170533575392,0.0394446489674474,3.61298292870872e-14,0.366016970958661,0.0314709179774601,0.0245872620170062,0.00273191800188958,0.00245764291814999,0.00573603336256302,0.00711847838675189,0.478693181818182,-0.308806818181818,0.466446834415584,0.0392635100017915
ARX,Both,176,176,176,0.0291405073554419,0.00806976027083734,0.0550272282818387,3.61298292870872e-14,0.498928771912117,0.0485196637014135,0.0363463705568505,0.00403848561742783,0.00229604689434429,0.0101838529479658,0.0126221218957039,0.324878246753247,-0.462621753246753,0.572219967532468,0.0366271139904874
ARX,I,176,175,175,0.0247459785684454,0.00907955513617893,0.0489243728011502,3.61298292870872e-14,0.499006883721758,0.0434246607290155,0.0332106731945786,0.00369007479939762,0.00233755914094265,0.00751851562049294,0.0111998290076122,0.357857142857143,-0.429642857142857,0.528357142857143,0.0370691463785668
ARX,S,176,176,176,0.022158950389887,0.00656934273226848,0.048049940486975,3.61298292870872e-14,0.498787916215644,0.037003074111958,0.0282660834879673,0.00314067594310748,0.00236046651716919,0.00110197508002636,0.0155558328495839,0.443181818181818,-0.344318181818182,0.495657467532468,0.0377207965082859
N4SID,Both,176,176,176,960681708.927136,0.0120116697179875,12744883084.623,3.61298292870872e-14,169079980754.661,203680.415547681,59093.5648115045,6565.95164572272,960675045.352081,97.5882778639983,0.0351322509905464,0.299512987012987,-0.487987012987013,0.585480925324676,39237674507.4671
N4SID,I,176,176,176,0.0446595812097862,0.00929558622801801,0.104216601398703,3.61298292870872e-14,0.664322247029655,0.0738941129091856,0.0565055423684397,0.00627839359649331,0.00311368805858882,0.00895307912107546,0.0263144204336287,0.384030032467532,-0.403469967532468,0.513240665584416,0.0519877348906708
N4SID,None,176,176,176,0.0208694471219513,0.00782008249014426,0.053525494731047,3.61298292870872e-14,0.541606104329575,0.0351507797387814,0.0281442170976659,0.00312713523307399,0.00252159371565496,0.00686327572654768,0.00835744244667468,0.493303571428571,-0.294196428571429,0.459161931818182,0.0397553662162199
N4SID,S,176,176,176,0.040338636354758,0.00705122042266101,0.0876277395287997,3.61298292870872e-14,0.603468929961954,0.0661331306207876,0.0511508972927636,0.00568343303252929,0.00299633424316552,0.0131195713731977,0.0185392977058655,0.412033279220779,-0.375466720779221,0.525487012987013,0.0512618831017956
SSEST,Both,176,176,176,0.0759686980337164,0.0315214681068501,0.114094349693661,3.61298292870872e-14,0.762201569309345,0.120884004337936,0.104741898341338,0.0116379887045931,0.00992062822176542,0.0149204794790185,0.0394896016283395,0.474837662337662,-0.312662337662338,0.487591314935065,0.147102175058779
SSEST,I,176,176,176,0.0657583161896339,0.0375225301224492,0.0901231296741409,3.61298292870872e-14,0.756941228123622,0.114308890295398,0.0974464366768992,0.0108273818529888,0.0101275068656413,0.0181626896535685,0.0266407378174353,0.466517857142857,-0.320982142857143,0.488524756493507,0.148710744026832
SSEST,None,176,176,176,0.0498764845544132,0.0356894414263781,0.0608046199063753,3.61298292870872e-14,0.580028322300047,0.106429082867879,0.093271649057081,0.0103635165618979,0.0148143445227875,0.0142694307979872,0.0104291926717407,0.625710227272727,-0.161789772727273,0.378764204545455,0.216877951943307
SSEST,S,176,176,176,0.0747752026197768,0.036288841789124,0.0989862501708088,3.61298292870872e-14,0.574214119422978,0.12193545518931,0.103852731841623,0.0115391924268471,0.00757178101272715,0.0391010305197314,0.0165631986604712,0.42867288961039,-0.35882711038961,0.513818993506494,0.110827606456453
