Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,SquaredError,AbsoluteError,WIS,WISMedianComponent,WISDispersionComponent,WISUnderpredictionComponent,WISOverpredictionComponent,CoverageMean,CalibrationBiasMean,AbsoluteCalibrationErrorMean,IntervalWidthMean
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,1,50,1.13649504552614,1.13649527582402,2.30297879655339e-07,5.3037113373745e-14,2.30297879655339e-07,1.28566715401007e-07,1.15148939827669e-07,8.12469706124031e-08,3.82154308864457e-07,0,0,-0.7875,0.7875,2.46122178748642e-07
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,2,51,1.13849466883911,1.13849540608523,7.37246119042467e-07,5.4353184004318e-13,7.37246119042467e-07,5.15768757911348e-07,3.68623059521234e-07,1.77682582697125e-07,1.77465376838271e-06,0,0,-0.7875,0.7875,5.70392178045331e-07
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,3,52,1.14045325319274,1.14045481739882,1.56420607710928e-06,2.44674065166559e-12,1.56420607710928e-06,1.26079537780482e-06,7.82103038554638e-07,2.84652370236005e-07,4.60682379133104e-06,0,0,-0.7875,0.7875,9.02729489882237e-07
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,4,53,1.14237021821622,1.14237297278554,2.75456931930762e-06,7.58765213487085e-12,2.75456931930762e-06,2.35323820113104e-06,1.37728465965381e-06,4.35233647072542e-07,8.77705359836334e-06,0,0,-0.7875,0.7875,1.31312217144242e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,5,54,1.14424499587144,1.14424950318126,4.50730981604863e-06,2.03158417778484e-11,4.50730981604863e-06,3.91955857702822e-06,2.25365490802432e-06,5.98363536347124e-07,1.47859951522555e-05,0,0,-0.7875,0.7875,1.79470105143853e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,6,55,1.14607703062133,1.14608380437216,6.77375083890652e-06,4.58837004275868e-11,6.77375083890652e-06,6.02929637729677e-06,3.38687541945326e-06,7.59181428044986e-07,2.29857768503372e-05,0,0,-0.7875,0.7875,2.29730208073375e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,7,56,1.14786577959443,1.14787535385295,9.57425851599858e-06,9.16664261311713e-11,9.57425851599858e-06,8.76388095011585e-06,4.78712925799929e-06,9.46127194406676e-07,3.37042078231153e-05,0,0,-0.7875,0.7875,2.8285233159564e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,8,57,1.14961071274585,1.14962409633834,1.33835924980286e-05,1.79120548153286e-10,1.33835924980286e-05,1.2224508723672e-05,6.69179624901428e-06,1.14456067906166e-06,4.71739323284481e-05,0,0,-0.7875,0.7875,3.40351983141307e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,9,58,1.15131131301421,1.15132921983557,1.79068213608247e-05,3.20654251248487e-10,1.79068213608247e-05,1.65037913648438e-05,8.95341068041233e-06,1.36941360830978e-06,6.39442368530752e-05,0,0,-0.7875,0.7875,4.01765430046996e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,10,59,1.15296707647496,1.152990459575,2.33831000415741e-05,5.46769367554261e-10,2.33831000415741e-05,2.17456821430928e-05,1.1691550020787e-05,1.61209551252095e-06,8.45519241106096e-05,0,0,-0.7875,0.7875,4.72017113450907e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,11,60,1.15457751248964,1.15460761886282,3.01063731742435e-05,9.06393705706807e-10,3.01063731742435e-05,2.80988043179146e-05,1.50531865871217e-05,1.82739184678149e-06,0.000109564040996712,0,0,-0.7875,0.7875,5.43847677819675e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,12,61,1.15614214385133,1.15618015036259,3.80065112621786e-05,1.44449489832211e-09,3.80065112621786e-05,3.56823310297232e-05,1.90032556310893e-05,2.03435184593093e-06,0.000139532882156734,0,0,-0.7875,0.7875,6.07365261401371e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,13,62,1.15766050692596,1.15770770277192,4.71958459529187e-05,2.22744787521163e-09,4.71958459529187e-05,4.45263886715915e-05,2.35979229764594e-05,2.25111301919156e-06,0.000174519713026511,0,0,-0.7875,0.7875,6.80347531567538e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,14,63,1.15913215178981,1.15919005787818,5.79060883738602e-05,3.35311507076131e-09,5.79060883738602e-05,5.4872416714634e-05,2.89530441869301e-05,2.47301428174529e-06,0.000215499816747178,0,0,-0.7875,0.7875,7.53766170258352e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,1,57,1.14961071274585,1.14961102253914,3.09793299457795e-07,9.59718883889468e-14,3.09793299457795e-07,1.96427921353129e-07,1.54896649728897e-07,1.01159574350529e-07,6.27869422009653e-07,0,0,-0.7875,0.7875,2.97484636535561e-07
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,2,58,1.15131131301421,1.15131233170141,1.01868720392417e-06,1.03772361943885e-12,1.01868720392417e-06,7.42053572578961e-07,5.09343601962087e-07,2.3084707019283e-07,2.59905040445041e-06,0,0,-0.7875,0.7875,6.96416977197245e-07
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,3,59,1.15296707647496,1.15296925079304,2.17431808424706e-06,4.72765913148381e-12,2.17431808424706e-06,1.67154782305667e-06,1.08715904212353e-06,3.67317973976045e-07,6.06748818765546e-06,0,0,-0.7875,0.7875,1.17360332846372e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,4,60,1.15457751248964,1.15458135819265,3.84570300293596e-06,1.47894315867907e-11,3.84570300293596e-06,3.11711080838408e-06,1.92285150146798e-06,5.20819225857672e-07,1.15833279104027e-05,0,0,-0.7875,0.7875,1.71619076844154e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,5,61,1.15614214385133,1.15614822465372,6.08080238850839e-06,3.69761576880893e-11,6.08080238850839e-06,5.22082643590574e-06,3.04040119425419e-06,7.04301313136924e-07,1.97490164541847e-05,0,0,-0.7875,0.7875,2.33782115849346e-06
