Scenario,Model,ExoMode,Alpha,NominalCoverage,GroupCount,MeanCoverage,MeanIntervalWidth,MeanCoverageError,MeanAbsoluteCoverageError,MeanIntervalScore,MeanWISIntervalComponent
A1,ARX,I,0.05,0.95,616,0.180194805194805,8.25019834464121e-05,-0.769805194805197,0.787824675324676,0.00333500034651072,8.33750086627679e-05
A1,ARX,I,0.1,0.9,616,0.152597402597403,7.00963708752048e-05,-0.747402597402599,0.777922077922079,0.00180908153817961,9.04540769089803e-05
A1,ARX,I,0.2,0.8,616,0.123376623376623,5.55204494609127e-05,-0.676623376623375,0.725974025974024,0.000987065211908496,9.87065211908496e-05
A1,ARX,I,0.5,0.5,616,0.0633116883116883,3.02237214668362e-05,-0.436688311688312,0.5,0.000449150351423013,0.000112287587855753
A2,ARX,I,0.05,0.95,616,0.886363636363636,0.0481305171877241,-0.063636363636363,0.152272727272728,0.381186249305431,0.00952965623263578
A2,ARX,I,0.1,0.9,616,0.858766233766234,0.0396146103725761,-0.0412337662337666,0.212987012987014,0.220668362279776,0.0110334181139888
A2,ARX,I,0.2,0.8,616,0.771103896103896,0.0285314995647545,-0.0288961038961043,0.337337662337663,0.128889761721414,0.0128889761721414
A2,ARX,I,0.5,0.5,616,0.0535714285714286,0.0124342056787734,-0.446428571428571,0.5,0.0676818345242535,0.0169204586310634
A3,ARX,I,0.05,0.95,616,0.38961038961039,0.0118591723717129,-0.560389610389612,0.599350649350649,0.252304167770565,0.00630760419426412
A3,ARX,I,0.1,0.9,616,0.324675324675325,0.0101760072699672,-0.575324675324676,0.640259740259741,0.143741793635908,0.00718708968179543
A3,ARX,I,0.2,0.8,616,0.243506493506494,0.00791357266951993,-0.556493506493505,0.653896103896103,0.083772918680104,0.00837729186801039
A3,ARX,I,0.5,0.5,616,0.12987012987013,0.00425068889400147,-0.37012987012987,0.5,0.0412534790274161,0.010313369756854
A4,ARX,I,0.05,0.95,616,0.329545454545455,0.0133898128578368,-0.620454545454548,0.653409090909091,0.341263543461154,0.00853158858652886
A4,ARX,I,0.1,0.9,616,0.288961038961039,0.011552487705277,-0.611038961038962,0.668831168831169,0.189475817431522,0.00947379087157609
A4,ARX,I,0.2,0.8,616,0.202922077922078,0.00909031627003855,-0.59707792207792,0.678246753246752,0.108512319861551,0.0108512319861551
A4,ARX,I,0.5,0.5,616,0.128246753246753,0.00487825119692554,-0.371753246753247,0.5,0.0517854920396088,0.0129463730099022
