Scenario,Model,ExoMode,HorizonIdx,GroupCount,MeanWIS,MeanError,MeanAbsoluteError,MeanSquaredError,MeanCoverage,MeanIntervalWidth
A1,ARX,I,1,44,1.57723245548995e-06,-1.3967314812942e-06,2.85732903919998e-06,1.7247859970194e-11,0.301136363636364,3.86202303459411e-06
A1,ARX,I,2,44,5.49102210378109e-06,-4.3460501586737e-06,8.53305024240868e-06,1.54775094987011e-10,0.221590909090909,9.0429334627542e-06
A1,ARX,I,3,44,1.18944042123134e-05,-8.58316623272848e-06,1.69556060419266e-05,6.08991085680545e-10,0.181818181818182,1.52647235690289e-05
A1,ARX,I,4,44,2.0741599239999e-05,-1.42398675825656e-05,2.84485707932224e-05,1.70507489872838e-09,0.164772727272727,2.27117146875545e-05
A1,ARX,I,5,44,3.23047102279352e-05,-2.1697951974436e-05,4.27562733525753e-05,3.8638886403303e-09,0.130681818181818,3.0941717067154e-05
A1,ARX,I,6,44,4.67209496994126e-05,-2.99299874483622e-05,6.0708642603458e-05,7.71618826840583e-09,0.107954545454545,3.99613043518903e-05
A1,ARX,I,7,44,6.42011061652465e-05,-3.97999407800594e-05,8.15871435387734e-05,1.3807455392708e-08,0.107954545454545,4.94276506150097e-05
A1,ARX,I,8,44,8.45298459740914e-05,-5.11869899673339e-05,0.000105247670686948,2.28362942916867e-08,0.0965909090909091,5.96809178986442e-05
A1,ARX,I,9,44,0.000108084868247221,-6.45301526163585e-05,0.000132497893679077,3.6068872970752e-08,0.0852272727272727,7.05353109268547e-05
A1,ARX,I,10,44,0.000134963253456136,-7.83970492662075e-05,0.000163116163059128,5.42868316799033e-08,0.0909090909090909,8.18218480925251e-05
A1,ARX,I,11,44,0.000164992558450785,-9.35837729758582e-05,0.000197331957415064,7.88516663637784e-08,0.0909090909090909,9.35997020503576e-05
A1,ARX,I,12,44,0.000198280710665442,-0.000110608078499499,0.000235555721293758,1.11701210220541e-07,0.0852272727272727,0.000105854642590019
A1,ARX,I,13,44,0.000234806634682826,-0.000128474741306077,0.000277035019634931,1.53430502182012e-07,0.0852272727272727,0.000118913896147798
A1,ARX,I,14,44,0.000274720800240112,-0.000147601703226729,0.000322106771692817,2.06406765419592e-07,0.0681818181818182,0.000132580453878597
A2,ARX,I,1,44,0.000293535863365727,9.16261138409909e-05,0.000421734928634033,8.72892643578067e-07,0.460227272727273,0.00207340869725344
A2,ARX,I,2,44,0.000890156023796604,0.000290116563052627,0.00135286844280675,7.96384568792292e-06,0.630681818181818,0.00500815064093412
A2,ARX,I,3,44,0.00180713495551809,0.000600493324014997,0.00283910123206929,3.39491502540164e-05,0.704545454545455,0.00854644832787635
A2,ARX,I,4,44,0.00311799998779883,0.000977631638841221,0.00490495041017241,0.000102393536325491,0.704545454545455,0.0125814977165972
A2,ARX,I,5,44,0.00483351437834774,0.00128872617835255,0.00744152467960196,0.00024881677754872,0.676136363636364,0.0169516938486537
A2,ARX,I,6,44,0.00695062514981401,0.00169746919425598,0.0105780369547188,0.000521890013140194,0.659090909090909,0.0218035989152559
A2,ARX,I,7,44,0.00950150099591403,0.00222300920029706,0.0142522253878588,0.000978953243708282,0.664772727272727,0.0269537845486192
A2,ARX,I,8,44,0.0124273654320304,0.00299988713826977,0.0185503682441704,0.00168387576130292,0.642045454545455,0.0323643173304508
A2,ARX,I,9,44,0.0155842619883223,0.00381502961127336,0.0231649173695239,0.00267130760919746,0.636363636363636,0.0381970917000987
A2,ARX,I,10,44,0.0190324337834089,0.00503867762840376,0.0283001505321845,0.00397183434018912,0.636363636363636,0.0442623258038207
A2,ARX,I,11,44,0.0226355184425381,0.00660254483622694,0.0337447787306685,0.00554589745972798,0.642045454545455,0.0505385137527685
A2,ARX,I,12,44,0.0264022108177818,0.00851024604189043,0.0393441727561702,0.00736345725133973,0.659090909090909,0.0570132901977106
A2,ARX,I,13,44,0.030293502499451,0.0111854841849757,0.0453547436836116,0.00941876342173696,0.647727272727273,0.0636472328040498
A2,ARX,I,14,44,0.0342152651476429,0.0141101909215444,0.0511853996441613,0.0115557031227483,0.630681818181818,0.0705465605293094
A3,ARX,I,1,44,0.000118835674878408,4.40701171019464e-05,0.000266743572369968,9.44907000975558e-08,0.625,0.000626393199365019
A3,ARX,I,2,44,0.000400807341267337,0.000123920202433529,0.000784329834699878,8.1266338787473e-07,0.482954545454545,0.00139171037784334
A3,ARX,I,3,44,0.000900972265096068,0.000262218159405005,0.00157946832000154,3.29823659963813e-06,0.380681818181818,0.00230579375606977
A3,ARX,I,4,44,0.00161993559129576,0.000420087523455875,0.00267606851168104,9.41782536743058e-06,0.318181818181818,0.00335167888028543
