Scenario,Model,ExoMode,GroupCount,MeanWindowWIS,MeanWindowRMSE,MeanWindowMAE,MeanCoverage,MeanIntervalWidth
A1,AR,None,44,0.000552193219182243,0.000855572702016355,0.000659502370290509,0.150162337662338,0.000294475852537314
A1,ARX,I,44,9.70382750449818e-05,0.000155744142800716,0.000118824057269945,0.133522727272727,5.96174337003977e-05
A1,N4SID,I,44,0.000172312022375671,0.00024529787328726,0.000196106148490264,0.16599025974026,7.16432991600586e-05
A1,SSEST,I,44,0.000171727117582496,0.000245739914681865,0.000195189448137876,0.150162337662338,6.77857564329579e-05
A2,AR,None,44,0.00624315464052432,0.0171080077083996,0.0133420247269958,0.648944805194805,0.0339688765039462
A2,ARX,I,44,0.0135551925100475,0.0262156865881306,0.0202212143731172,0.632305194805195,0.0313978799256957
A2,N4SID,I,44,0.0125250912262819,0.0191238451599284,0.0147964696404397,0.859577922077922,0.0376281766832068
A2,SSEST,I,44,0.0255056968733355,0.0437275520752677,0.0361238774113381,0.372970779220779,0.0384285675846425
A3,AR,None,44,0.00573372605134421,0.0111106118379533,0.00864151427090315,0.427353896103896,0.00975678432564329
A3,ARX,I,44,0.00832023183555318,0.0149068931567699,0.0113414539626552,0.256087662337662,0.00869286950107071
A3,N4SID,I,44,0.0184161543162778,0.0297646587041662,0.0225371911643522,0.291801948051948,0.0126226006085072
A3,SSEST,I,44,0.0122375500846881,0.0203047599606309,0.0150849313215863,0.296672077922078,0.00858193484404523
A4,AR,None,44,0.00725993931414089,0.0133723174219957,0.0104284504177005,0.421672077922078,0.0110964642452442
A4,ARX,I,44,0.0107565027812874,0.0183518264482149,0.0139534005811644,0.224431818181818,0.00970223476492359
A4,N4SID,I,44,0.0192193880455479,0.0307686657757345,0.0234379700911046,0.308441558441558,0.0130119518189712
A4,SSEST,I,44,0.0135763073267577,0.0220854354377347,0.016491042528438,0.250405844155844,0.00910445854055069
