Model,ExoMode,NumPoints,MeanRawScaleWIS,MeanMedianComponent,MeanDispersionComponent,MeanUnderpredictionComponent,MeanOverpredictionComponent,MedianComponentShare,DispersionComponentShare,UnderpredictionComponentShare,OverpredictionComponentShare
AR,None,2464,0.0180440726693545,0.00273191800188958,0.00245764291814999,0.00573603336256302,0.00711847838675189,0.151402516047798,0.136202229019171,0.31789017189589,0.394505083037141
ARX,Both,2464,0.0291405073554418,0.00403848561742783,0.00229604689434429,0.0101838529479658,0.0126221218957039,0.138586661109511,0.0787922758632242,0.349474112572857,0.433146950454408
ARX,I,2464,0.0247459785684453,0.00369007479939762,0.00233755914094265,0.00751851562049294,0.0111998290076122,0.149118160318097,0.0944621823896417,0.303827775478644,0.452591881813619
ARX,S,2464,0.022158950389887,0.00314067594310748,0.00236046651716919,0.00110197508002636,0.0155558328495839,0.14173396699064,0.106524292696033,0.0497304728173987,0.702011267495928
N4SID,Both,2464,960681708.927136,6565.95164572272,960675045.35208,97.5882778639983,0.0351322509905465,6.83467956630027e-06,0.999993063701542,1.0158232113421e-07,3.65701258430133e-11
N4SID,I,2464,0.0446595812097862,0.00627839359649331,0.00311368805858882,0.00895307912107546,0.0263144204336287,0.140583351353002,0.0697204938837742,0.200473870971132,0.589222283792092
N4SID,None,2464,0.0208694471219513,0.00312713523307399,0.00252159371565496,0.00686327572654768,0.00835744244667468,0.149842744505902,0.120827049270637,0.328867156204086,0.400463050019374
N4SID,S,2464,0.040338636354758,0.00568343303252929,0.00299633424316552,0.0131195713731977,0.0185392977058655,0.140893038191632,0.0742795124955209,0.325235867118008,0.459591582194839
SSEST,Both,2464,0.0759686980337164,0.0116379887045931,0.00992062822176543,0.0149204794790185,0.0394896016283395,0.153194526243268,0.130588367031938,0.196402990510598,0.519814116214197
SSEST,I,2464,0.0657583161896339,0.0108273818529888,0.0101275068656413,0.0181626896535685,0.0266407378174353,0.164654183385182,0.154011043050975,0.276203691122365,0.405131082441477
SSEST,None,2464,0.0498764845544132,0.0103635165618979,0.0148143445227875,0.0142694307979872,0.0104291926717407,0.207783620968549,0.297020623148083,0.286095359876853,0.209100396006515
SSEST,S,2464,0.0747752026197768,0.011539192426847,0.00757178101272715,0.0391010305197314,0.0165631986604712,0.154318437430688,0.1012605883695,0.522914404104735,0.221506570095078
