na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
7,3,3,5.112732688335e-07,0.0248109063009547,0.000666778186670359,0.00395139225455273,0.00735739700386166,1
7,1,3,5.08186893560217e-07,0.0316330963055737,0.000499422076574935,0.000416925589450795,0.00813748803962325,2
7,1,4,5.12506362265218e-07,0.031787990257814,0.00049790715644345,0.000416842734316343,0.008175813163734,3
8,4,4,0.00121035505893499,0.0308783147831097,0.00118204395186752,0.000967654111172378,0.00855959197627115,4
6,3,4,0.00285517274045039,0.0281034687548918,0.00254529076473905,0.00084234239943079,0.00858656866487802,5
6,3,2,0.000838534992315156,0.0277630544261231,0.00129270363502531,0.00505706022027458,0.00873783831843453,6
8,1,1,0.00317450524073185,0.0317293817701964,0.000193786802270132,0.000177306537408687,0.00881874508765177,7
10,3,1,5.66090213938527e-08,0.0353869423633287,0.000247586468651875,0.000127960916269822,0.00894063658931794,8
7,2,3,9.6435561836327e-05,0.0308553196568707,0.000508341365590955,0.00523968855713763,0.00917494628535891,9
7,2,2,5.01067915047314e-07,0.0307313187695772,0.00556390574851755,0.00043769909428956,0.00918335617007484,10
8,3,4,1.88695279586509e-07,0.0308548457861487,0.00356970784462212,0.00255950206914113,0.0092460610987979,11
6,2,3,0.00146391333147663,0.0288140497961764,0.00152806203625421,0.00525766461381437,0.00926592244443041,12
8,3,1,0.00141190369475427,0.0305338051980136,0.000534933782470296,0.00474164077200327,0.00930557086181037,13
8,3,2,0.00164251401410922,0.0306623717547502,0.000503280668753974,0.00456762591375848,0.00934394808784298,14
7,4,4,0.00172727516824781,0.0309743113108586,0.00298017945092574,0.00185269468444779,0.00938361515361999,15
7,1,2,5.06018003747815e-07,0.0316311763269252,0.000500824520783767,0.00576357148098718,0.00947401958667498,16
10,1,4,4.0839592227093e-08,0.0377932057096809,6.68050570221668e-05,6.41337728780882e-05,0.00948104634479333,17
7,3,2,5.14089873274821e-07,0.0308362258456195,0.00441293569526741,0.00270111942607523,0.00948769876420886,18
7,3,4,0.00225493832853948,0.0308513784734008,0.00361794778102657,0.00142123194078226,0.00953637413093728,19
6,1,4,0.00140669066740822,0.0296252846374796,0.000807454605067804,0.00644650249245046,0.00957148310060152,20
6,2,2,0.00145549897753939,0.027465828514042,0.00197678021565392,0.00764472499733496,0.00963570817614258,21
10,3,2,0.00287730058059963,0.0355776755274984,0.000280777717416276,9.03041594919094e-05,0.00970651449625155,22
6,2,4,0.00272185381827151,0.0279551590121737,0.00311746304556546,0.0053589884134005,0.00978836607235279,23
6,1,2,0.00428281748037223,0.0289450053932989,0.00565150606324241,0.000845800901542376,0.00993128245961398,24
6,1,1,0.00294857160156615,0.0287592289107787,0.00191115917552732,0.00611537216633428,0.00993358296355161,25
8,1,2,0.000390886988882106,0.0318753693324154,0.000193388821082592,0.00747585696322227,0.0099838755264006,26
6,1,3,0.00148033920970329,0.0291831517173697,0.0051499523635578,0.0041275829503494,0.00998525656024504,27
8,1,4,0.00164759448033209,0.0321993027608912,0.00142223353080064,0.00470566634365813,0.00999369927892051,28
8,4,2,0.00497237537542102,0.0306310451064242,0.00234836463959906,0.00225007049349575,0.010050463903735,29
8,2,3,0.00142071438200845,0.03072738477372,0.00417656180033295,0.00396645995813235,0.0100727802285484,30
10,2,1,0.00118829257667552,0.0354228517074638,0.00474483678549201,6.39483994211208e-05,0.0103549823672631,31
7,4,3,0.000458837693914873,0.0317036780103894,0.0070665065289149,0.00266265046103534,0.0104729181735636,32
10,1,2,0.000443825831762183,0.0365997716499298,0.00352506832898135,0.00183196506834532,0.0106001577197547,33
6,4,3,0.00164622726684546,0.0276912394416818,0.00299886982072305,0.0102194288718673,0.0106389413502794,34
10,4,3,0.00318919251948188,0.0357707677773835,0.0025015974140329,0.00120897102685427,0.0106676321844381,35
7,2,1,4.95590751685167e-07,0.0305973751406567,0.00648321423478174,0.00577406141000257,0.0107137865940482,36
7,1,1,0.00313414478423902,0.0312191039519111,0.00461893417162117,0.00494060745391257,0.010978197590421,37
6,4,4,0.00426253848511581,0.0277339664437813,0.00103426669310229,0.0110054607863836,0.0110090581020958,38
6,3,1,0.00173508553975333,0.0275955959815044,0.00890800721285709,0.00599541239033709,0.011058525281113,39
10,2,3,0.00320764571621378,0.0357717381629608,7.8945817521167e-05,0.00542300952607784,0.0111203348056934,40
10,1,3,0.00334259638039814,0.0368696710186941,0.00143155183951062,0.00291565021667245,0.0111398673638188,41
8,4,3,0.00334637225280903,0.0307251408520242,0.00563817419045329,0.00496071495128584,0.0111676005616431,42
8,3,3,0.00146021830971092,0.0307666971888717,0.000331230232296232,0.012287826484787,0.0112114930539165,43
6,4,2,0.00112860394004975,0.0276879071946956,0.0129050993860228,0.0034031560601766,0.0112811916452362,44
7,3,1,5.09978723569082e-07,0.0308058413188248,0.0138258223097228,0.000511787747535351,0.0112859903387016,45
7,2,4,0.00145218474431141,0.03094431319055,0.0078872349907035,0.00504893417231803,0.0113331667744707,46
10,2,4,0.00078622529158419,0.0358336919020904,0.00275401862312351,0.00659445018369725,0.0114920965001238,47
10,4,4,9.03216811179339e-08,0.0358592043446314,0.00151727669048193,0.00903365795062133,0.0116025573268539,48
8,2,1,0.000101954389454194,0.0305361233531416,0.000871958037433825,0.0153916310948765,0.0117254167187265,49
10,2,2,0.00338495438283325,0.0355001980527415,0.00300370308337354,0.00503130932771803,0.0117300412116666,50
10,3,3,0.00346640119786157,0.0356356122627072,0.00306240045485866,0.00520912978213854,0.0118433859243915,51
4,2,3,0.00168911952126503,0.0351748065405301,0.00558087795324778,0.00493070227746578,0.0118438765731272,52
10,1,1,0.00306009004424911,0.036506386668862,6.7627661895421e-05,0.00882484266565231,0.0121147367601647,53
4,4,4,0.00128513148448199,0.0383750251904756,0.00492080594634757,0.00465953888625933,0.0123101253768911,54
8,1,3,0.00394843018818078,0.0319430394703368,0.000192934799639708,0.013236704391153,0.0123302772123276,55
6,3,3,0.00118098848093811,0.0279204213330916,0.00959758924498186,0.0118509448389433,0.0126374859744887,56
4,2,2,0.00182766018678623,0.0351820993050515,0.00866900890667645,0.00496414577219085,0.0126607285426763,57
4,4,3,0.00100582192358354,0.0351059478105014,0.00545254704561284,0.00907868604907155,0.0126607507071923,58
5,1,2,0.00159543822239814,0.027345093956489,0.00709066336139148,0.0151631031745047,0.0127985746786958,59
10,3,4,0.00320792285832157,0.0356789586422253,0.00844924443938309,0.00542981371836754,0.0131914849145744,60
7,4,2,0.00141228092330393,0.0307999926913207,0.011390978635749,0.00923801973835129,0.0132103179971812,61
4,3,1,0.000146451673963744,0.0354534776129949,0.0119793994592629,0.00565239572354868,0.0133079311174426,62
6,4,1,0.00793942517167416,0.027552292667227,0.00687053305309429,0.0113992686276198,0.0134403798799038,63
4,1,1,0.00346824667204499,0.0375116951970425,0.00506655199089965,0.00796023432666099,0.013501682046662,64
6,2,1,3.95883086052692e-06,0.0273533068258743,0.0145645945560285,0.0139997878671105,0.0139804120199684,65
10,4,2,1.31364759292531e-07,0.0353971723210375,0.015517692272014,0.00510547588578687,0.0140051179608994,66
4,3,4,0.00188807869231868,0.0380069138581998,0.00523113762424233,0.0110983531996379,0.0140561208435997,67
4,2,1,0.000146247403949492,0.0356049194919391,0.0164138875590911,0.00499916080646989,0.0142910538153624,68
7,4,1,0.000848360128592006,0.0307343995134436,0.0150146362025814,0.0107072035127517,0.0143261498393422,69
4,3,2,0.000678479159796193,0.0356776485641476,0.0130958849997577,0.00984015621727309,0.0148230422352436,70
8,2,2,1.80950208273273e-07,0.0333022307393556,0.0167579335317747,0.00929288544890825,0.0148383076675617,71
8,4,1,0.00141199907326889,0.0305504757489258,0.0127556415061672,0.015747072205442,0.015116297133451,72
4,1,2,0.000148207708599484,0.0378319236613223,0.0101542735442206,0.013564130544183,0.0154246338645813,73
4,1,3,0.000149170306511347,0.0387330961862351,0.0182880557499339,0.00524115041591,0.0156028681646476,74
4,2,4,0.00154732980974071,0.0377620430142609,0.010247392909788,0.0142022683571584,0.015939758522737,75
4,3,3,0.000149280141921423,0.0358776018216608,0.0154330877827467,0.0156698830887522,0.0167824632087703,76
4,1,4,0.00260230646866311,0.0382695644749551,0.0138148695390279,0.0149617729271687,0.0174121283524537,77
4,4,1,0.00464744481341148,0.0356470866102128,0.0225217200949203,0.0161242944860297,0.0197351365011436,78
2,2,4,0.00790767333757334,0.0290845962166412,0.0324299693531309,0.0329526549663825,0.025593723468432,79
2,4,4,0.00768474915675362,0.0264372918314901,0.0352620861618247,0.0360015253105801,0.0263464131151621,80
2,2,3,0.00504015398761342,0.029219113001117,0.0333454090230416,0.0380410478700374,0.0264114309704524,81
2,1,3,0.0050404565193004,0.0291768202493671,0.0381196584750098,0.0369171857260801,0.0273135302424394,82
2,1,1,0.00650718655791228,0.0284315598319059,0.0387657077211336,0.0362070539241957,0.0274778770087869,83
2,1,2,0.00685060952204697,0.029143539152878,0.0378503663332864,0.0400547222264193,0.0284748093086577,84
2,3,3,0.00615203167509872,0.0262496415719873,0.0389283383374878,0.0451441216227296,0.0291185333018259,85
2,2,2,0.00497423235701141,0.0291868628669168,0.0385414716514281,0.0450049527848658,0.0294268799150555,86
2,1,4,0.0050692533605121,0.0292077456607171,0.036759802702922,0.0474637729255367,0.029625143662422,87
2,3,4,0.00841555266759555,0.0293567237973354,0.0465102583566618,0.0376286900153537,0.0304778062092366,88
2,4,2,0.0262475235672937,0.0262476493642241,0.0662820606414563,0.059678444129062,0.044613919425509,89
2,3,1,0.02472131000291,0.0262876816014051,0.0691517987167287,0.0667827760006078,0.0467358915804129,90
2,4,3,0.0638431546817429,0.0257647250870524,0.0535803683246375,0.0492087074391199,0.0480992388831382,91
9,2,4,0.000390766862600167,0.208277800493148,0.00015129600267864,0.000115639974726569,0.0522338758332883,92
