CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,ReplicateID,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,WindowWIS,WindowRawScaleWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,IsValid,IntervalMethod,IntervalStatus,RecordedStatus,AICC
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,0.197418020316694,0.197418020316694,0.422527745110651,0.348103085204645,0.0386781205782939,0.0355834871594423,0.123156412578958,0,0.321428571428571,-0.466071428571429,0.532142857142857,0.516473672101838,1,closed_loop_monte_carlo,ok,ok,-90.2990925787711
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,0.147245997084874,0.147245997084874,0.298275156194797,0.28466473202953,0.0316294146699477,0.0216239322233584,0,0.0939926501915682,0.178571428571429,-0.608928571428571,0.635714285714286,0.324551784099177,1,closed_loop_monte_carlo,ok,ok,-109.408861016859
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,63,64,0.0299276808835633,0.0299276808835633,0.0438727128433677,0.0398077790392862,0.00442308655992069,0.0255045943236426,0,0,1,0.2125,0.2125,0.381796614687144,1,closed_loop_monte_carlo,ok,ok,-123.284759257176
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,70,71,0.0262453751392112,0.0262453751392112,0.0334313975883918,0.0307532357029028,0.00341702618921142,0.0228283489499998,0,0,1,0.2125,0.2125,0.349447032242128,1,closed_loop_monte_carlo,ok,ok,-137.84609691526
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,77,78,0.0515089033258582,0.0515089033258582,0.140615603756397,0.136548252089998,0.0151720280099997,0.0274432566446554,0.00889361867120305,0,0.732142857142857,-0.0553571428571429,0.233928571428571,0.404431686566586,1,closed_loop_monte_carlo,ok,ok,-148.77503672737
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,84,85,0.0256070387886982,0.0256070387886982,0.04210683837588,0.037830908747058,0.00420343430522867,0.0214036044834696,0,0,1,0.2125,0.2125,0.325857519278509,1,closed_loop_monte_carlo,ok,ok,-162.536531405883
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,91,92,0.0238351238149607,0.0238351238149607,0.0241847487724595,0.0201496920450062,0.00223885467166735,0.0215962691432933,0,0,1,0.2125,0.2125,0.323264857222696,1,closed_loop_monte_carlo,ok,ok,-180.78253084248
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,98,99,0.0228063179989126,0.0228063179989126,0.0381403776377039,0.0355355991514306,0.00394839990571451,0.0188579180931981,0,0,1,0.2125,0.2125,0.279727203819848,1,closed_loop_monte_carlo,ok,ok,-199.703415027643
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,105,106,0.0245580151502203,0.0245580151502203,0.0620360856469807,0.0585330913561212,0.0065036768173468,0.0164293382199799,0,0.00162500011289359,0.875,0.0875,0.2125,0.242948254308896,1,closed_loop_monte_carlo,ok,ok,-218.817792433536
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,112,113,0.0282750810610868,0.0282750810610868,0.0770747886426333,0.0737140788200641,0.00819045320222934,0.0146095851640427,0,0.00547504269481475,0.821428571428571,0.0339285714285714,0.2125,0.217617907671489,1,closed_loop_monte_carlo,ok,ok,-240.576843883691
