Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_S,Projected_S,AbsError_S,Truth_I,Projected_I,AbsError_I
A1,ARX,Both,49,1,50,88188.9566588358,88283.2114487268,94.2547898910561,2379.84270686153,2451.54990263496,71.7071957734242
A1,ARX,Both,49,2,51,87671.1668485939,87846.5202238346,175.353375240695,2478.74261217414,2629.76843081612,151.02581864198
A1,ARX,Both,49,3,52,87132.5769118367,87374.5218259889,241.944914152191,2581.52666393196,2819.98167942338,238.455015491424
A1,ARX,Both,49,4,53,86572.5432395518,86865.1538449545,292.610605402748,2688.26473526517,3022.76419664679,334.49946138162
A1,ARX,Both,49,5,54,85990.4270678827,86316.2940695951,325.867001712351,2799.01976223727,3238.68537714226,439.665614904981
A1,ARX,Both,49,6,55,85385.597032844,85725.7674146196,340.17038177565,2913.8468693422,3468.3043328778,554.457463535601
A1,ARX,Both,49,7,56,84757.4318822675,85091.3541445194,333.922262251901,3032.79246522754,3712.16421368949,679.371748461951
A1,ARX,Both,49,8,57,84105.3233389417,84410.7994633153,305.47612437357,3155.89331315845,3970.78597882245,814.892665663998
A1,ARX,Both,49,9,58,83428.6791069803,83681.8245282669,253.145421286681,3283.17558146687,4244.66162963327,961.4860481664
A1,ARX,Both,49,10,59,82726.9260114416,82902.1389326131,175.212921171536,3414.65387997665,4534.24692380527,1119.59304382862
A1,ARX,Both,49,11,60,81999.5132591285,82069.4546872627,69.941428134247,3550.33028914636,4839.95360221353,1289.62331306717
A1,ARX,Both,49,12,61,81245.9158063522,81181.5017133871,64.4140929650894,3690.19338941841,5162.14117160671,1471.9477821883
A1,ARX,Both,49,13,62,80465.6378172686,80236.0448382745,229.592978994086,3834.21729899189,5501.10829827464,1666.89099928275
A1,ARX,Both,49,14,63,79658.2161942221,79230.902264301,427.313929921045,3982.36072893651,5857.08388108276,1874.72315214625
A1,ARX,Both,56,1,57,84105.3233389417,84234.6139470099,129.290608068259,3155.89331315845,3244.70555577048,88.812242612029
A1,ARX,Both,56,2,58,83428.6791069803,83671.6393409105,242.960233930222,3283.17558146687,3469.20976353462,186.034182067744
A1,ARX,Both,56,3,59,82726.9260114416,83066.6027289068,339.676717465292,3414.65387997665,3706.69728911984,292.043409143194
A1,ARX,Both,56,4,60,81999.5132591285,82417.5954161156,418.082156987119,3550.33028914636,3957.52690158098,407.196612434625
A1,ARX,Both,56,5,61,81245.9158063522,81722.7174029036,476.801596551421,3690.19338941841,4222.01748473073,531.824095312319
A1,ARX,Both,56,6,62,80465.6378172686,80980.0906142723,514.452797003629,3834.21729899189,4500.4412854264,666.223986434509
A1,ARX,Both,56,7,63,79658.2161942221,80187.8732753207,529.65708109866,3982.36072893651,4793.01692085691,810.6561919204
A1,ARX,Both,56,8,64,78823.2241593837,79344.2753842071,521.051224823372,4134.5660652206,5099.9022129916,965.336147771005
A1,ARX,Both,56,9,65,77960.2748648951,78447.5752128283,487.300347933182,4290.75848782243,5421.18692890909,1130.42844108666
A1,ARX,Both,56,10,66,77069.0250067446,77496.1367424372,427.111735692626,4450.84513761602,5756.8855166639,1306.04037904789
A1,ARX,Both,56,11,67,76149.1784157653,76488.4279187729,339.249503007581,4614.71434215464,6106.92993562511,1492.21559347047
A1,ARX,Both,56,12,68,75200.4895974799,75423.0395870657,222.549989585736,4782.23491179917,6471.16268985994,1688.92777806077
A1,ARX,Both,56,13,69,74222.7671910738,74298.7049453341,75.9377542603033,4953.25551784113,6849.33017952414,1896.074661683
A1,ARX,Both,56,14,70,73215.8773165935,73114.3193308254,101.557985768057,5127.60416433333,7241.07649242277,2113.47232808944
A1,ARX,Both,63,1,64,78823.2241593837,78999.1549986574,175.9308392737,4134.5660652206,4238.31777504888,103.751709828287
A1,ARX,Both,63,2,65,77960.2748648951,78295.1657950023,334.890930107242,4290.75848782243,4506.42378289474,215.665295072318
A1,ARX,Both,63,3,66,77069.0250067446,77544.8437637109,475.81875696627,4450.84513761602,4786.7154669036,335.870329287588
A1,ARX,Both,63,4,67,76149.1784157653,76746.8645410398,597.686125274427,4614.71434215464,5079.16351012882,464.449167974186
A1,ARX,Both,63,5,68,75200.4895974799,75899.9994621785,699.509864698615,4782.23491179917,5383.66693926195,601.432027462775
A1,ARX,Both,63,6,69,74222.7671910738,75003.1312144921,780.36402341834,4953.25551784113,5700.04776506512,746.792247223984
A1,ARX,Both,63,7,70,73215.8773165935,74055.2697482205,839.392431627013,5127.60416433333,6028.04598871527,900.441824381934
A1,ARX,Both,63,8,71,72179.7467785799,73055.5682738209,875.82149524102,5305.08776525215,6367.31507869723,1062.22731344508
A1,ARX,Both,63,9,72,71114.3660937965,72003.3391597753,888.973065978818,5485.49183836006,6717.41802400053,1231.92618564048
A1,ARX,Both,63,10,73,70019.7923105349,70898.0695298323,878.277219297393,5668.58032670278,7077.82407001221,1409.24374330943
A1,ARX,Both,63,11,74,68896.1515872076,69739.4363486597,843.284761452116,5854.09555805476,7447.90623965138,1593.81068159662
A1,ARX,Both,63,12,75,67743.6414985968,68527.3207750997,783.679276502909,6041.75835180937,7826.93973889891,1785.18138708954
A1,ARX,Both,63,13,76,66562.533039248,67261.8215601032,699.288520855232,6231.26828179474,8214.1013359024,1982.83305410765
A1,ARX,Both,63,14,77,65353.1722950851,65943.2672629967,590.094967911667,6422.30410227885,8608.46979552758,2186.16569324873
A1,ARX,Both,70,1,71,72179.7467785799,72416.1540501212,236.407271541349,5305.08776525215,5417.5801836848,112.492418432645
A1,ARX,Both,70,2,72,71114.3660937965,71570.7344359288,456.368342132366,5485.49183836006,5717.00233452457,231.510496164509
A1,ARX,Both,70,3,73,70019.7923105349,70679.1315968729,659.339286338043,5668.58032670278,6025.44425751685,356.863930814067
A1,ARX,Both,70,4,74,68896.1515872076,69741.0150269526,844.863439745081,5854.09555805476,6342.39947982249,488.303921767731
A1,ARX,Both,70,5,75,67743.6414985968,68756.222585876,1012.58108727922,6041.75835180937,6667.28006603379,625.521714224425
A1,ARX,Both,70,6,76,66562.533039248,67724.7716996176,1162.23866036962,6231.26828179474,6999.41608125003,768.147799455283
A1,ARX,Both,70,7,77,65353.1722950851,66646.8695798787,1293.69728479365,6422.30410227885,7338.055932985,915.751830706153
A1,ARX,Both,70,8,78,64115.9817564047,65522.9222784996,1406.9405220949,6614.52434301091,7682.36764802535,1067.84330501444
A1,ARX,Both,70,9,79,62851.4612479765,64353.5423997144,1502.08115173784,6807.568077537,8031.44112780494,1223.87305026795
A1,ARX,Both,70,10,80,61560.1884550325,63139.5553037711,1579.36684873862,7001.0558672336,8384.29141149204,1383.23554425844
A1,ARX,Both,70,11,81,60242.8190274709,61882.0036498589,1639.18462238803,7194.59088153706,8739.86296003043,1545.27207849337
