Scenario,Model,ExoMode,GroupCount,Mean_AbsError_S,Median_AbsError_S,Std_AbsError_S,Min_AbsError_S,Max_AbsError_S,Mean_AbsError_I,Median_AbsError_I,Std_AbsError_I,Min_AbsError_I,Max_AbsError_I
A1,ARX,Both,616,1229.12458757019,360.95408337005,1790.29969868623,0.00640978869995545,10325.9118678166,3143.23468554053,3459.33092223799,1910.67193258767,0.675399054431182,6394.43316231949
A1,ARX,I,616,1229.12589790258,360.954095255221,1790.29755551966,0.00640978825146044,10325.914061922,3143.23406945292,3459.32973920233,1910.66945457675,0.675399056930473,6394.43202603345
A1,ARX,S,616,1229.11746133886,360.954083179575,1790.28209181202,0.00640978912743284,10326.0909278096,3143.24115049339,3459.33094145492,1910.66329080919,0.675399055498929,6394.43314057125
A1,AR,None,616,1239.40463651173,363.356322970699,1808.07383434028,0.00671546277980761,10472.0904018909,3138.94707008061,3419.27416764792,1902.98425062426,0.522381983097148,6394.03960159158
A2,ARX,Both,616,3415.65372103447,2315.94489575061,3674.22650411419,5.82160072393201e-06,14405.9042630896,2417.43618106234,2321.40606459593,1646.55053122328,0,6388.46204595515
A2,ARX,I,616,3415.99182029429,2316.06303791281,3674.52504151718,5.82160072393201e-06,14405.9042630896,2417.19919003512,2321.07028275375,1646.59040644017,0,6388.46204595515
A2,ARX,S,616,3416.76134136593,2316.18097942384,3675.30137273934,5.82160072393201e-06,14405.9042630896,2416.6192624519,2320.56637422952,1646.69763453846,0,6388.46204595515
A2,AR,None,616,3436.718708718,2306.31459681392,3696.1292569086,5.82160072393201e-06,14405.9042630896,2405.70134086923,2334.94619564595,1658.09454442403,0,6381.88105049172
A3,ARX,Both,616,1477.8882000822,466.623101767014,2159.02833203651,8.42770512188284e-06,11073.3093304962,1353.40016961414,444.503251572006,1741.84198467659,0.469303804001584,6375.72091957328
A3,ARX,I,616,1477.555234199,466.501145212154,2158.91799201202,8.42156384783799e-06,11065.1002245106,1353.69552878205,445.20346765083,1741.83718911565,0.461051286004931,6375.74709345591
A3,ARX,S,616,1477.81846866205,466.819629476107,2158.20122739624,8.41082122648995e-06,11048.7935006858,1353.14317662698,443.187578172378,1742.00147647166,0.450680830565943,6375.7194869392
A3,AR,None,616,1492.34709629192,455.482828361237,2197.93391192676,9.86507158096117e-06,11591.083455032,1376.34157402689,491.903669133826,1740.11240434979,1.05290812620706,6376.20167760086
A4,ARX,Both,616,3321.07779905101,3184.46720950213,2618.99959400368,6.56176816904441e-06,12309.7329171324,1174.73054378986,202.30070909079,1716.43468359406,0.127106696889427,6375.42649776431
A4,ARX,I,616,3320.93570580362,3184.46067198688,2618.83787852516,6.56256263709132e-06,12308.1150060892,1174.80154320238,202.477451386971,1716.40491492666,0.127122008458855,6375.43578524418
A4,ARX,S,616,3322.08960389224,3184.45431616179,2619.68834618222,6.56573284807394e-06,12304.6887367939,1173.88016500682,196.472196754836,1716.96551736177,0.127094414365899,6375.42389621115
A4,AR,None,616,3343.01965409014,3180.64429325782,2665.49860813413,6.69458382640542e-06,13195.738335484,1184.43692925222,218.074486363613,1708.28265812871,0.0874439657114294,6375.83661418828
