Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,WIS
A1,ARX,Both,49,1,50,1.4966032770697,1.49660327706992,1.55585421089831e-13
A1,ARX,Both,49,2,51,1.49487796559399,1.49487796559551,1.41093186516943e-12
A1,ARX,Both,49,3,52,1.49280316518971,1.49280316519615,6.27733790873701e-12
A1,ARX,Both,49,4,53,1.49038133490722,1.49038133502443,1.08741077870573e-10
A1,ARX,Both,49,5,54,1.48761534509619,1.48761534578838,6.74164430453712e-10
A1,ARX,Both,49,6,55,1.48450847400365,1.48450847669057,2.65830077826755e-09
A1,ARX,Both,49,7,56,1.48106440388863,1.4810644119718,8.04292537632318e-09
A1,ARX,Both,49,8,57,1.47728721665793,1.47728723724644,2.05354943074967e-08
A1,ARX,Both,49,9,58,1.47318138902826,1.47318143544701,4.63518683707025e-08
A1,ARX,Both,49,10,59,1.46875178722047,1.46875188266737,9.53649219272003e-08
A1,ARX,Both,49,11,60,1.46400366119206,1.46400384357653,1.82286304238764e-07
A1,ARX,Both,49,12,61,1.45894263841497,1.45894296686857,3.2833791639739e-07
A1,ARX,Both,49,13,62,1.45357471720592,1.45357528018205,5.62841866174551e-07
A1,ARX,Both,49,14,63,1.44790625961717,1.4479071852529,9.25481477404628e-07
A1,ARX,Both,56,1,57,1.47728721665793,1.47728721665849,4.063477949185e-13
A1,ARX,Both,56,2,58,1.47318138902826,1.47318138903204,3.5496321931166e-12
A1,ARX,Both,56,3,59,1.46875178722047,1.46875178723616,1.5346599300001e-11
A1,ARX,Both,56,4,60,1.46400366119206,1.46400366147771,2.74061785611303e-10
A1,ARX,Both,56,5,61,1.45894263841497,1.45894264010444,1.66558896921545e-09
A1,ARX,Both,56,6,62,1.45357471720592,1.45357472376788,6.52506929599284e-09
A1,ARX,Both,56,7,63,1.44790625961717,1.44790627936197,1.9694453416245e-08
A1,ARX,Both,56,8,64,1.44194398389628,1.44194403418418,5.02232881196798e-08
A1,ARX,Both,56,9,65,1.43569495652361,1.43569506987524,1.1327243444449e-07
A1,ARX,Both,56,10,66,1.42916658383716,1.42916681682115,2.32889301564497e-07
A1,ARX,Both,56,11,67,1.42236660325458,1.42236704822677,4.44861914043286e-07
A1,ARX,Both,56,12,68,1.41530307410279,1.41530387495199,8.0072228042886e-07
A1,ARX,Both,56,13,69,1.40798436806609,1.40798573975807,1.37154868981273e-06
A1,ARX,Both,56,14,70,1.40041915926406,1.40042141274388,2.25331887110504e-06
A1,ARX,Both,63,1,64,1.44194398389628,1.44194398389799,1.31905104123259e-12
A1,ARX,Both,63,2,65,1.43569495652361,1.43569495653487,1.07369656375688e-11
A1,ARX,Both,63,3,66,1.42916658383716,1.42916658388309,4.5208269226925e-11
A1,ARX,Both,63,4,67,1.42236660325458,1.4223666038216,5.47481717985379e-10
A1,ARX,Both,63,5,68,1.41530307410279,1.41530307726007,3.11913152960407e-09
A1,ARX,Both,63,6,69,1.40798436806609,1.40798438003872,1.19162759141626e-08
A1,ARX,Both,63,7,70,1.40041915926406,1.40041919479125,3.54540233258069e-08
A1,ARX,Both,63,8,71,1.39261641397097,1.39261650353117,8.94702140103516e-08
A1,ARX,Both,63,9,72,1.384585379989,1.38458558014656,2.00052419147618e-07
A1,ARX,Both,63,10,73,1.37633557568774,1.37633598396108,4.08152524300487e-07
A1,ARX,Both,63,11,74,1.36787677872305,1.3678775529502,7.7409291345069e-07
A1,ARX,Both,63,12,75,1.35921901444858,1.35922039845392,1.3838564208335e-06
A1,ARX,Both,63,13,76,1.35037254403373,1.3503748990297,2.35483562490331e-06
A1,ARX,Both,63,14,77,1.34134785230216,1.34135169643395,3.84395756865367e-06
A1,ARX,Both,70,1,71,1.39261641397097,1.39261641397097,1.8454373831547e-15
