CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,ReplicateID,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalMethod,IntervalStatus,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,1,50,1.4966032770697,0.05,0.95,1.49660327706929,1.49660327706957,0,closed_loop_monte_carlo,ok,2.78443934575989e-13,-0.95,0.95,5.45652412142772e-12,3.03140228968207e-14,1.54691074764438e-15,0,2.87671121491763e-14
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,2,51,1.49487796559399,0.05,0.95,1.4948779655912,1.49487796559279,0,closed_loop_monte_carlo,ok,1.59117163889277e-12,-0.95,0.95,4.96327423604725e-11,2.75737457558181e-13,8.83984243829319e-15,0,2.66897615119888e-13
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,3,52,1.49280316518971,0.05,0.95,1.49280316517842,1.49280316518371,0,closed_loop_monte_carlo,ok,5.2913229353635e-12,-0.95,0.95,2.45401476917095e-10,1.36334153842831e-12,2.93962385297972e-14,0,1.33394529989851e-12
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,4,53,1.49038133490722,0.05,0.95,1.49038133487176,1.49038133488577,0,closed_loop_monte_carlo,ok,1.40090161693252e-11,-0.95,0.95,8.71980487815449e-10,4.84433604341916e-12,7.7827867607362e-14,0,4.7665081758118e-12
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,5,54,1.48761534509619,0.05,0.95,1.48761534508566,1.48761534511774,1,closed_loop_monte_carlo,ok,3.20785620289143e-11,0.05,0.05,3.20785620289143e-11,1.78214233493969e-13,1.78214233493969e-13,0,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,6,55,1.48450847400365,0.05,0.95,1.48450847444794,1.48450847451294,0,closed_loop_monte_carlo,ok,6.49982290212847e-11,-0.95,0.95,1.78365779923695e-08,9.90920999576082e-11,3.61101272340471e-13,9.87309986852678e-11,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,7,56,1.48106440388863,0.05,0.95,1.48106440638814,1.48106440650964,0,closed_loop_monte_carlo,ok,1.21497700789064e-10,-0.95,0.95,1.00102072631003e-07,5.56122625727795e-10,6.7498722660591e-13,5.55447638501189e-10,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,8,57,1.47728721665793,0.05,0.95,1.47728722555192,1.4772872257654,0,closed_loop_monte_carlo,ok,2.13481676780702e-10,-0.95,0.95,3.55973063470572e-07,1.97762813039206e-09,1.18600931544835e-12,1.97644212107662e-09,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,9,58,1.47318138902826,0.05,0.95,1.47318141410869,1.47318141446251,0,closed_loop_monte_carlo,ok,3.53819862297655e-10,-0.95,0.95,1.00357094701131e-06,5.57539415006284e-09,1.96566590165364e-12,5.57342848416119e-09,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,10,59,1.46875178722047,0.05,0.95,1.46875184800778,1.46875184856648,0,closed_loop_monte_carlo,ok,5.58698864949747e-10,-0.95,0.95,2.43205100414201e-06,1.35113944674556e-08,3.10388258305415e-12,1.35082905848726e-08,0
