CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,ReplicateID,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,SquaredError,AbsoluteError,WIS,RawScaleWIS,WISMedianComponent,WISDispersionComponent,WISUnderpredictionComponent,WISOverpredictionComponent,CoverageMean,CalibrationBiasMean,AbsoluteCalibrationErrorMean,IntervalWidthMean,IntervalMethod,IntervalStatus
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,1,50,1.4966032770697,1.49660327706941,-2.88435941797616e-13,8.31952925206775e-26,2.88435941797616e-13,1.984412634215e-13,1.984412634215e-13,3.20484379775129e-14,1.44649724297273e-14,0,1.5192785301426e-13,0,-0.7875,0.7875,1.9551027463649e-13,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,2,51,1.49487796559399,1.49487796559183,-2.16360263038951e-12,4.68117634222839e-24,2.16360263038951e-12,1.64909567483088e-12,1.64909567483088e-12,2.40400292265501e-13,8.16087937967798e-14,0,1.3270865887686e-12,0,-0.7875,0.7875,1.11760600773891e-12,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,3,52,1.49280316518971,1.49280316518032,-9.3896002084648e-12,8.81645920748022e-23,9.3896002084648e-12,7.56000447429036e-12,7.56000447429036e-12,1.04328891205164e-12,2.83380726292156e-13,0,6.23333483594656e-12,0,-0.7875,0.7875,3.84525744578923e-12,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,4,53,1.49038133490722,1.49038133487687,-3.0347058199709e-11,9.20943941376522e-22,3.0347058199709e-11,2.54945780536136e-11,2.54945780536136e-11,3.37189535552322e-12,7.7264984533877e-13,0,2.13500328527516e-11,0,-0.7875,0.7875,1.03247410621066e-11,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,5,54,1.48761534509619,1.48761534509811,1.92290627865077e-12,3.69756855647456e-24,1.92290627865077e-12,1.9528070518662e-12,1.9528070518662e-12,2.13656253183419e-13,1.73915079868278e-12,0,0,1,0.2125,0.2125,2.33836838781087e-11,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,6,55,1.48450847400365,1.48450847447358,4.69930983015843e-10,2.20835128798236e-19,4.69930983015843e-10,4.56730863006448e-10,4.56730863006448e-10,5.2214553668427e-11,3.45584055199626e-12,4.01060468786025e-10,0,0,-0.7875,0.7875,4.72146211016877e-11,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,7,56,1.48106440388863,1.4810644064392,2.5505662026859e-09,6.50538795428357e-18,2.5505662026859e-09,2.52424576179738e-09,2.52424576179738e-09,2.83396244742878e-10,6.31414550274675e-12,2.23453537155175e-09,0,0,-0.7875,0.7875,8.76221317724912e-11,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,8,57,1.47728721665793,1.47728722564436,8.98642937841032e-09,8.07559129731561e-17,8.98642937841032e-09,8.94061374317406e-09,8.94061374317406e-09,9.98492153156702e-10,1.08275980773935e-11,7.93129399193996e-09,0,0,-0.7875,0.7875,1.51813339677176e-10,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,9,58,1.47318138902826,1.47318141426514,2.52368776987311e-08,6.36899995980709e-16,2.52368776987311e-08,2.5162280551753e-08,2.5162280551753e-08,2.80409752208123e-09,1.73456027319219e-11,2.23408374269398e-08,0,0,-0.7875,0.7875,2.4762886186025e-10,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,10,59,1.46875178722047,1.46875184826089,6.10404211620619e-08,3.72593301564189e-15,6.10404211620619e-08,6.0921017793388e-08,6.0921017793388e-08,6.78226901800688e-09,2.68832684508564e-11,5.41118655069302e-08,0,0,-0.7875,0.7875,3.8678166225381e-10,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,11,60,1.46400366119206,1.46400379363748,1.32445423961514e-07,1.75417903283451e-14,1.32445423961514e-07,1.3226532220825e-07,1.3226532220825e-07,1.4716158217946e-08,4.04830317416819e-11,1.17508680958562e-07,0,0,-0.7875,0.7875,5.80704540009691e-10,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,12,61,1.45894263841497,1.45894290277606,2.64361085910991e-07,6.98867837440385e-14,2.64361085910991e-07,2.64097082803961e-07,2.64097082803961e-07,2.93734539901101e-08,5.83270061878712e-11,2.34665301807663e-07,0,0,-0.7875,0.7875,8.41687830543947e-10,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,13,62,1.45357471720592,1.45357521087419,4.93668274703651e-07,2.4370836544888e-13,4.93668274703651e-07,4.93275656390482e-07,4.93275656390482e-07,5.48520305226279e-08,8.17899032452058e-11,4.38341835964609e-07,0,0,-0.7875,0.7875,1.19148030330862e-09,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,14,63,1.44790625961717,1.44790713246859,8.72851417366149e-07,7.61869596798096e-13,8.72851417366149e-07,8.72294577174909e-07,8.72294577174909e-07,9.6983490818461e-08,1.124262288204e-10,7.75198660127627e-07,0,0,-0.7875,0.7875,1.64820251891129e-09,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,1,57,1.47728721665793,1.47728721665791,-2.1316282072803e-14,4.54383881407303e-28,2.1316282072803e-14,1.58724885087243e-14,1.58724885087243e-14,2.368475785867e-15,1.35040127228573e-14,0,0,1,0.2125,0.2125,2.12774242669411e-13,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,2,58,1.47318138902826,1.47318138902822,-4.37427871702312e-14,1.91343142942014e-27,4.37427871702312e-14,7.9478399170638e-14,7.9478399170638e-14,4.86030968558124e-15,7.46180894850568e-14,0,0,1,0.2125,0.2125,1.17578169422927e-12,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,3,59,1.46875178722047,1.46875178722083,3.62376795237651e-13,1.31316941726711e-25,3.62376795237651e-13,2.94574241542654e-13,2.94574241542654e-13,4.0264088359739e-14,2.54310153182915e-13,0,0,1,0.2125,0.2125,4.04726252511978e-12,closed_loop_monte_carlo,ok
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,4,60,1.46400366119206,1.46400366119482,2.75512945790979e-12,7.59073832984228e-24,2.75512945790979e-12,1.146799938962e-12,1.146799938962e-12,3.0612549532331e-13,6.68170457234712e-13,1.7250398640398e-13,0,0.75,-0.0375,0.2125,1.07682751604443e-11,closed_loop_monte_carlo,ok
