Case,Scenario,Model,ExoMode,PartA_MeanWIS,PartB_MeanWIS,MeanWISDifference,MeanWISRatio,RelativeWISIncrease
combined_stress,A1,AR,None,1.20481287856928e-06,0.0249468682983967,0.0249456634855181,20706.0106528917,20705.0106528917
combined_stress,A1,ARX,Both,1.29801842119186e-05,0.0501786267028352,0.0501656465186233,3865.78694751962,3864.78694751962
combined_stress,A1,ARX,I,4.11985298829491e-07,0.0375564574771886,0.0375560454918898,91159.7029891402,91158.7029891402
combined_stress,A1,ARX,S,1.10791795531459e-05,0.0387820297413668,0.0387709505618137,3500.4423888369,3499.4423888369
combined_stress,A2,AR,None,0.00205841363875642,0.0247629897036363,0.0227045760648799,12.0301329321724,11.0301329321724
combined_stress,A2,ARX,Both,0.0179510921695333,0.0314347727814157,0.0134836806118824,1.75113427553823,0.751134275538229
combined_stress,A2,ARX,I,0.0156267756604067,0.026188035356105,0.0105612596956983,1.67584381610195,0.67584381610195
combined_stress,A2,ARX,S,0.0167432327895346,0.0291428334614553,0.0123996006719207,1.74057386812845,0.740573868128448
combined_stress,A3,AR,None,5.19842556900933e-05,0.0275673247881423,0.0275153405324522,530.301423424937,529.301423424937
combined_stress,A3,ARX,Both,0.00139232246070709,0.033851233969716,0.032458911509009,24.3127830836865,23.3127830836865
combined_stress,A3,ARX,I,0.000331270529266363,0.0318951693042832,0.0315638987750168,96.2813365104309,95.2813365104309
combined_stress,A3,ARX,S,0.00153022361614345,0.0320379652432794,0.030507741627136,20.9367865619688,19.9367865619688
combined_stress,A4,AR,None,5.89437834481898e-05,0.0298983346534987,0.0298393908700505,507.234739686817,506.234739686817
combined_stress,A4,ARX,Both,0.00145153312619069,0.038261740452262,0.0368102073260713,26.3595365216869,25.3595365216869
combined_stress,A4,ARX,I,0.000395530260407456,0.0349796832101748,0.0345841529497673,88.4374388299404,87.4374388299404
combined_stress,A4,ARX,S,0.0015503119476495,0.0363630177650819,0.0348127058174324,23.4552909304567,22.4552909304567
observation_noise,A1,AR,None,1.20481287856928e-06,0.0242973573680532,0.0242961525551747,20166.9137176774,20165.9137176774
observation_noise,A1,ARX,Both,1.29801842119186e-05,0.0405199597168432,0.0405069795326312,3121.67832561553,3120.67832561553
observation_noise,A1,ARX,I,4.11985298829491e-07,0.0378523089557423,0.0378518969704435,91877.8147261227,91876.8147261227
observation_noise,A1,ARX,S,1.10791795531459e-05,0.0421496964959947,0.0421386173164416,3804.40593942957,3803.40593942957
observation_noise,A2,AR,None,0.00205841363875642,0.0252202387257736,0.0231618250870171,12.2522695394742,11.2522695394742
observation_noise,A2,ARX,Both,0.0179510921695333,0.0304629001166118,0.0125118079470785,1.69699424574921,0.696994245749213
observation_noise,A2,ARX,I,0.0156267756604067,0.0254975212065442,0.00987074554613752,1.63165593214132,0.631655932141324
observation_noise,A2,ARX,S,0.0167432327895346,0.0294333747213526,0.012690141931818,1.75792662572009,0.757926625720095
observation_noise,A3,AR,None,5.19842556900933e-05,0.0271420524073574,0.0270900681516673,522.120631468999,521.120631468999
observation_noise,A3,ARX,Both,0.00139232246070709,0.0330479067038571,0.03165558424315,23.7358138193604,22.7358138193604
observation_noise,A3,ARX,I,0.000331270529266363,0.0313831754201655,0.0310519048908991,94.7357903815566,93.7357903815566
observation_noise,A3,ARX,S,0.00153022361614345,0.0323095535855017,0.0307793299693583,21.1142693424965,20.1142693424965
observation_noise,A4,AR,None,5.89437834481898e-05,0.0288658417002916,0.0288068979168434,489.718168934031,488.718168934031
observation_noise,A4,ARX,Both,0.00145153312619069,0.0381956303084948,0.0367440971823041,26.3139914751604,25.3139914751604
observation_noise,A4,ARX,I,0.000395530260407456,0.0361685534385452,0.0357730231781378,91.4432018457606,90.4432018457606
observation_noise,A4,ARX,S,0.0015503119476495,0.0402463458887052,0.0386960339410557,25.960159792179,24.960159792179
process_noise,A1,AR,None,1.20481287856928e-06,1.20481287856928e-06,0,1,0
process_noise,A1,ARX,Both,1.29801842119186e-05,1.19376057470395e-05,-1.04257846487912e-06,0.919679224280823,-0.0803207757191774
process_noise,A1,ARX,I,4.11985298829491e-07,4.17493610958376e-07,5.50831212888431e-09,1.01337016671356,0.0133701667135557
process_noise,A1,ARX,S,1.10791795531459e-05,1.24814609775404e-05,1.40228142439453e-06,1.12656906747182,0.12656906747182
process_noise,A2,AR,None,0.00205841363875642,0.00205841363875642,0,1,0
process_noise,A2,ARX,Both,0.0179510921695333,0.200159934072945,0.182208841903412,11.1502928168715,10.1502928168715
process_noise,A2,ARX,I,0.0156267756604067,0.015631630760114,4.85509970730316e-06,1.00031069107363,0.00031069107362991
process_noise,A3,AR,None,5.19842556900933e-05,5.19842556900933e-05,0,1,0
process_noise,A3,ARX,Both,0.00139232246070709,0.00146387484806561,7.1552387358526e-05,1.05139067233189,0.0513906723318882
process_noise,A3,ARX,I,0.000331270529266363,0.000351179251421882,1.99087221555192e-05,1.06009807814661,0.0600980781466114
process_noise,A3,ARX,S,0.00153022361614345,0.00161074459617528,8.05209800318341e-05,1.05262040082401,0.0526204008240101
process_noise,A4,AR,None,5.89437834481898e-05,5.89437834481898e-05,0,1,0
process_noise,A4,ARX,Both,0.00145153312619069,0.0015131273780124,6.15942518217079e-05,1.04243392776254,0.0424339277625385
process_noise,A4,ARX,I,0.000395530260407456,0.000407060726267714,1.15304658602579e-05,1.02915191835987,0.0291519183598743
process_noise,A4,ARX,S,0.0015503119476495,0.00163997588826794,8.96639406184399e-05,1.05783606373826,0.057836063738258
structural_mismatch,A1,AR,None,1.20481287856928e-06,1.20481287856928e-06,0,1,0
structural_mismatch,A1,ARX,Both,1.29801842119186e-05,1.24199664529737e-05,-5.60217758944918e-07,0.95684053863962,-0.0431594613603798
structural_mismatch,A1,ARX,I,4.11985298829491e-07,4.60233356767793e-07,4.82480579383018e-08,1.11711111555529,0.117111115555291
structural_mismatch,A1,ARX,S,1.10791795531459e-05,1.53806355561444e-05,4.30145600299855e-06,1.38824679953645,0.388246799536449
structural_mismatch,A2,AR,None,0.00205841363875642,0.00205841363875642,0,1,0
structural_mismatch,A2,ARX,Both,0.0179510921695333,0.0189798487718653,0.001028756602332,1.05730885857062,0.057308858570623
structural_mismatch,A2,ARX,I,0.0156267756604067,0.0156562485264196,2.94728660129435e-05,1.00188604908994,0.00188604908993617
structural_mismatch,A2,ARX,S,0.0167432327895346,0.016615439130886,-0.000127793658648651,0.992367444193421,-0.00763255580657851
structural_mismatch,A3,AR,None,5.19842556900933e-05,5.19842556900933e-05,0,1,0
