Case,Model,ExoMode,PartA_MeanWIS,PartB_MeanWIS,MeanWISDifference,MeanWISRatio,RelativeWISIncrease
combined_stress,AR,None,0.000542636622693317,0.0267938793609185,0.0262512427382252,49.3772042659598,48.3772042659598
combined_stress,ARX,Both,0.00520198198516075,0.0384315934765572,0.0332296114913965,7.38787515723579,6.38787515723579
combined_stress,ARX,I,0.00408849710884483,0.0326548363369379,0.0285663392280931,7.9870024284215,6.9870024284215
combined_stress,ARX,S,0.00495871188322018,0.0340814615527959,0.0291227496695757,6.87304734685723,5.87304734685723
observation_noise,AR,None,0.000542636622693317,0.026381372550369,0.0258387359276756,48.6170144938392,47.6170144938392
observation_noise,ARX,Both,0.00520198198516075,0.0355565992114517,0.030354617226291,6.83520229652486,5.83520229652486
observation_noise,ARX,I,0.00408849710884483,0.0327253897552493,0.0286368926464045,8.00425899395966,7.00425899395966
observation_noise,ARX,S,0.00495871188322018,0.0360347426728886,0.0310760307896684,7.26695632283594,6.26695632283594
process_noise,AR,None,0.000542636622693317,0.000542636622693317,0,1,0
process_noise,ARX,Both,0.00520198198516075,0.0507872184761925,0.0455852364910317,9.76305158708139,8.76305158708139
process_noise,ARX,I,0.00408849710884483,0.00409757205785363,9.07494900880229e-06,1.00221962955267,0.0022196295526713
process_noise,ARX,S,0.00103053824778203,0.00108773398180692,5.71957340248895e-05,1.05550083575063,0.055500835750627
structural_mismatch,AR,None,0.000542636622693317,0.000542636622693317,0,1,0
structural_mismatch,ARX,Both,0.00520198198516075,0.00543465715569324,0.000232675170532481,1.04472817691338,0.0447281769133794
structural_mismatch,ARX,I,0.00408849710884483,0.00409418396151989,5.68685267505917e-06,1.0013909396347,0.00139093963470316
structural_mismatch,ARX,S,0.00495871188322018,0.00494285369217905,-1.58581910411287e-05,0.996801953528538,-0.00319804647146216
