Case,Model,ExoMode,Attempts,Saved,NoWindows,DomainFailures,Pending,SuccessRate
combined_stress,AR,None,40,40,0,0,0,1
combined_stress,ARX,Both,40,40,0,0,0,1
combined_stress,ARX,I,40,40,0,0,0,1
combined_stress,ARX,S,40,37,0,3,0,0.925
observation_noise,AR,None,40,40,0,0,0,1
observation_noise,ARX,Both,40,40,0,0,0,1
observation_noise,ARX,I,40,40,0,0,0,1
observation_noise,ARX,S,40,32,0,8,0,0.8
process_noise,AR,None,39,39,0,0,0,1
process_noise,ARX,Both,39,31,0,8,0,0.794871794871795
process_noise,ARX,I,39,39,0,0,0,1
process_noise,ARX,S,39,29,0,10,0,0.743589743589744
structural_mismatch,AR,None,4,4,0,0,0,1
structural_mismatch,ARX,Both,4,4,0,0,0,1
structural_mismatch,ARX,I,4,4,0,0,0,1
structural_mismatch,ARX,S,4,4,0,0,0,1
