Case,Model,ExoMode,Alpha,NominalCoverage,MeanCoverage,MeanIntervalWidth,CoverageError,NumScenariosExpected,NumScenariosWithScores,CompleteScenarioCoverage
combined_stress,AR,None,0.05,0.95,0.993709415584416,0.390279898705355,0.0437094155844155,4,4,1
combined_stress,AR,None,0.1,0.9,0.989448051948052,0.328536442509649,0.0894480519480519,4,4,1
combined_stress,AR,None,0.2,0.8,0.965584415584416,0.254836966694648,0.165584415584416,4,4,1
combined_stress,AR,None,0.5,0.5,0.758603896103896,0.133774730285873,0.258603896103896,4,4,1
combined_stress,ARX,Both,0.05,0.95,0.960633116883117,0.418097838606599,0.0106331168831169,4,4,1
combined_stress,ARX,Both,0.1,0.9,0.930397727272727,0.352439575674381,0.0303977272727273,4,4,1
combined_stress,ARX,Both,0.2,0.8,0.849066558441558,0.273313974374936,0.0490665584415584,4,4,1
combined_stress,ARX,Both,0.5,0.5,0.545941558441558,0.143738439309357,0.0459415584415584,4,4,1
combined_stress,ARX,I,0.05,0.95,0.968952922077922,0.403062542563679,0.018952922077922,4,4,1
combined_stress,ARX,I,0.1,0.9,0.951704545454546,0.339833187849896,0.0517045454545455,4,4,1
combined_stress,ARX,I,0.2,0.8,0.906737012987013,0.263952776358324,0.106737012987013,4,4,1
combined_stress,ARX,I,0.5,0.5,0.654829545454545,0.138443521643876,0.154829545454545,4,4,1
combined_stress,ARX,S,0.05,0.95,0.976143127705628,0.418736669719176,0.0261431277056278,4,4,1
combined_stress,ARX,S,0.1,0.9,0.954505997474747,0.352708186258256,0.0545059974747474,4,4,1
combined_stress,ARX,S,0.2,0.8,0.895970869408369,0.273719254601889,0.0959708694083694,4,4,1
combined_stress,ARX,S,0.5,0.5,0.633039096320346,0.143820951049883,0.133039096320346,4,4,1
observation_noise,AR,None,0.05,0.95,0.994237012987013,0.384422395620499,0.044237012987013,4,4,1
observation_noise,AR,None,0.1,0.9,0.990949675324675,0.324024696934535,0.0909496753246752,4,4,1
observation_noise,AR,None,0.2,0.8,0.968912337662338,0.251500584734102,0.168912337662338,4,4,1
observation_noise,AR,None,0.5,0.5,0.762053571428571,0.132254896594205,0.262053571428571,4,4,1
observation_noise,ARX,Both,0.05,0.95,0.9625,0.406251303422942,0.0125000000000002,4,4,1
observation_noise,ARX,Both,0.1,0.9,0.934090909090909,0.343018797724554,0.0340909090909091,4,4,1
observation_noise,ARX,Both,0.2,0.8,0.863068181818182,0.266473774180192,0.0630681818181817,4,4,1
observation_noise,ARX,Both,0.5,0.5,0.557305194805195,0.139206438299729,0.0573051948051948,4,4,1
observation_noise,ARX,I,0.05,0.95,0.965584415584416,0.398525057962519,0.0155844155844156,4,4,1
observation_noise,ARX,I,0.1,0.9,0.945698051948052,0.336258061372742,0.0456980519480519,4,4,1
observation_noise,ARX,I,0.2,0.8,0.899188311688312,0.260829213516464,0.0991883116883117,4,4,1
observation_noise,ARX,I,0.5,0.5,0.656006493506494,0.136461784294597,0.156006493506494,4,4,1
observation_noise,ARX,S,0.05,0.95,0.965056818181818,0.420002339829143,0.0150568181818183,4,4,1
observation_noise,ARX,S,0.1,0.9,0.938311688311688,0.353540645937177,0.0383116883116884,4,4,1
observation_noise,ARX,S,0.2,0.8,0.872321428571428,0.27481353892943,0.0723214285714284,4,4,1
observation_noise,ARX,S,0.5,0.5,0.60588474025974,0.143563697443382,0.10588474025974,4,4,1
process_noise,AR,None,0.05,0.95,0.741477272727273,0.00749880794468735,-0.208522727272727,4,4,1
process_noise,AR,None,0.1,0.9,0.701298701298701,0.00607536244976006,-0.198701298701299,4,4,1
process_noise,AR,None,0.2,0.8,0.625,0.00421457333921285,-0.175,4,4,1
process_noise,AR,None,0.5,0.5,0.417207792207792,0.00180259798306832,-0.0827922077922079,4,4,1
process_noise,ARX,Both,0.05,0.95,0.515128968253968,0.0110652255263485,-0.434871031746032,4,4,1
process_noise,ARX,Both,0.1,0.9,0.476194985569986,0.00894019688277742,-0.423805014430014,4,4,1
process_noise,ARX,Both,0.2,0.8,0.40886544011544,0.00682396178859948,-0.39113455988456,4,4,1
process_noise,ARX,Both,0.5,0.5,0.176767676767677,0.00331524311613096,-0.323232323232323,4,4,1
process_noise,ARX,I,0.05,0.95,0.511805555555556,0.00770668664198415,-0.438194444444444,4,4,1
