Case,Scenario,Replicate,Model,ExoMode,MeanWIS,MAE,RMSE,MeanCoverage,MeanIntervalWidth,NumWindows,NumHorizonRows
combined_stress,A2,rep001,ARX,I,0.130173905020639,0.260284626701065,0.288271284896476,0.345238095238095,0.485324155091987,18,252
combined_stress,A2,rep002,ARX,I,0.146992021330072,0.262606554268808,0.297475962598308,0.212662337662338,0.418398362623886,22,308
combined_stress,A2,rep003,ARX,I,0.143952658889563,0.265401001382295,0.296332067267594,0.288961038961039,0.464358290999715,22,308
combined_stress,A2,rep004,ARX,I,0.140405715820733,0.269524932753837,0.285370934202135,0.242063492063492,0.43409738518507,18,252
combined_stress,A2,rep005,ARX,I,0.142773628622618,0.279329468713843,0.293215257616119,0.236842105263158,0.460545612219499,19,266
combined_stress,A2,rep006,ARX,I,0.146120248474175,0.277961187573012,0.30018932013351,0.267857142857143,0.469873383005447,20,280
combined_stress,A2,rep007,ARX,I,0.135323316895207,0.266200822266069,0.302550476001522,0.31737012987013,0.474644056536786,22,308
combined_stress,A2,rep008,ARX,I,0.14752056134191,0.289810241363532,0.313407448467178,0.238354037267081,0.495031621995525,23,322
combined_stress,A2,rep009,ARX,I,0.135628603238162,0.259689213577782,0.26820190545442,0.137218045112782,0.401046050535425,19,266
combined_stress,A2,rep010,ARX,I,0.126315179477089,0.251569171312856,0.276454740626331,0.321428571428571,0.466605826468711,19,266
observation_noise,A1,rep002,ARX,I,0.0532661535431741,0.11488360777088,0.140076210479289,0.780187074829932,0.423415755838743,42,588
observation_noise,A1,rep006,ARX,I,0.0499185736263232,0.1117029809641,0.130171240895017,0.79719387755102,0.416978692359279,42,588
observation_noise,A1,rep008,ARX,I,0.0489232159156504,0.109280037579286,0.130574477860942,0.784438775510204,0.379599603800326,42,588
observation_noise,A1,rep010,ARX,I,0.048239767297965,0.104946559757189,0.126321698029455,0.810374149659864,0.394641741413912,42,588
observation_noise,A2,rep001,ARX,I,0.0924789800711481,0.196666121992777,0.224073982089785,0.574175824175824,0.51547523364077,13,182
observation_noise,A2,rep002,ARX,I,0.0812638519622735,0.172838491082173,0.200382559207013,0.60989010989011,0.464150517002175,13,182
observation_noise,A2,rep003,ARX,I,0.102031916720153,0.229847320082754,0.259394668840255,0.616758241758242,0.589757266447051,13,182
observation_noise,A2,rep004,ARX,I,0.0674591445510229,0.159035479893421,0.171002840353401,0.693181818181818,0.506253769280881,11,154
observation_noise,A2,rep005,ARX,I,0.108872801101256,0.230068925803598,0.266067456142391,0.607142857142857,0.636560357866639,13,182
observation_noise,A2,rep006,ARX,I,0.086484510350331,0.182929968839615,0.212437381806595,0.53125,0.413574563636723,12,168
observation_noise,A2,rep007,ARX,I,0.0712460068873224,0.167531108054515,0.183315451218128,0.625,0.450333600357562,12,168
observation_noise,A2,rep008,ARX,I,0.0736315303909523,0.173284857069913,0.182599999086239,0.580357142857143,0.467442739304917,12,168
observation_noise,A2,rep009,ARX,I,0.0947893757638934,0.204163150476503,0.231972040230765,0.48489010989011,0.434795363208827,13,182
observation_noise,A2,rep010,ARX,I,0.0634963423898924,0.14423963270499,0.166847851793032,0.683035714285714,0.408570625413274,12,168
observation_noise,A3,rep001,ARX,I,0.040877915029363,0.0776402295985986,0.095058531589496,0.889455782312925,0.39810810445518,42,588
observation_noise,A3,rep002,ARX,I,0.0457190807042794,0.0837980774778875,0.101551552813913,0.901360544217687,0.48042354159496,42,588
observation_noise,A3,rep003,ARX,I,0.0409882576744418,0.0837542756522488,0.0992733317086485,0.845238095238095,0.363300376571729,42,588
observation_noise,A3,rep004,ARX,I,0.0496524201359885,0.0946811675788495,0.114675231852937,0.828656462585034,0.419819970180772,42,588
observation_noise,A3,rep005,ARX,I,0.0467637377287671,0.086881992230542,0.106009845736354,0.882227891156463,0.45554814368034,42,588
observation_noise,A3,rep006,ARX,I,0.0410112128061153,0.0785400918677229,0.0943852190236767,0.884353741496599,0.415358302707496,42,588
observation_noise,A3,rep007,ARX,I,0.0406711798808497,0.0787880121948549,0.0921077256637597,0.876275510204082,0.402199898224541,42,588
