Case,Scenario,Model,ExoMode,NumReplicates,MeanWIS,StdWIS,MedianWIS,MeanMAE,MeanRMSE,MeanCoverage,MeanIntervalWidth
combined_stress,A2,ARX,I,10,0.139520583911017,0.0073703181889696,0.141589672221676,0.26823772199131,0.292146939726359,0.260799499572383,0.456992474466205
observation_noise,A1,ARX,I,4,0.0500869275957782,0.00222875501299942,0.0494208947709868,0.110203296517864,0.131785906816176,0.793048469387755,0.403658948353065
observation_noise,A2,ARX,I,10,0.0841754460188246,0.0153102393082578,0.0838741811563022,0.186060505600026,0.20980942307676,0.600568181818182,0.488691403615882
observation_noise,A3,ARX,I,10,0.0426678810432224,0.00340324869785966,0.0409330863519024,0.0808788391265736,0.0977717480385254,0.879166666666667,0.414968093954124
observation_noise,A4,ARX,I,9,0.0482622226248764,0.00380363082971339,0.0482632058265991,0.0979094269796038,0.11895946753079,0.850765306122449,0.437550675788594
process_noise,A1,ARX,I,9,9.91245649466349e-05,9.46516078843347e-07,9.94651410580174e-05,0.000120469120628658,0.000223169887163971,0.14614898989899,5.96603771402413e-05
process_noise,A2,ARX,I,10,0.0139005173298523,0.000202862379781251,0.0138570187723082,0.0206408765019449,0.0568484709632158,0.634090909090909,0.0321433897310147
process_noise,A3,ARX,I,10,0.00847597027900299,0.000218582895592502,0.00848140893898246,0.0113361900143922,0.0170495574008824,0.270332792207792,0.00871843379254219
process_noise,A4,ARX,I,10,0.0107711098758454,0.000109704166818281,0.0107595777326109,0.0139667634708519,0.0210263404389958,0.240178571428571,0.00963976378336973
structural_mismatch,A2,ARX,I,1,0.0157558012621993,NaN,0.0157558012621993,0.0229801093441394,0.0621898858093054,0.607954545454545,0.0340531448911354
