Case,Model,ExoMode,NumScenarios,TotalReplicates,MeanWIS,MeanMAE,MeanRMSE,MeanCoverage,MeanIntervalWidth
combined_stress,AR,None,4,40,0.0267938793609185,0.047369514745609,0.0637666806088398,0.926836444805195,0.276857009548881
combined_stress,ARX,Both,4,40,0.0384315934765572,0.0768658178193483,0.102435949860944,0.82150974025974,0.296897456991319
combined_stress,ARX,I,4,40,0.0326548363369379,0.0624416516585408,0.0846730612170646,0.870556006493507,0.286323007103944
combined_stress,ARX,S,4,37,0.0340814615527959,0.0661033176905096,0.0892408312238457,0.864914772727273,0.297246265407301
observation_noise,AR,None,4,40,0.026381372550369,0.0466551065307008,0.0627848188157545,0.929038149350649,0.273050643470835
observation_noise,ARX,Both,4,40,0.0355565992114517,0.07144126049789,0.0919817052603958,0.829241071428572,0.288737578406854
observation_noise,ARX,I,4,40,0.0327253897552493,0.0619118188116603,0.0844076497452097,0.866619318181818,0.28301852928658
observation_noise,ARX,S,4,32,0.0360347426728886,0.0693279401636267,0.0965657443832749,0.845393668831169,0.297980055534783
process_noise,AR,None,4,39,0.000542636622693317,0.000758294883163585,0.0026780697250155,0.621245941558442,0.00489783542918214
process_noise,ARX,Both,4,31,0.0507872184761925,0.0529097449746375,0.934380641019309,0.394239267676768,0.00753615682846409
process_noise,ARX,I,4,39,0.00409757205785363,0.00493245515901001,0.021528065023263,0.39327876984127,0.00514259127247126
process_noise,ARX,S,3,29,0.00108773398180692,0.00135653747668637,0.00268145962484724,0.285724807599808,0.000931717200626496
structural_mismatch,AR,None,4,4,0.000542636622693317,0.000758294883163585,0.0026780697250155,0.621245941558441,0.00489783542918214
structural_mismatch,ARX,Both,4,4,0.00543465715569324,0.00669743699858934,0.0235966080041482,0.370231331168831,0.0053612175326347
structural_mismatch,ARX,I,4,4,0.00409418396151989,0.00499827397013614,0.0216839892418594,0.400669642857143,0.00539553370321404
structural_mismatch,ARX,S,4,4,0.00494285369217905,0.00613075257581774,0.0208525895093349,0.325791396103896,0.00480964466623465
