Model,ExoMode,PartAMeanWIS,PartAMeanRMSE,PartAMeanCoverage,PartAMeanIntervalWidth
AR,None,0.00528854189090792,0.00820847816465874,0.575994318181818,0.0165421316675396
ARX,Both,0.00761340253521001,0.0105186253772649,0.383624188311688,0.0145862649163354
ARX,I,0.00762654024209876,0.0104224933268752,0.395698051948052,0.0149051629759965
ARX,S,0.00756036080214838,0.00996140028373373,0.403510551948052,0.0145001379352345
N4SID,Both,0.191725253290514,0.229096258684006,0.423701298701299,0.0265672921440897
N4SID,I,0.0529788416167879,0.0779463709349201,0.379464285714286,0.0380251284232275
N4SID,None,0.0112411625104682,0.0179783532075486,0.472301136363636,0.0193042304879811
N4SID,S,0.037309057630882,0.0600494982588137,0.373478084415584,0.0395044952115243
SSEST,Both,0.0761151599016621,0.120215165965292,0.472199675324675,0.146519800129024
SSEST,I,0.0688864674103514,0.118069940176207,0.461444805194805,0.151367712070436
SSEST,None,0.0498764845544132,0.106429082867879,0.625710227272727,0.216877951943307
SSEST,S,0.0735776975258368,0.122261834704002,0.428875811688312,0.112671527855849
