Scenario,Model,ExoMode,CandidateIndex,CandidateCount,OrderText,p,na,nb,nk,CalibrationWindows,MeanCalibrationWIS
real,AR,None,1,5,"p=1",1,NaN,NaN,NaN,108,0.0654228398313438
real,AR,None,2,5,"p=2",2,NaN,NaN,NaN,108,0.0627419033830805
real,AR,None,3,5,"p=3",3,NaN,NaN,NaN,108,0.0627545755835577
real,AR,None,4,5,"p=4",4,NaN,NaN,NaN,108,0.0623103366596126
real,AR,None,5,5,"p=5",5,NaN,NaN,NaN,108,0.0634491069427
real,ARX,I,1,60,"na=5, nb=1, nk=1",NaN,5,1,1,108,0.0661601461042701
real,ARX,I,2,60,"na=6, nb=1, nk=1",NaN,6,1,1,108,0.0652265212030804
real,ARX,I,3,60,"na=7, nb=1, nk=1",NaN,7,1,1,108,0.0652984626401379
real,ARX,I,4,60,"na=8, nb=1, nk=1",NaN,8,1,1,108,0.0645060610708348
real,ARX,I,5,60,"na=9, nb=1, nk=1",NaN,9,1,1,108,0.0646566351630202
real,ARX,I,6,60,"na=5, nb=2, nk=1",NaN,5,2,1,108,19.8310238997981
real,ARX,I,7,60,"na=6, nb=2, nk=1",NaN,6,2,1,108,1.04826461953981e+23
real,ARX,I,8,60,"na=7, nb=2, nk=1",NaN,7,2,1,108,7220779566.76063
real,ARX,I,9,60,"na=8, nb=2, nk=1",NaN,8,2,1,108,2.8803869876552e+301
real,ARX,I,10,60,"na=9, nb=2, nk=1",NaN,9,2,1,108,3.75555842047407e+282
real,ARX,I,11,60,"na=5, nb=3, nk=1",NaN,5,3,1,108,0.133534333870179
real,ARX,I,12,60,"na=6, nb=3, nk=1",NaN,6,3,1,108,1.62694208855693
real,ARX,I,13,60,"na=7, nb=3, nk=1",NaN,7,3,1,108,13.9999826272539
real,ARX,I,14,60,"na=8, nb=3, nk=1",NaN,8,3,1,108,2.07640493485091e+139
real,ARX,I,15,60,"na=9, nb=3, nk=1",NaN,9,3,1,108,1.37325190790396e+60
real,ARX,I,16,60,"na=5, nb=1, nk=2",NaN,5,1,2,108,0.0656650071692868
real,ARX,I,17,60,"na=6, nb=1, nk=2",NaN,6,1,2,108,0.0647486570411914
real,ARX,I,18,60,"na=7, nb=1, nk=2",NaN,7,1,2,108,0.0648453610948287
real,ARX,I,19,60,"na=8, nb=1, nk=2",NaN,8,1,2,108,0.0639683592920461
real,ARX,I,20,60,"na=9, nb=1, nk=2",NaN,9,1,2,108,0.0641424052251413
real,ARX,I,21,60,"na=5, nb=2, nk=2",NaN,5,2,2,108,0.146611544952968
