Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,WIS
real,ARX,I,49,1,50,1.10594962542356,1.1159458108464,0.00905191197536799
real,ARX,I,49,2,51,1.09098314417216,1.13116617666576,0.21971995726587
real,ARX,I,49,3,52,1.095022233402,1.1551069465524,0.68047206994958
real,ARX,I,49,4,53,1.05897375956465,1.1866400738769,1.63175984082954
real,ARX,I,49,5,54,1.00643148558646,1.23010746322247,2.2824733564097
real,ARX,I,49,6,55,0.988034337661978,1.29114090777023,2.88149154209946
real,ARX,I,49,7,56,0.943261221366092,1.35074964830542,3.8217149689653
real,ARX,I,49,8,57,0.9378625876622,1.43004927938032,5.68162481579177
real,ARX,I,49,9,58,0.937875796487939,1.50585238591251,8.01092446383118
real,ARX,I,49,10,59,0.927305933184793,1.58346513921702,10.0093332450159
real,ARX,I,49,11,60,0.967960174306887,1.67082204223353,11.1270157342404
real,ARX,I,49,12,61,0.969891647298654,1.73417459891793,11.9560908456736
real,ARX,I,49,13,62,0.941401276938013,1.80531464774272,12.933381090634
real,ARX,I,49,14,63,0.960697206612574,1.91154910862367,14.0523633416938
real,ARX,I,56,1,57,0.9378625876622,0.929380271569985,0.00708572476603007
real,ARX,I,56,2,58,0.937875796487939,0.915577477058309,0.177044462551316
real,ARX,I,56,3,59,0.927305933184793,0.911873424896186,0.681663572907975
real,ARX,I,56,4,60,0.967960174306887,0.918746244253752,2.75041219498511
real,ARX,I,56,5,61,0.969891647298654,0.905390823859243,9.31136046501893
real,ARX,I,56,6,62,0.941401276938013,0.894459486108074,33.6077658043453
real,ARX,I,56,7,63,0.960697206612574,0.903810508785569,151.889097510987
real,ARX,I,56,8,64,0.954922498178252,0.909300860431664,894.306574325622
real,ARX,I,56,9,65,0.979017077391689,0.917949912202198,6813.70998169882
real,ARX,I,56,10,66,1.00932921858741,0.906717274202489,68177.9798220939
real,ARX,I,56,11,67,1.01479286167313,0.877238402096943,993844.241925542
real,ARX,I,56,12,68,1.06190128676011,0.844114912206186,23661290.5782599
real,ARX,I,56,13,69,1.12434990318458,0.787213357578607,1016443784.79496
real,ARX,I,56,14,70,1.12363745651187,0.699264241450265,87440292396.1932
real,ARX,I,63,1,64,0.954922498178252,0.979236393310588,0.0094986444682406
