Scenario,Model,ExoMode,Configuration,OrderText,WindowDay,HorizonIdx,ForecastDay,ForecastDate,Truth_Rt,Median_Forecast,WIS
real,AR,None,Frozen,"p=2",49,1,50,2020-05-11,1.10594962542356,1.14509479480734,0.014720589010769
real,AR,None,Frozen,"p=2",49,2,51,2020-05-12,1.09098314417216,1.17686770874074,0.0321346671650953
real,AR,None,Frozen,"p=2",49,3,52,2020-05-13,1.095022233402,1.19336112027503,0.0382129513948754
real,AR,None,Frozen,"p=2",49,4,53,2020-05-14,1.05897375956465,1.19846384644776,0.0537741852836702
real,AR,None,Frozen,"p=2",49,5,54,2020-05-15,1.00643148558646,1.19548847761605,0.0719525347104507
real,AR,None,Frozen,"p=2",49,6,55,2020-05-16,0.988034337661978,1.18709360927784,0.0767059025956519
real,AR,None,Frozen,"p=2",49,7,56,2020-05-17,0.943261221366092,1.17532029013595,0.0888795677022473
real,AR,None,Frozen,"p=2",49,8,57,2020-05-18,0.9378625876622,1.16167943652878,0.0870755453029509
real,AR,None,Frozen,"p=2",49,9,58,2020-05-19,0.937875796487939,1.14725296691713,0.0830021809139881
real,AR,None,Frozen,"p=2",49,10,59,2020-05-20,0.927305933184793,1.13278946513893,0.0822709585079178
real,AR,None,Frozen,"p=2",49,11,60,2020-05-21,0.967960174306887,1.11878625331931,0.0671690247497102
real,AR,None,Frozen,"p=2",49,12,61,2020-05-22,0.969891647298654,1.10555586225754,0.0662093195103527
real,AR,None,Frozen,"p=2",49,13,62,2020-05-23,0.941401276938013,1.09327786892404,0.0684672333591707
real,AR,None,Frozen,"p=2",49,14,63,2020-05-24,0.960697206612574,1.0820382601146,0.0653226368186181
real,AR,None,Frozen,"p=2",56,1,57,2020-05-18,0.9378625876622,0.915833508318485,0.00852415322703607
real,AR,None,Frozen,"p=2",56,2,58,2020-05-19,0.937875796487939,0.900219759063898,0.0152265139711899
real,AR,None,Frozen,"p=2",56,3,59,2020-05-20,0.927305933184793,0.892741533808943,0.0198034287039725
real,AR,None,Frozen,"p=2",56,4,60,2020-05-21,0.967960174306887,0.890868198472872,0.0294215997860334
real,AR,None,Frozen,"p=2",56,5,61,2020-05-22,0.969891647298654,0.892813413368615,0.0328856424609623
real,AR,None,Frozen,"p=2",56,6,62,2020-05-23,0.941401276938013,0.89729380526569,0.032633410684789
real,AR,None,Frozen,"p=2",56,7,63,2020-05-24,0.960697206612574,0.903378227836807,0.0370415218240639
real,AR,None,Frozen,"p=2",56,8,64,2020-05-25,0.954922498178252,0.910389463827418,0.0381352228010267
real,AR,None,Frozen,"p=2",56,9,65,2020-05-26,0.979017077391689,0.917837394800451,0.0421204201605212
real,AR,None,Frozen,"p=2",56,10,66,2020-05-27,1.00932921858741,0.925371785925045,0.0464534611943436
real,AR,None,Frozen,"p=2",56,11,67,2020-05-28,1.01479286167313,0.932747811428436,0.0477519925653617
real,AR,None,Frozen,"p=2",56,12,68,2020-05-29,1.06190128676011,0.939800221383818,0.0534610063163355
real,AR,None,Frozen,"p=2",56,13,69,2020-05-30,1.12434990318458,0.946423624370652,0.0658952734454794
real,AR,None,Frozen,"p=2",56,14,70,2020-05-31,1.12363745651187,0.952557267695147,0.0637261826299611
real,AR,None,Frozen,"p=2",63,1,64,2020-05-25,0.954922498178252,0.974588537036173,0.00825342173331296
real,AR,None,Frozen,"p=2",63,2,65,2020-05-26,0.979017077391689,0.984457601439733,0.0122665905126301
real,AR,None,Frozen,"p=2",63,3,66,2020-05-27,1.00932921858741,0.991369179553991,0.0189034232157212
real,AR,None,Frozen,"p=2",63,4,67,2020-05-28,1.01479286167313,0.996128157136911,0.0236278692946806
real,AR,None,Frozen,"p=2",63,5,68,2020-05-29,1.06190128676011,0.999334697246871,0.0324837525743443
real,AR,None,Frozen,"p=2",63,6,69,2020-05-30,1.12434990318458,1.00143171108992,0.0460459711384849
real,AR,None,Frozen,"p=2",63,7,70,2020-05-31,1.12363745651187,1.00274339216409,0.0457602733698605
real,AR,None,Frozen,"p=2",63,8,71,2020-06-01,1.12056588253884,1.00350540077417,0.0468513965238415
real,AR,None,Frozen,"p=2",63,9,72,2020-06-02,1.13551002876123,1.00388796537225,0.0502755985362336
real,AR,None,Frozen,"p=2",63,10,73,2020-06-03,1.14535707742988,1.00401328648752,0.0533141794522749
real,AR,None,Frozen,"p=2",63,11,74,2020-06-04,1.17651860236183,1.00396850468262,0.0638646401939211
real,AR,None,Frozen,"p=2",63,12,75,2020-06-05,1.20902663036344,1.00381528694589,0.0748678246941457
real,AR,None,Frozen,"p=2",63,13,76,2020-06-06,1.25999202080355,1.00359687182034,0.092019841579784
real,AR,None,Frozen,"p=2",63,14,77,2020-06-07,1.29422493807102,1.00334322356474,0.103586208695491
real,AR,None,Frozen,"p=2",70,1,71,2020-06-01,1.12056588253884,1.11891577755244,0.00704906116846345
real,AR,None,Frozen,"p=2",70,2,72,2020-06-02,1.13551002876123,1.11182756875245,0.0155680137492188
real,AR,None,Frozen,"p=2",70,3,73,2020-06-03,1.14535707742988,1.10350347273656,0.0230930800708597
real,AR,None,Frozen,"p=2",70,4,74,2020-06-04,1.17651860236183,1.09470028860228,0.0322642452309112
real,AR,None,Frozen,"p=2",70,5,75,2020-06-05,1.20902663036344,1.08590889216987,0.0459227234040614
real,AR,None,Frozen,"p=2",70,6,76,2020-06-06,1.25999202080355,1.07743478979863,0.0662041982434678
real,AR,None,Frozen,"p=2",70,7,77,2020-06-07,1.29422493807102,1.06945653115364,0.080633324296163
real,AR,None,Frozen,"p=2",70,8,78,2020-06-08,1.28287407421456,1.06206723356295,0.0795855949575254
real,AR,None,Frozen,"p=2",70,9,79,2020-06-09,1.22705910290656,1.0553036709371,0.0634410462615581
real,AR,None,Frozen,"p=2",70,10,80,2020-06-10,1.17140667375694,1.04916641034691,0.0513131669344482
real,AR,None,Frozen,"p=2",70,11,81,2020-06-11,1.18742151890063,1.04363360080184,0.0546425976887526
real,AR,None,Frozen,"p=2",70,12,82,2020-06-12,1.1859212524843,1.03867030922513,0.0557310692067487
real,AR,None,Frozen,"p=2",70,13,83,2020-06-13,1.17851842851876,1.03423475849156,0.0559224516287881
real,AR,None,Frozen,"p=2",70,14,84,2020-06-14,1.18288876304561,1.03028242510077,0.0575114033794892
