Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,LeadTime,TargetDate,TargetRtEstimated,MedianForecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
"AR","None","partA_online_fit","5",1,"31-Dec-2020",1,"01-Jan-2021",1.22571140718375,1.39335425433091,0.167642847147154,0.167642847147154,0.0281041241996041,0.122636261020877,1,1.51199585415599
"AR","None","partA_online_fit","5",1,"31-Dec-2020",2,"02-Jan-2021",0.409173979230357,0.810766187432725,0.401592208202368,0.401592208202368,0.161276301688854,0.155719783655604,0.75,1.23499414249499
"AR","None","partA_online_fit","5",1,"31-Dec-2020",3,"03-Jan-2021",0.37838073275964,0.669029303594938,0.290648570835299,0.290648570835299,0.0844765917286016,0.117510896240231,0.75,0.95059186145193
"AR","None","partA_online_fit","5",1,"31-Dec-2020",4,"04-Jan-2021",0.431830084052681,0.756849524836473,0.325019440783792,0.325019440783792,0.105637636887409,0.147328179136941,0.75,1.15790335562309
"AR","None","partA_online_fit","5",1,"31-Dec-2020",5,"05-Jan-2021",1.21336081445493,1.18079648648887,-0.0325643279660595,0.0325643279660595,0.00106043545588108,0.102035451905836,1,1.40492351187508
"AR","None","partA_online_fit","5",1,"31-Dec-2020",6,"06-Jan-2021",1.4412312336395,1.43727189368688,-0.00395933995261433,0.00395933995261433,1.5676372860368e-05,0.150605686863697,1,2.24055481905789
"AR","None","partA_online_fit","5",1,"31-Dec-2020",7,"07-Jan-2021",0.973403379483386,1.21004339650511,0.23664001702172,0.23664001702172,0.0559984976560398,0.165835240608517,1,2.20935900263745
"AR","None","partA_online_fit","5",1,"31-Dec-2020",8,"08-Jan-2021",1.34114446715532,1.09752521901783,-0.243619248137491,0.243619248137491,0.0593503380630765,0.131822155485119,1,1.55543979458026
"AR","None","partA_online_fit","5",1,"31-Dec-2020",9,"09-Jan-2021",1.03463218093139,0.868103884743427,-0.166528296187967,0.166528296187967,0.0277316734312674,0.102258476333602,1,1.37868258796844
"AR","None","partA_online_fit","5",1,"31-Dec-2020",10,"10-Jan-2021",0.830452383758157,0.883066312139228,0.0526139283810707,0.0526139283810707,0.00276822545968844,0.111436348537674,1,1.69191831237598
