Model,ExoMode,Strategy,LeadTime,NumForecasts,MeanWIS,MedianWIS,MeanAbsoluteError,MeanSquaredError,RMSE,MeanError,MeanCoverage,MeanIntervalWidth
"AR","None","partA_online_fit",1,22,0.173660307879539,0.136633361449002,0.32579751708984,0.173767740326337,0.416854579351525,0.263045289345181,0.875,1.52706850199878
"AR","None","partA_online_fit",2,22,0.170157222444115,0.115098623505735,0.295775642294703,0.211190759706573,0.459554958309203,0.180626689593104,0.875,1.51329857183152
"AR","None","partA_online_fit",3,22,0.121162077240545,0.0861255123944967,0.217599459951761,0.119245007531712,0.345318704288823,0.149130430052079,0.875,1.05268068184278
"AR","None","partA_online_fit",4,22,0.212053376829574,0.193511019957452,0.457252952618299,0.22703276353517,0.476479552064063,0.438127133588232,0.329545454545455,1.01975090823761
"AR","None","partA_online_fit",5,22,0.154135083416329,0.141374815405085,0.358183106771069,0.146729546322592,0.383052928878755,0.269369904883028,0.75,1.2991502416443
"AR","None","partA_online_fit",6,22,0.217455399837063,0.154271236146997,0.424088247537745,0.323796162596437,0.569030897751991,-0.414610257448263,0.840909090909091,1.54612524768448
"AR","None","partA_online_fit",7,22,0.163219343857953,0.149616593033412,0.355366501239072,0.150746631526727,0.388261035292916,-0.27643331246655,0.897727272727273,1.72806698523217
"AR","None","partA_online_fit",8,22,0.173434491289107,0.158463728138678,0.284577010465179,0.13536966804255,0.367926171999968,-0.102350193247082,0.931818181818182,1.89083352913195
"AR","None","partA_online_fit",9,22,0.163926771279447,0.141370627009148,0.240651964051648,0.1098085587413,0.331373744797774,0.0198903594437357,0.897727272727273,1.78302644212065
"AR","None","partA_online_fit",10,22,0.162719802072443,0.128939839183807,0.271274008395474,0.132487036100905,0.363987686743529,0.249676263038073,0.852272727272727,1.628723855152
"AR","None","partA_online_fit",11,22,0.300974934105758,0.280508586300297,0.627684930418094,0.417607024173456,0.646225211651059,0.59279596972877,0.284090909090909,1.53714949308777
"AR","None","partA_online_fit",12,22,0.193012026186776,0.182782797743602,0.45529672687911,0.228439617427413,0.477953572460143,0.387615586748408,0.715909090909091,1.55947395304762
"AR","None","partA_online_fit",13,22,0.188978471910031,0.158926972974074,0.429306469273605,0.305629694219734,0.552837855270181,-0.40986076706163,0.909090909090909,1.69050151426309
"AR","None","partA_online_fit",14,22,0.18342435802031,0.169242607571721,0.435236966991732,0.231114168651076,0.480743350085133,-0.406205576074635,0.886363636363636,1.79378980405067
"AR","None","local_online_fit",1,22,0.116212496319588,0.0764396049140925,0.190882219175197,0.0781736815750937,0.279595567874553,0.0447468534963319,0.852272727272727,0.896091130311048
"AR","None","local_online_fit",2,22,0.123999639977074,0.0776170852949949,0.224245016633738,0.0943429116998214,0.307152912569328,0.0733786502442599,0.772727272727273,0.808117444797957
"AR","None","local_online_fit",3,22,0.0941541065717858,0.0535070053694355,0.171926372316268,0.0498761744386881,0.22332974373936,0.000135717386963047,0.715909090909091,0.537161570767528
"AR","None","local_online_fit",4,22,0.0951625828788644,0.0331070794127727,0.15016979103699,0.0783822748264037,0.279968346115063,0.0335122668954445,0.670454545454545,0.297364790710711
"AR","None","local_online_fit",5,22,0.102189141443372,0.0365597589773095,0.150750424196647,0.0998566552955546,0.316001036858354,-0.00828713430788468,0.840909090909091,0.446553353899272
"AR","None","local_online_fit",6,22,0.160903189370424,0.0834849519805336,0.253496786180628,0.199418602437343,0.446563100174368,-0.155618658178775,0.875,0.947849963049199
"AR","None","local_online_fit",7,22,0.126896299433707,0.100687269151842,0.23750882466678,0.0952446366454291,0.308617298033388,0.0893609672913521,0.829545454545455,1.18308373450021
"AR","None","local_online_fit",8,22,0.135384024204576,0.106346358428195,0.225390074679865,0.0877485793215149,0.29622386690055,0.085093395102146,0.863636363636364,1.19637538756393
"AR","None","local_online_fit",9,22,0.142433849080542,0.0981812538141978,0.247539133154789,0.107525010713361,0.327910064977214,0.0858861894929177,0.772727272727273,1.0954220326489
"AR","None","local_online_fit",10,22,0.0926203860225944,0.0659256117459419,0.164320842160066,0.0458412782219557,0.214105764102594,-0.0134959019358704,0.795454545454545,0.705740287011139
"AR","None","local_online_fit",11,22,0.106048847258329,0.0667931275564442,0.191765768985644,0.0733264326605842,0.270788538643319,0.0963891419461219,0.579545454545455,0.44610551106906
"AR","None","local_online_fit",12,22,0.104996693007804,0.0474562673494695,0.177241759798566,0.100098890093268,0.316384086346435,0.0380468091247819,0.795454545454545,0.59993250827168
"AR","None","local_online_fit",13,22,0.168821864295452,0.104979292105528,0.325868882892118,0.214418491876494,0.463053443866357,-0.218072359072468,0.829545454545455,1.10713189474964
"AR","None","local_online_fit",14,22,0.147137800974598,0.125952213756493,0.274486115294598,0.111613643308975,0.334086281234317,0.105244427308638,0.909090909090909,1.4669830228029
"AR","None","partA_fixed_fit",1,22,0.178800950072696,0.132238719347771,0.302008411066471,0.175870224082572,0.419368840142626,0.270041476102493,0.863636363636364,1.52662664141999
"AR","None","partA_fixed_fit",2,22,0.160984117269573,0.118416616555683,0.281204130300857,0.164938721524667,0.406126484638305,0.135941615158258,0.897727272727273,1.41990643952451
"AR","None","partA_fixed_fit",3,22,0.116499286712603,0.0854432102596617,0.183997718359342,0.0748353196551523,0.273560449727574,0.0894081351860932,0.875,1.07294942647731
"AR","None","partA_fixed_fit",4,22,0.210907078397638,0.171654547202192,0.466360085973152,0.232029132065858,0.481694023282268,0.431586168162137,0.386363636363636,1.08245805501199
"AR","None","partA_fixed_fit",5,22,0.157773346492873,0.145765585390341,0.376886081257976,0.166841050139309,0.40846180989085,0.283679733953236,0.761363636363636,1.31319262823506
