Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,Alpha,NominalCoverage,EmpiricalCoverage,CoverageError,MeanIntervalWidth
"AR","None","partA_online_fit","5",1,"31-Dec-2020",0.05,0.95,1,0.05,2.00008496585962
"AR","None","partA_online_fit","5",1,"31-Dec-2020",0.1,0.9,1,0.1,1.71636528587745
"AR","None","partA_online_fit","5",1,"31-Dec-2020",0.2,0.8,0.857142857142857,0.0571428571428571,1.27728709244633
"AR","None","partA_online_fit","5",1,"31-Dec-2020",0.5,0.5,0.642857142857143,0.142857142857143,0.645642136859813
"AR","None","partA_online_fit","5",2,"07-Jan-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.15278940093193
"AR","None","partA_online_fit","5",2,"07-Jan-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.71303331786953
"AR","None","partA_online_fit","5",2,"07-Jan-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,1.3129488246442
"AR","None","partA_online_fit","5",2,"07-Jan-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.709408463610889
"AR","None","partA_online_fit","5",3,"14-Jan-2021",0.05,0.95,0.857142857142857,-0.0928571428571429,2.07010826490683
"AR","None","partA_online_fit","5",3,"14-Jan-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.6975380965635
"AR","None","partA_online_fit","5",3,"14-Jan-2021",0.2,0.8,0.642857142857143,-0.157142857142857,1.29683517702095
"AR","None","partA_online_fit","5",3,"14-Jan-2021",0.5,0.5,0.428571428571429,-0.0714285714285715,0.700554763997071
"AR","None","partA_online_fit","5",4,"21-Jan-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.20858684949825
"AR","None","partA_online_fit","5",4,"21-Jan-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.82894533935165
"AR","None","partA_online_fit","5",4,"21-Jan-2021",0.2,0.8,0.714285714285714,-0.0857142857142857,1.4016747419335
"AR","None","partA_online_fit","5",4,"21-Jan-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.707758659217379
"AR","None","partA_online_fit","5",5,"28-Jan-2021",0.05,0.95,1,0.05,2.22380435320937
"AR","None","partA_online_fit","5",5,"28-Jan-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.88763229095931
"AR","None","partA_online_fit","5",5,"28-Jan-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,1.44386852980132
"AR","None","partA_online_fit","5",5,"28-Jan-2021",0.5,0.5,0.5,0,0.694696714137615
