Model,ExoMode,Strategy,Alpha,NominalCoverage,NumIntervalForecasts,EmpiricalCoverage,CoverageError,MeanIntervalWidth
"AR","None","partA_online_fit",0.05,0.95,308,0.918831168831169,-0.0311688311688312,2.14374255225643
"AR","None","partA_online_fit",0.1,0.9,308,0.873376623376623,-0.0266233766233767,1.76572626925819
"AR","None","partA_online_fit",0.2,0.8,308,0.805194805194805,0.0051948051948052,1.32916569296058
"AR","None","partA_online_fit",0.5,0.5,308,0.50974025974026,0.00974025974025972,0.676592451214425
"AR","None","local_online_fit",0.05,0.95,308,0.905844155844156,-0.0441558441558441,1.20884652755827
"AR","None","local_online_fit",0.1,0.9,308,0.876623376623377,-0.0233766233766234,0.970510213613779
"AR","None","local_online_fit",0.2,0.8,308,0.831168831168831,0.0311688311688312,0.71745043900908
"AR","None","local_online_fit",0.5,0.5,308,0.555194805194805,0.0551948051948052,0.361474051208064
"AR","None","partA_fixed_fit",0.05,0.95,308,0.931818181818182,-0.0181818181818182,2.17939440003542
"AR","None","partA_fixed_fit",0.1,0.9,308,0.876623376623377,-0.0233766233766234,1.75846552344346
"AR","None","partA_fixed_fit",0.2,0.8,308,0.788961038961039,-0.0110389610389611,1.33021443768333
"AR","None","partA_fixed_fit",0.5,0.5,308,0.512987012987013,0.012987012987013,0.681927363915291
"ARX","I","partA_online_fit",0.05,0.95,308,0.948051948051948,-0.00194805194805192,2.04314516394907
"ARX","I","partA_online_fit",0.1,0.9,308,0.918831168831169,0.0188311688311688,1.66794627463174
"ARX","I","partA_online_fit",0.2,0.8,308,0.821428571428571,0.0214285714285714,1.25669537861019
"ARX","I","partA_online_fit",0.5,0.5,308,0.470779220779221,-0.0292207792207792,0.633277657450787
"ARX","I","local_online_fit",0.05,0.95,308,0.941558441558442,-0.00844155844155836,1.67389565744458
"ARX","I","local_online_fit",0.1,0.9,308,0.922077922077922,0.022077922077922,1.3621325065625
"ARX","I","local_online_fit",0.2,0.8,308,0.86038961038961,0.0603896103896103,1.0295757981239
"ARX","I","local_online_fit",0.5,0.5,308,0.551948051948052,0.051948051948052,0.530364869126567
"ARX","I","partA_fixed_fit",0.05,0.95,308,0.938311688311688,-0.0116883116883116,2.08546739135916
"ARX","I","partA_fixed_fit",0.1,0.9,308,0.886363636363636,-0.0136363636363637,1.72217186310712
"ARX","I","partA_fixed_fit",0.2,0.8,308,0.798701298701299,-0.00129870129870135,1.30023984198169
"ARX","I","partA_fixed_fit",0.5,0.5,308,0.483766233766234,-0.0162337662337662,0.658839675876952
