Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,TargetStartDate,TargetEndDate,MeanWIS,RMSE,MAE,MeanError,MeanCoverage,MeanIntervalWidth
"AR","None","partA_online_fit","5",1,"31-Dec-2020","01-Jan-2021","14-Jan-2021",0.139687688917538,0.307655078334516,0.270867921651351,0.118350032515609,0.875,1.4098448702608
"AR","None","partA_online_fit","5",2,"07-Jan-2021","08-Jan-2021","21-Jan-2021",0.162079123166365,0.379679807461828,0.315999437189738,0.0923751576622051,0.803571428571429,1.47204500176414
"AR","None","partA_online_fit","5",3,"14-Jan-2021","15-Jan-2021","28-Jan-2021",0.199493446875986,0.499110144904667,0.441315967170191,0.238789348797575,0.696428571428571,1.44125907562209
"AR","None","partA_online_fit","5",4,"21-Jan-2021","22-Jan-2021","04-Feb-2021",0.181087106828927,0.422568940391062,0.39757894560712,0.130445437697495,0.767857142857143,1.53674139750019
"AR","None","partA_online_fit","5",5,"28-Jan-2021","29-Jan-2021","11-Feb-2021",0.179284362144051,0.426446708877068,0.347247301410542,0.0700367104201632,0.785714285714286,1.5625004720269
"AR","None","partA_online_fit","5",6,"04-Feb-2021","05-Feb-2021","18-Feb-2021",0.163404631164372,0.38814490094728,0.339324952806429,-0.0452339518962084,0.821428571428571,1.63756332623286
"AR","None","partA_online_fit","5",7,"11-Feb-2021","12-Feb-2021","25-Feb-2021",0.155301085993028,0.380885600042428,0.335905964289041,-0.0742933539907906,0.892857142857143,1.58581242977715
"AR","None","partA_online_fit","5",8,"18-Feb-2021","19-Feb-2021","04-Mar-2021",0.156374731949097,0.379876153546744,0.326863876985819,-0.0348730339476632,0.821428571428571,1.53266680042567
"AR","None","partA_online_fit","5",9,"25-Feb-2021","26-Feb-2021","11-Mar-2021",0.150411859792347,0.350494919713037,0.302602571788914,-0.0138115727239113,0.803571428571429,1.45606004824546
"AR","None","partA_online_fit","5",10,"04-Mar-2021","05-Mar-2021","18-Mar-2021",0.176926670047277,0.460068051103321,0.40104757636664,-0.0387912403709862,0.767857142857143,1.53748671852207
"AR","None","partA_online_fit","5",11,"11-Mar-2021","12-Mar-2021","25-Mar-2021",0.183216291234778,0.462570681254261,0.397244932067531,-0.0938391710149946,0.767857142857143,1.49696614123895
"AR","None","partA_online_fit","5",12,"18-Mar-2021","19-Mar-2021","01-Apr-2021",0.170371308943942,0.393604006361877,0.342771014581842,-0.0974994811046357,0.767857142857143,1.56351818926615
"AR","None","partA_online_fit","5",13,"25-Mar-2021","26-Mar-2021","08-Apr-2021",0.173453784820713,0.384246687548354,0.342626740313576,0.00432822881277135,0.821428571428571,1.7487568829702
"AR","None","partA_online_fit","5",14,"01-Apr-2021","02-Apr-2021","15-Apr-2021",0.155848602591934,0.35769962491403,0.325131755978863,0.00386021113275045,0.839285714285714,1.57308387939414
"AR","None","partA_online_fit","5",15,"08-Apr-2021","09-Apr-2021","22-Apr-2021",0.143456355032608,0.293889474994922,0.251679694026745,0.0366377200924752,0.875,1.45996646837117
"AR","None","partA_online_fit","5",16,"15-Apr-2021","16-Apr-2021","29-Apr-2021",0.151678835829193,0.33853954118156,0.287056847860622,0.0916938013914016,0.839285714285714,1.49322882745469
"AR","None","partA_online_fit","5",17,"22-Apr-2021","23-Apr-2021","06-May-2021",0.148297342358721,0.342123377968531,0.29651159199607,0.0100500381713434,0.857142857142857,1.47863918277721
"AR","None","partA_online_fit","5",18,"29-Apr-2021","30-Apr-2021","13-May-2021",0.145853868076497,0.285359850563916,0.248412250325571,0.0763621531605928,0.857142857142857,1.567620835081
"AR","None","partA_online_fit","5",19,"06-May-2021","07-May-2021","20-May-2021",0.167076218426057,0.370476582379969,0.319162932282218,0.164632951495908,0.803571428571429,1.62902370267209
"AR","None","partA_online_fit","5",20,"13-May-2021","14-May-2021","27-May-2021",0.194032167696164,0.458554075009606,0.386956028668793,0.339740619314029,0.678571428571429,1.60325493251246
"AR","None","partA_online_fit","5",21,"20-May-2021","21-May-2021","03-Jun-2021",0.304103662369817,0.785475958311483,0.665011127018904,0.19908379291961,0.571428571428571,1.64894479893255
"AR","None","partA_online_fit","5",22,"27-May-2021","28-May-2021","10-Jun-2021",0.450196617177574,0.97271944037333,0.795681504434999,0.300383133086254,0.446428571428571,1.4601641650348
"AR","None","local_online_fit","7",1,"31-Dec-2020","01-Jan-2021","14-Jan-2021",0.177469811480089,0.454554521411465,0.371979323521382,0.153092481273237,0.517857142857143,0.88472130751117
"AR","None","local_online_fit","7",2,"07-Jan-2021","08-Jan-2021","21-Jan-2021",0.145041278489208,0.325346594668597,0.28472294248551,-0.00782738028296431,0.625,0.793319850460658
"AR","None","local_online_fit","7",3,"14-Jan-2021","15-Jan-2021","28-Jan-2021",0.120948899035687,0.249655698116273,0.223582723177717,0.146495193940991,0.607142857142857,0.901995984246134
"AR","None","local_online_fit","7",4,"21-Jan-2021","22-Jan-2021","04-Feb-2021",0.0873481705576845,0.231206706185158,0.185651850405358,-0.0638018147637805,0.839285714285714,0.772514803407812
"AR","None","local_online_fit","7",5,"28-Jan-2021","29-Jan-2021","11-Feb-2021",0.0858599390930798,0.231733037666342,0.189039216495098,-0.0217144129428912,0.892857142857143,0.828767838416403
"AR","None","local_online_fit","7",6,"04-Feb-2021","05-Feb-2021","18-Feb-2021",0.0838856782275758,0.233490534456814,0.182822491563864,-0.113523614540376,0.892857142857143,0.839311079791474
"AR","None","local_online_fit","7",7,"11-Feb-2021","12-Feb-2021","25-Feb-2021",0.077556524991997,0.169075971702794,0.144261712774459,-0.133209076914366,0.982142857142857,0.885010491465059
"AR","None","local_online_fit","7",8,"18-Feb-2021","19-Feb-2021","04-Mar-2021",0.0856858449842072,0.194815776834822,0.143369624955245,-0.0105847584436661,0.928571428571429,0.928999439798005
"AR","None","local_online_fit","7",9,"25-Feb-2021","26-Feb-2021","11-Mar-2021",0.0801933808828724,0.15767127040939,0.127130673004912,0.0526793189992656,0.910714285714286,0.912177966896851
"AR","None","local_online_fit","7",10,"04-Mar-2021","05-Mar-2021","18-Mar-2021",0.0804622357241026,0.152360144087904,0.131209911443005,-0.0164866393084183,0.857142857142857,0.882836616840189
"AR","None","local_online_fit","7",11,"11-Mar-2021","12-Mar-2021","25-Mar-2021",0.0813223800568113,0.198910465237234,0.167535931889621,-0.103717870932356,0.857142857142857,0.837007087764464
"AR","None","local_online_fit","7",12,"18-Mar-2021","19-Mar-2021","01-Apr-2021",0.070413278106938,0.0866182592595315,0.073247798502014,-0.0164446986206149,1,0.959248890347564
"AR","None","local_online_fit","7",13,"25-Mar-2021","26-Mar-2021","08-Apr-2021",0.0792669093558503,0.159269925299968,0.12147170288966,0.093726481053715,0.892857142857143,0.928280663448296
"AR","None","local_online_fit","7",14,"01-Apr-2021","02-Apr-2021","15-Apr-2021",0.0926939749103075,0.191740166595135,0.157747524280987,0.0646575594056103,0.839285714285714,0.978584553889379
"AR","None","local_online_fit","7",15,"08-Apr-2021","09-Apr-2021","22-Apr-2021",0.0932007142817511,0.241131225053495,0.202266257824668,-0.017939741579169,0.839285714285714,0.836327193021329
"AR","None","local_online_fit","7",16,"15-Apr-2021","16-Apr-2021","29-Apr-2021",0.0982403684698367,0.260055577832499,0.208467216721291,0.122559783972111,0.857142857142857,0.954152635685684
"AR","None","local_online_fit","7",17,"22-Apr-2021","23-Apr-2021","06-May-2021",0.0665607045347833,0.128500946494887,0.0985983991195351,0.0047062724135545,0.928571428571429,0.758561947618436
"AR","None","local_online_fit","7",18,"29-Apr-2021","30-Apr-2021","13-May-2021",0.0666163022068537,0.142396837199081,0.118486842405706,0.0448404532049654,0.928571428571429,0.765247715374699
"AR","None","local_online_fit","7",19,"06-May-2021","07-May-2021","20-May-2021",0.087788418647652,0.240650269171827,0.171313501317794,0.140453952994674,0.839285714285714,0.820206905937425
"AR","None","local_online_fit","7",20,"13-May-2021","14-May-2021","27-May-2021",0.131706214928124,0.351983612907039,0.267466990947729,0.241423708599117,0.660714285714286,0.727578122007363
"AR","None","local_online_fit","7",21,"20-May-2021","21-May-2021","03-Jun-2021",0.363662233658067,0.730560339041207,0.538475169251064,-0.0328064832865056,0.392857142857143,0.644476211774234
"AR","None","local_online_fit","7",22,"27-May-2021","28-May-2021","10-Jun-2021",0.442158184408779,0.786124114975812,0.582796784007788,-0.123789569565911,0.357142857142857,0.59967825910951
"AR","None","partA_fixed_fit","5",1,"31-Dec-2020","01-Jan-2021","14-Jan-2021",0.139687688917538,0.307655078334516,0.270867921651351,0.118350032515609,0.875,1.4098448702608
"AR","None","partA_fixed_fit","5",2,"07-Jan-2021","08-Jan-2021","21-Jan-2021",0.171895696623036,0.393596729861292,0.31581174142201,0.12629638713404,0.785714285714286,1.50279146457447
"AR","None","partA_fixed_fit","5",3,"14-Jan-2021","15-Jan-2021","28-Jan-2021",0.183168280548092,0.442219971233737,0.391057554676736,0.219168191107548,0.714285714285714,1.48009681204436
"AR","None","partA_fixed_fit","5",4,"21-Jan-2021","22-Jan-2021","04-Feb-2021",0.154697729675622,0.358858256052165,0.324094795615475,0.138407490610382,0.785714285714286,1.42714622134684
"AR","None","partA_fixed_fit","5",5,"28-Jan-2021","29-Jan-2021","11-Feb-2021",0.169724968577835,0.423460182767819,0.340272062851071,0.087163552431119,0.803571428571429,1.43147260093814
"AR","None","partA_fixed_fit","5",6,"04-Feb-2021","05-Feb-2021","18-Feb-2021",0.178907186636333,0.433034335377343,0.379410175048497,-0.0109079052215437,0.821428571428571,1.65650473737438
"AR","None","partA_fixed_fit","5",7,"11-Feb-2021","12-Feb-2021","25-Feb-2021",0.14039782127239,0.257261921987785,0.219785145788898,-0.0340379495001236,0.946428571428571,1.63939526975444
"AR","None","partA_fixed_fit","5",8,"18-Feb-2021","19-Feb-2021","04-Mar-2021",0.139476687399143,0.32232355610571,0.26657963234475,-0.0737223291371266,0.875,1.41888497635235
"AR","None","partA_fixed_fit","5",9,"25-Feb-2021","26-Feb-2021","11-Mar-2021",0.174801745757942,0.434852696736992,0.354915541409339,-0.0238073199284594,0.767857142857143,1.48863204425752
"AR","None","partA_fixed_fit","5",10,"04-Mar-2021","05-Mar-2021","18-Mar-2021",0.180286097311778,0.447872576858134,0.376058560110779,-0.0335327708297369,0.767857142857143,1.60473683585602
"AR","None","partA_fixed_fit","5",11,"11-Mar-2021","12-Mar-2021","25-Mar-2021",0.163176448331077,0.415412923258824,0.357230549617379,-0.0878256412548223,0.785714285714286,1.45034536906758
"AR","None","partA_fixed_fit","5",12,"18-Mar-2021","19-Mar-2021","01-Apr-2021",0.161859267762648,0.403958117783248,0.351743797671664,-0.0573521116006031,0.803571428571429,1.5049298787949
"AR","None","partA_fixed_fit","5",13,"25-Mar-2021","26-Mar-2021","08-Apr-2021",0.172658368042248,0.396816465420033,0.357380088229312,0.00121695668972845,0.785714285714286,1.55313960090233
"AR","None","partA_fixed_fit","5",14,"01-Apr-2021","02-Apr-2021","15-Apr-2021",0.16390763851724,0.345900806805812,0.323390647289994,-0.00503140587353869,0.839285714285714,1.61644986692173
"AR","None","partA_fixed_fit","5",15,"08-Apr-2021","09-Apr-2021","22-Apr-2021",0.150809996401532,0.305981026427401,0.273009260361455,0.0455421183107581,0.928571428571429,1.67109781506238
"AR","None","partA_fixed_fit","5",16,"15-Apr-2021","16-Apr-2021","29-Apr-2021",0.161428789050391,0.352892128142467,0.283380243178328,0.0597857086875184,0.803571428571429,1.5670681945866
"AR","None","partA_fixed_fit","5",17,"22-Apr-2021","23-Apr-2021","06-May-2021",0.160445176314937,0.368100252920661,0.312062858015319,0.0566673193802281,0.803571428571429,1.55774064203759
"AR","None","partA_fixed_fit","5",18,"29-Apr-2021","30-Apr-2021","13-May-2021",0.159620091933343,0.298677306373113,0.249182773623958,0.0856325760810104,0.892857142857143,1.85854315110737
"AR","None","partA_fixed_fit","5",19,"06-May-2021","07-May-2021","20-May-2021",0.145413001458051,0.335368092719067,0.288230185691564,0.161617453812738,0.803571428571429,1.4572557967759
"AR","None","partA_fixed_fit","5",20,"13-May-2021","14-May-2021","27-May-2021",0.195965929987508,0.46779904399344,0.40308896345396,0.333438750645559,0.714285714285714,1.4994277324259
"AR","None","partA_fixed_fit","5",21,"20-May-2021","21-May-2021","03-Jun-2021",0.324930662955863,0.759156479504551,0.62580472243501,0.161931635193532,0.535714285714286,1.58282342782482
"AR","None","partA_fixed_fit","5",22,"27-May-2021","28-May-2021","10-Jun-2021",0.385713218161156,0.871271574891448,0.701432348477702,0.220303868290136,0.5,1.55571907704417
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020","01-Jan-2021","14-Jan-2021",0.12510954481145,0.242980594554239,0.205906106168029,0.0778469990350189,0.875,1.41212856423965
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021","08-Jan-2021","21-Jan-2021",0.159156446317314,0.394344189414066,0.327792334041813,0.0638774664750228,0.857142857142857,1.57945435245185
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021","15-Jan-2021","28-Jan-2021",0.16804132921757,0.407877438666578,0.373929299236116,0.129435272251767,0.767857142857143,1.40002463231961
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021","22-Jan-2021","04-Feb-2021",0.152041497735,0.381074921371694,0.350444864496847,0.0161852475408542,0.821428571428571,1.3567730566059
"ARX","I","partA_online_fit","[4 1 1]",5,"28-Jan-2021","29-Jan-2021","11-Feb-2021",0.160379854970111,0.427326251402047,0.365087412938703,-0.0479816348171198,0.857142857142857,1.47443834158845
"ARX","I","partA_online_fit","[4 1 1]",6,"04-Feb-2021","05-Feb-2021","18-Feb-2021",0.17624106759765,0.461559823463643,0.378454832108306,-0.0747609002240587,0.821428571428571,1.57081699680209
