Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
AR,None,1,136,136,0.0131862715324122,0.0131862715324122,0.00938860432270574,0.0160408212739308,0.0354798634320904,0.0354798634320904,0.0244158008259125,0.0244158008259125,0.00271286675843473,0.00676747107154384,0.00195402664513531,0.00175190705729828,0.84375,0.05625,0.250367647058824,0.110460231589838
AR,None,2,136,136,0.0278805236932369,0.0278805236932369,0.0168661443120021,0.039987209944754,0.0756076459693587,0.0756076459693587,0.0479982159197038,0.0479982159197038,0.00533313510218931,0.0125510435714538,0.00553828533488686,0.00445805968470688,0.823529411764706,0.0360294117647059,0.269669117647059,0.200428944362269
AR,None,3,136,136,0.0426174016550124,0.0426174016550124,0.0226867956034438,0.0723855027234216,0.12082368649103,0.12082368649103,0.0696385357256829,0.0696385357256829,0.00773761508063143,0.0173993853464648,0.0103822520384175,0.00709814918949866,0.821691176470588,0.0341911764705882,0.271507352941177,0.275697209728106
AR,None,4,136,136,0.056807803453636,0.056807803453636,0.0293368733730427,0.0844979906650805,0.153442395228583,0.153442395228583,0.0977405074982196,0.0977405074982196,0.0108600563886911,0.0210018348449479,0.0130771236634874,0.0118687885565096,0.788602941176471,0.00110294117647059,0.289889705882353,0.329786002964989
AR,None,5,136,136,0.0647804193547001,0.0647804193547001,0.0345467208286451,0.0881121676863434,0.171397810026301,0.171397810026301,0.112743022175299,0.112743022175299,0.0125270024639221,0.024162284587841,0.0129866828484199,0.0151044494545171,0.762867647058823,-0.0246323529411765,0.297242647058824,0.381240025012638
AR,None,6,136,136,0.0901371242951218,0.0901371242951218,0.0413395122747039,0.166022367716699,0.253850370371224,0.253850370371224,0.152332791230751,0.152332791230751,0.0169258656923057,0.02676423920785,0.018185894003649,0.0282611253913171,0.71875,-0.06875,0.317463235294118,0.422343549969663
AR,None,7,136,136,0.0906721199317845,0.0906721199317845,0.044398601824798,0.156382555576136,0.25221307296829,0.25221307296829,0.155756514872219,0.155756514872219,0.0173062794302466,0.0291575114604839,0.0181491983392476,0.0260591307018064,0.735294117647059,-0.0522058823529412,0.309007352941177,0.46092550597793
AR,None,8,136,136,0.0805007476898232,0.0805007476898232,0.0434694779387604,0.124553870572359,0.222507524480504,0.222507524480504,0.140237882884056,0.140237882884056,0.0155819869871174,0.0306795302978756,0.01552140096434,0.0187178294404902,0.757352941176471,-0.0301470588235294,0.297610294117647,0.480969554383443
AR,None,9,136,136,0.0733393598407958,0.0733393598407958,0.044477997829643,0.0889361040442263,0.196168353431595,0.196168353431595,0.133481731388275,0.133481731388275,0.0148313034875861,0.0318842701079263,0.0149872424786284,0.011636543766655,0.784926470588235,-0.00257352941176472,0.289154411764706,0.49993980224094
AR,None,10,136,136,0.074406722861767,0.074406722861767,0.0449746595499947,0.0829822271267699,0.191404553085079,0.191404553085079,0.133950806450182,0.133950806450182,0.0148834229389091,0.032776374630113,0.0163115253353458,0.010435399957399,0.788602941176471,0.00110294117647057,0.289705882352941,0.512136863477159
