DataSource,CountryCode,CountryName,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDate,WindowDayIdx,WindowWIS,WindowRawScaleWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,IsValid,IntervalMethod,IntervalStatus,RecordedStatus,AICC
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,49,2020-05-10,50,0.102795182495578,0.102795182495578,0.228117171947126,0.210489230506038,0.0233876922784487,0.0241044508081782,0.0553030394089507,0,0.339285714285714,-0.448214285714286,0.526785714285714,0.352029658302188,1,closed_loop_monte_carlo,ok,ok,-180.417132484427
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,56,2020-05-17,57,0.0296685070311462,0.0296685070311462,0.085799636128235,0.0725398438561461,0.00805998265068289,0.019377969492565,0,0.00223055488789839,0.910714285714286,0.123214285714286,0.2125,0.27276519409207,1,closed_loop_monte_carlo,ok,ok,-209.910158016366
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,63,2020-05-24,64,0.0471399887931684,0.0471399887931684,0.143493798845356,0.113939151305388,0.0126599057005987,0.0182387398842301,0.000138578298474144,0.0161027649098654,0.714285714285714,-0.0732142857142857,0.283928571428571,0.265523687860268,1,closed_loop_monte_carlo,ok,ok,-239.902746294041
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,70,2020-05-31,71,0.0404435224700035,0.0404435224700035,0.113040735071663,0.0959582183533301,0.0106620242614811,0.0204937826463317,0,0.00928771556219065,0.75,-0.0375,0.258928571428571,0.297360167181102,1,closed_loop_monte_carlo,ok,ok,-271.078727819641
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,77,2020-06-07,78,0.0357107575048837,0.0357107575048837,0.0883845288126802,0.0822050138456373,0.00913389042729303,0.0236842967625499,0.00289257031504081,0,0.892857142857143,0.105357142857143,0.223214285714286,0.335300924227853,1,closed_loop_monte_carlo,ok,ok,-305.608499518529
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,84,2020-06-14,85,0.039010874431832,0.039010874431832,0.106404252285927,0.0969552148954551,0.0107728016550506,0.0194318699440346,0.00880620283274686,0,0.714285714285714,-0.0732142857142857,0.244642857142857,0.28746764215478,1,closed_loop_monte_carlo,ok,ok,-339.083151688233
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,91,2020-06-21,92,0.0671927999399519,0.0671927999399519,0.161584767023903,0.10456163270387,0.0116179591893189,0.01802431885363,0.037550521897003,0,0.714285714285714,-0.0732142857142857,0.376785714285714,0.269742016281726,1,closed_loop_monte_carlo,ok,ok,-369.984269959398
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,98,2020-06-28,99,0.24392521397365,0.24392521397365,0.379333920424079,0.341639520163179,0.0379599466847976,0.0196900213500148,0.186275245938838,0,0.160714285714286,-0.626785714285714,0.689285714285714,0.294998187030982,1,closed_loop_monte_carlo,ok,ok,-404.064275110159
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,105,2020-07-05,106,0.0247493591066848,0.0247493591066848,0.0361011054365016,0.031725183142313,0.00352502034914589,0.0202355332188038,8.91960501686201e-05,0.000899609488566547,0.910714285714286,0.123214285714286,0.253571428571429,0.292509373538757,1,closed_loop_monte_carlo,ok,ok,-413.565607625032
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,112,2020-07-12,113,0.0208033702708158,0.0208033702708158,0.0163169817523976,0.012701996915599,0.00141133299062212,0.0190554905197692,0.00015618731980455,0.000180359440619903,0.964285714285714,0.176785714285714,0.2125,0.296054208191753,1,closed_loop_monte_carlo,ok,ok,-428.470074583271
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,119,2020-07-19,120,0.0251440544524013,0.0251440544524013,0.0562465891158934,0.0362854398321793,0.00403171553690881,0.0201844813121844,0.000222780754389962,0.00070507684891819,0.964285714285714,0.176785714285714,0.2125,0.301912999414836,1,closed_loop_monte_carlo,ok,ok,-453.097822546926
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,126,2020-07-26,127,0.0893268796848856,0.0893268796848856,0.212850843234567,0.179234161633722,0.0199149068481913,0.0210033379739284,0,0.0484086348627659,0.410714285714286,-0.376785714285714,0.514285714285714,0.305103473061257,1,closed_loop_monte_carlo,ok,ok,-485.132471408538
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,133,2020-08-02,134,0.0421069646519535,0.0421069646519535,0.0846974820535092,0.0802702268526533,0.00891891409473926,0.0302262142879888,0.00296183626922548,0,0.875,0.0875,0.253571428571429,0.456911376129672,1,closed_loop_monte_carlo,ok,ok,-491.480986859506
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,140,2020-08-09,141,0.0316643399086351,0.0316643399086351,0.0731378607367029,0.0571410511093927,0.00634900567882142,0.0250135949800555,0.000301739249758141,0,0.964285714285714,0.176785714285714,0.2125,0.379342335304914,1,closed_loop_monte_carlo,ok,ok,-511.547132020729
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,147,2020-08-16,148,0.0441836088930616,0.0441836088930616,0.126871931220127,0.108715823345706,0.0120795359273007,0.0257983839166206,0.00630568904914039,0,0.839285714285714,0.0517857142857143,0.223214285714286,0.375844818320026,1,closed_loop_monte_carlo,ok,ok,-544.217449707262
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,154,2020-08-23,155,0.0336870982873352,0.0336870982873352,0.0890958919489949,0.0764565380481597,0.00849517089423996,0.0196722333896116,0.00380178030269886,0.00171791370078486,0.803571428571429,0.0160714285714286,0.248214285714286,0.277798797106301,1,closed_loop_monte_carlo,ok,ok,-576.428610365223
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,161,2020-08-30,162,0.0935157284564073,0.0935157284564073,0.22672687953741,0.207492926708704,0.0230547696343005,0.0201770837638653,0,0.0502838750582414,0.392857142857143,-0.394642857142857,0.464285714285714,0.3014399172836,1,closed_loop_monte_carlo,ok,ok,-601.776651340575
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,168,2020-09-06,169,0.0362736260998399,0.0362736260998399,0.0682221146919542,0.0522160388057502,0.0058017820895278,0.0291673619575922,0,0.00130448205271988,0.964285714285714,0.176785714285714,0.2125,0.415561296155001,1,closed_loop_monte_carlo,ok,ok,-624.596006490497
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,175,2020-09-13,176,0.0814040603379719,0.0814040603379719,0.219455544734821,0.185837080901156,0.0206485645445729,0.0244256244191189,0,0.0363298713742801,0.589285714285714,-0.198214285714286,0.366071428571429,0.362906929390011,1,closed_loop_monte_carlo,ok,ok,-654.282561620658
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,182,2020-09-20,183,0.0460105898679654,0.0460105898679654,0.131445234654947,0.119690930183021,0.0132989922425579,0.0269021306170835,0.000116309593437611,0.00569315741488641,0.785714285714286,-0.00178571428571429,0.2125,0.3894978430316,1,closed_loop_monte_carlo,ok,ok,-682.865618405309
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,189,2020-09-27,190,0.0361131976709102,0.0361131976709102,0.0911341749221241,0.0737808786713237,0.00819787540792485,0.0254131180419801,3.34370263262273e-06,0.00249886051837258,0.928571428571429,0.141071428571429,0.2125,0.379816419792815,1,closed_loop_monte_carlo,ok,ok,-711.885630839211
