Scenario,WindowDay,HistoryLength,FitIddataSeconds,ArxSeconds,ForecastOptionsSeconds,PredictIddataSeconds,PredictForecastSeconds,SirsSeconds,ClosedLoopTotalSeconds
A1,49,50,0.000712,0.101706,0.002227,0.009426,0.567606,0.368496,0.950803
A1,203,204,0.000637,0.053635,0.001029,0.00927,0.565393,0.371104,0.948237
A1,350,351,0.000717,0.032114,0.000494,0.009353,0.569111,0.385552,0.965772
A2,49,50,0.000622,0.033835,0.000572,0.008015,0.500331,0.354569,0.863523
A2,203,204,0.000667,0.02512,0.000432,0.007778,0.49597,0.335598,0.840401
A2,350,351,0.000956,0.026258,0.000206,0.008563,0.492664,0.33307,0.835744
A3,49,50,0.000609,0.025387,0.000319,0.007435,0.456561,0.332007,0.796647
A3,203,204,0.000792,0.027124,0.00033,0.011208,0.51192,0.387457,0.911347
A3,350,351,0.000676,0.024085,0.000207,0.008051,0.482366,0.335323,0.827118
A4,49,50,0.001217,0.030809,0.000323,0.00743,0.456374,0.343722,0.808097
A4,203,204,0.000503,0.024313,0.000214,0.007095,0.449509,0.321482,0.778707
A4,350,351,0.000474,0.021883,0.000425,0.00825,0.455714,0.328974,0.794341
