FunctionName,FileName,NumCalls,TotalTimeSeconds,SelfTimeSeconds
"run",/home/kaahin/MATLAB/R2025b/toolbox/matlab/lang/run.m,1,3.269693,NaN
"profile_original_partA_arx_I_inner_loop",/home/kaahin/degree_project/hybrid-epidemic-forecasting/scripts/profiling/profile_original_partA_arx_I_inner_loop.m,1,3.269209,NaN
"fit_arimax",/home/kaahin/degree_project/hybrid-epidemic-forecasting/src/models/fit_arimax.m,2,3.252828,NaN
"fit_arimax>local_closed_loop_forecast",/home/kaahin/degree_project/hybrid-epidemic-forecasting/src/models/fit_arimax.m,2,2.647458,NaN
"idmodel.forecast",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/@idmodel/forecast.m,28,1.764211,NaN
"idParametric.forecast_",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/@idParametric/forecast_.m,28,1.411578,NaN
"polydata.forecast",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@polydata/forecast.m,28,1.220207,NaN
"ltidata.forecast",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@ltidata/forecast.m,28,1.218623,NaN
"ltidata.data2state",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@ltidata/data2state.m,28,0.914499,NaN
"fit_arimax>local_advance_sirs_one_day",/home/kaahin/degree_project/hybrid-epidemic-forecasting/src/models/fit_arimax.m,28,0.84816,NaN
"genData_SIRS",/home/kaahin/degree_project/hybrid-epidemic-forecasting/src/models/genData_SIRS.m,28,0.845569,NaN
"genData_SIRS>local_simulate_effectiveRt",/home/kaahin/degree_project/hybrid-epidemic-forecasting/src/models/genData_SIRS.m,28,0.843665,NaN
"genData_SIRS>local_simulate_beta_interval",/home/kaahin/degree_project/hybrid-epidemic-forecasting/src/models/genData_SIRS.m,28,0.831809,NaN
"ltidata.idss",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@ltidata/idss.m,116,0.573055,NaN
"arx",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/arx.m,2,0.548984,NaN
"ltidata.convertToIDSS",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@ltidata/convertToIDSS.m,28,0.536439,NaN
"ltidata.ltidata>ltidata.translatecov",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@ltidata/ltidata.m,28,0.53362,NaN
"polydata.ss",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@polydata/ss.m,146,0.510076,NaN
"ltidata.convertToIDSS>@(x)idss(x,[],false)",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@ltidata/convertToIDSS.m,112,0.444713,NaN
"idpoly.arx_",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/@idpoly/arx_.m,2,0.373266,NaN
"ltidata.computeModelQualityMetrics",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@ltidata/computeModelQualityMetrics.m,2,0.274148,NaN
"Continuous>Continuous.Continuous",/home/kaahin/MATLAB/R2025b/toolbox/shared/controllib/general/+param/Continuous.m,3446,0.255142,NaN
"ssdata.gradOutputTDSim",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@ssdata/gradOutputTDSim.m,56,0.24949,NaN
"polydata.predict",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/+idpack/@polydata/predict.m,4,0.244456,NaN
"iddata.pvget",/home/kaahin/MATLAB/R2025b/toolbox/ident/ident/@iddata/pvget.m,826,0.237362,NaN
