Scenario,Model,ExoMode,GroupCount,Mean_RMSE,Std_RMSE,Min_RMSE,Max_RMSE
A1,ARIMAX,Both,44,4.25286763972393e-09,5.28470272466409e-09,1.19874598739638e-10,2.36104125363144e-08
A1,ARIMA,None,44,3.54158018141576e-09,3.40281814533015e-09,2.03124877555695e-10,1.68409854608511e-08
A1,N4SID,Both,44,6.93895136105933e-06,9.8367648023596e-06,2.776756872972e-09,3.46008895235599e-05
A1,SSEST,Both,44,6.90234955502377e-06,9.83950879561376e-06,2.77527110679272e-09,3.46009365953657e-05
A2,ARIMAX,Both,44,0.693778996378845,2.29162163167026,6.7279567636584e-14,9.2995819604578
A2,ARIMA,None,44,0.498356922339843,1.86818470311654,6.7279567636584e-14,8.94989529694475
A2,N4SID,Both,44,0.363768909529544,1.62377255008545,6.7279567636584e-14,7.85963530643747
A2,SSEST,Both,44,0.364083815097584,1.62371115292608,6.7279567636584e-14,7.85965541065594
A3,ARIMAX,Both,44,5.60097829556793e-05,0.000225807718493208,1.90214098321177e-07,0.0014522755640811
A3,ARIMA,None,44,8.12463075203627e-06,9.21348397850108e-06,2.90913264093444e-07,5.3340551884072e-05
A3,N4SID,Both,44,0.000564282029538782,0.000561260685570139,2.81137730181055e-05,0.0023432951813085
A3,SSEST,Both,44,0.000614479487541191,0.000571593868588027,3.56018373787628e-05,0.00220327220193134
A4,ARIMAX,Both,44,4.03041892869688e-05,0.000135442681736546,6.82976441379837e-07,0.000839454540052423
A4,ARIMA,None,44,7.86189257220556e-06,6.24052507155622e-06,2.19940432061803e-07,2.53717868563146e-05
A4,N4SID,Both,44,0.000445144260771414,0.000325123848526189,9.33643826877418e-06,0.00152315812608894
A4,SSEST,Both,44,0.000511129080287186,0.000356581837184203,9.21961084272957e-06,0.00147646061124118
