Scenario,Model,ExoMode,GroupCount,Mean_RMSE,Std_RMSE,Min_RMSE,Max_RMSE
A1,ARIMAX,Both,44,0.000159041969125044,9.3666704360101e-05,4.80379825251108e-06,0.000377862053325395
A1,ARIMA,None,44,0.000161303583580355,8.71516095091724e-05,9.85623958756297e-06,0.000318970037735982
A1,N4SID,Both,44,6.93895136105933e-06,9.8367648023596e-06,2.776756872972e-09,3.46008895235599e-05
A1,SSEST,Both,44,6.90234955502377e-06,9.83950879561376e-06,2.77527110679272e-09,3.46009365953657e-05
A2,ARIMAX,Both,44,0.0365407933485884,0.128744344252679,6.7279567636584e-14,0.6219809228075
A2,ARIMA,None,44,0.0367445779534471,0.136048446265379,6.7279567636584e-14,0.623749698720062
A2,N4SID,Both,44,0.363768909529544,1.62377255008545,6.7279567636584e-14,7.85963530643747
A2,SSEST,Both,44,0.364083815097584,1.62371115292608,6.7279567636584e-14,7.85965541065594
A3,ARIMAX,Both,44,0.0062957339515621,0.00501276526893781,0.000540267674953782,0.0229688910181334
A3,ARIMA,None,44,0.00583526097822435,0.00473681159275209,0.00045719849373953,0.019143750853814
A3,N4SID,Both,44,0.000564282029538782,0.000561260685570139,2.81137730181055e-05,0.0023432951813085
A3,SSEST,Both,44,0.000614479487541191,0.000571593868588027,3.56018373787628e-05,0.00220327220193134
A4,ARIMAX,Both,44,0.00565211671110681,0.00401666156176657,0.000127061243917854,0.013822441154758
A4,ARIMA,None,44,0.0058362748531886,0.0042459139676179,0.000412422451258366,0.0155398806470799
A4,N4SID,Both,44,0.000445144260771414,0.000325123848526189,9.33643826877418e-06,0.00152315812608894
A4,SSEST,Both,44,0.000511129080287186,0.000356581837184203,9.21961084272957e-06,0.00147646061124118
