Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,WIS
A1,ARX,Both,49,1,50,1.4966032770697,1.49660327754787,1.91109968591026e-10
A1,ARX,Both,49,2,51,1.49487796559399,1.49487796847638,0.000260766800784249
A1,ARX,Both,49,3,52,1.49280316518971,1.49280317544132,0.000502958096365544
A1,ARX,Both,49,4,53,1.49038133490722,1.49038136288303,0.000727061073504383
A1,ARX,Both,49,5,54,1.48761534509619,1.48761540980249,0.000933895695471536
A1,ARX,Both,49,6,55,1.48450847400365,1.48450860742535,0.00112462041662396
A1,ARX,Both,49,7,56,1.48106440388863,1.48106465653236,0.00130073090852163
A1,ARX,Both,49,8,57,1.47728721665793,1.47728766446399,0.00146404884341165
A1,ARX,Both,49,9,58,1.47318138902826,1.4731821418024,0.00161669729635424
A1,ARX,Both,49,10,59,1.46875178722047,1.4687529987162,0.00176105930770011
A1,ARX,Both,49,11,60,1.46400366119206,1.46400554095961,0.00189971689666461
A1,ARX,Both,49,12,61,1.45894263841497,1.45894546551505,0.00203536961656581
A1,ARX,Both,49,13,62,1.45357471720592,1.45357885585796,0.00217073466189792
A1,ARX,Both,49,14,63,1.44790625961717,1.4479121768115,0.00230843423148637
A1,ARX,Both,56,1,57,1.47728721665793,1.47728721731207,3.08646293708155e-10
A1,ARX,Both,56,2,58,1.47318138902826,1.47318139274258,0.000192669607116679
A1,ARX,Both,56,3,59,1.46875178722047,1.46875179968316,0.000388597349401955
A1,ARX,Both,56,4,60,1.46400366119206,1.46400369330854,0.00058662847346047
A1,ARX,Both,56,5,61,1.45894263841497,1.45894270860419,0.000785621350974784
A1,ARX,Both,56,6,62,1.45357471720592,1.45357485399425,0.000984454721841385
A1,ARX,Both,56,7,63,1.44790625961717,1.44790650444031,0.00118203433151236
A1,ARX,Both,56,8,64,1.44194398389628,1.44194439399894,0.00137729904620347
A1,ARX,Both,56,9,65,1.43569495652361,1.43569560782357,0.00156922644860332
A1,ARX,Both,56,10,66,1.42916658383716,1.42916757359045,0.00175683791336904
A1,ARX,Both,56,11,67,1.42236660325458,1.42236805233343,0.00193920316097842
A1,ARX,Both,56,12,68,1.41530307410279,1.41530512867313,0.00211544428839349
A1,ARX,Both,56,13,69,1.40798436806609,1.4079872004251,0.00228473927547347
A1,ARX,Both,56,14,70,1.40041915926406,1.40042296757221,0.00244632496732508
A1,ARX,Both,63,1,64,1.44194398389628,1.44194398436773,1.76676579539187e-10
A1,ARX,Both,63,2,65,1.43569495652361,1.43569495895147,0.000194054350202259
A1,ARX,Both,63,3,66,1.42916658383716,1.42916659114457,0.000388652459583219
A1,ARX,Both,63,4,67,1.42236660325458,1.42236661989281,0.000582620233033738
A1,ARX,Both,63,5,68,1.41530307410279,1.41530310556328,0.000774824815270395
A1,ARX,Both,63,6,69,1.40798436806609,1.40798441954543,0.000964179338375781
A1,ARX,Both,63,7,70,1.40041915926406,1.40041923318925,0.00114964713412091
A1,ARX,Both,63,8,71,1.39261641397097,1.39261650607342,0.00133024545765307
A1,ARX,Both,63,9,72,1.384585379989,1.38458547359973,0.00150504871325226
A1,ARX,Both,63,10,73,1.37633557568774,1.37633563391367,0.00167319117618677
A1,ARX,Both,63,11,74,1.36787677872305,1.36787673415721,0.00183387911186715
