na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
4,1,1,0.000954463296166261,0.0437668404120927,0.00646849007450922,0.00684101491733188,0.014507702175025,1
4,1,5,0.00335770459818282,0.0429372280606196,0.00700213403021243,0.00669226673692855,0.0149973333564858,2
4,1,4,0.00120064804884524,0.0430923956142829,0.00965946945135204,0.00876951763148963,0.0156805076864925,3
4,1,2,0.0010016815725635,0.0434370869232254,0.00722011559453133,0.0125970924995299,0.0160639941474626,4
4,1,7,0.00288260282503152,0.0428754815057168,0.00747065623894675,0.0121702253851677,0.0163497414887157,5
2,1,7,0.00349959834215987,0.0298340390105913,0.0216274697784318,0.020787717491093,0.018937206155569,6
2,1,6,0.00309400463648842,0.0299874551081186,0.0225224988615112,0.0211235513809926,0.0191818774967777,7
2,1,4,0.00205219711434959,0.0305202236810155,0.0249518625233175,0.0219675702580833,0.0198729633941915,8
2,1,5,0.00745738595554539,0.0302097377754553,0.0236390992590511,0.0215117411679796,0.0207044910395079,9
2,1,3,0.00361640571102298,0.0309325365568797,0.0264770884786762,0.0224372926829978,0.0208658308573942,10
2,1,2,0.00397333103574233,0.0314583851522112,0.028512363875495,0.0230500321484335,0.0217485280529705,11
2,1,1,0.0041805068124656,0.0319378911129321,0.0324261575012679,0.0263085308522034,0.0237132715697172,12
1,1,6,0.040920957017881,0.0325020009289182,0.0833123642038436,0.0870676544555007,0.0609507441515359,13
1,1,5,0.0389420223661719,0.0336597224878912,0.0842730098510201,0.0872050598609587,0.0610199536415105,14
1,1,7,0.0431740572205684,0.0315884722911375,0.0833858543990419,0.087562366391595,0.0614276875755857,15
1,1,4,0.0376207620496487,0.0350753219105531,0.0865044364810029,0.0882040588854343,0.0618511448316597,16
1,1,3,0.0371677963252128,0.0367803364048294,0.090595466094478,0.0905763121409374,0.0637799777413644,17
1,1,2,0.0374144434330373,0.0388062820710329,0.0978770110912219,0.0954280112315613,0.0673814369567134,18
4,3,6,0.00245789057775504,0.0568383700042551,0.0295509501394509,0.187515417496751,0.0690906570545529,19
4,4,7,0.00206969099288808,0.0757553913292314,0.0365398565497617,0.173103951399833,0.0718672225679286,20
1,1,1,0.0382582084227943,0.041198681528174,0.110804420032162,0.104773032136505,0.0737585855299088,21
4,4,6,0.00230935726443282,0.0935734894789874,0.0327489028115042,0.170845957298785,0.0748694267134274,22
4,5,7,0.0020023806881917,0.0774900846894941,0.0389495321955964,0.191497461993495,0.0774848648916944,23
