na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
7,2,1,4.82519037341553e-07,0.0311440049679708,0.000702236081503786,0.00124502501888143,0.00827293714684834,1
7,2,2,0.00172953710060778,0.0311077990386796,0.000635887344977179,0.000595110962145446,0.00851708361160251,2
6,2,1,3.7079818887687e-06,0.0308087365403687,0.00257820321479402,0.00135452695050592,0.00868629367188935,3
7,2,3,0.0018184871359222,0.0311073680100851,0.00170151343881879,0.00129831204011761,0.00898142015623593,4
8,2,3,0.000861089520138086,0.0355946367522387,0.000463528066228422,0.000250480808592678,0.00929243378679947,5
8,2,2,1.72757323755312e-07,0.0354344553327012,0.00185599603007101,0.00028185923602244,0.00939312083902959,6
7,1,2,4.8747204948983e-07,0.0248340252822034,0.00575812856955122,0.00781845396602123,0.00960277382245634,7
7,2,4,0.0044361925514136,0.0310170499146799,0.000555526400086714,0.00336649627980975,0.00984381628649748,8
6,2,3,3.71348364497317e-06,0.0332781368938587,0.00112919324712036,0.00539318826059006,0.00995105797130351,9
6,1,1,3.73941310727993e-06,0.0332833728123654,0.000793109940320245,0.00641727526905154,0.0101243743587111,10
6,3,4,0.00166102519626373,0.0345785123097192,0.00246290073338543,0.00191134846954656,0.0101534466772287,11
8,1,1,0.00556649838160205,0.034792914751958,0.000179385417179824,0.000175511712973288,0.0101785775659283,12
7,1,3,0.00307185015100872,0.0310690824969037,0.00168163535366308,0.00607332587741462,0.0104739734697475,13
10,1,4,0.00164236527305421,0.0397711244585476,0.00143229046130655,6.19605129693339e-05,0.0107269351764694,14
9,3,2,0.00147643635594928,0.0254653869272512,0.00753917994857096,0.00908167408148839,0.010890669328315,15
7,1,4,0.00168346264687679,0.0311098887095871,0.000477041949701822,0.0103325711154495,0.0109007411054038,16
10,3,3,0.00294979374614258,0.0396540154749799,0.000527331782800047,0.00083202025962499,0.0109907903158869,17
8,1,2,1.66656715100344e-07,0.035389747188645,0.00809689515875521,0.000497612538727049,0.0109961053857106,18
10,1,2,0.00172679231163776,0.0391422158049662,0.00340645319668705,6.19893263793423e-05,0.0110843626599176,19
10,2,3,3.87074287880843e-08,0.0290603732515006,0.00903469646174769,0.00637238870469672,0.0111168742813434,20
7,3,2,0.00242560767847571,0.0308466876047496,0.00647807219747628,0.00497541189245018,0.0111814448432879,21
7,3,4,0.00161184945473682,0.0309370461782324,0.0114268288417518,0.00122609591999702,0.0113004550986795,22
7,4,4,5.13489446733771e-07,0.0308728793665955,0.0108219953915517,0.00403835588892365,0.0114334360341294,23
8,2,1,1.64096467238204e-07,0.0353887593541305,0.0100159959321944,0.000331627811181443,0.0114341367984934,24
10,2,1,0.00240426010142952,0.0397553433929328,0.00221588441892734,0.00208128198915231,0.0116141924756105,25
7,3,1,0.00614940517091924,0.0309461062567673,0.00321650595801425,0.00651964963049361,0.0117079167540486,26
7,1,1,0.00161181875341258,0.0311091644033415,0.00521235474098536,0.00892465933997786,0.0117144993094293,27
6,3,3,9.49098896576019e-05,0.0331793998573296,0.00349214916393327,0.0107444118696833,0.011877717695151,28
6,2,2,0.00246101973203707,0.0330414845580158,0.00258379156704129,0.00973951087634564,0.01195645168336,29
10,3,4,0.00146830609312416,0.0397659897450203,0.000340547674370481,0.00643812644097022,0.0120032424883713,30
6,3,2,3.76157452834379e-06,0.0330080447644002,0.00824499625818296,0.00694821158003117,0.0120512535442857,31
8,3,3,1.88895360421255e-07,0.0384356898864302,0.00584148524156346,0.00403959276950408,0.0120792391982145,32
6,1,2,3.7757837108334e-06,0.0327625556325102,0.00993581850954544,0.00572636126441868,0.0121071277975463,33
6,3,1,0.00235523412302549,0.0317301599400251,0.00531145497164959,0.00928290801384621,0.0121699392621366,34
6,4,4,0.0033554139193371,0.0335739489132554,0.00832832407927033,0.00381444310408923,0.012268032503988,35
7,3,3,5.26775206685681e-07,0.0309379874519669,0.0170355435220894,0.00147368896707072,0.0123619366790834,36
6,2,4,0.00285000096731305,0.0332644078534296,0.00573864489193805,0.00803623517855771,0.0124723222228096,37
10,4,4,0.00313405296521661,0.0400165702388198,0.00390021741253125,0.00339034574024018,0.012610296589202,38
8,3,1,0.00450826189860029,0.0355243703883331,0.0080983717423455,0.00256611937337334,0.0126742808506631,39
8,2,4,1.699866973091e-07,0.0355909495365491,0.0103594566622742,0.00539559741779241,0.0128365434008282,40
8,1,3,0.00113636297000814,0.0351919379794132,0.00562858946005646,0.00940765708168007,0.0128411368727895,41
6,1,3,0.00142429747249705,0.0332729719985023,0.006874836859062,0.010683306655097,0.0130638532462896,42
8,4,4,0.00768393185567377,0.0359142812287882,0.00363061464738833,0.00538364828698733,0.0131531190047094,43
10,3,1,0.00459868615980937,0.039816259478445,0.0017507400637198,0.00646439158348149,0.0131575193213639,44
10,3,2,4.32899842226421e-08,0.039492375562737,0.00814740017181105,0.00620101913618049,0.0134602095401782,45
10,1,1,4.13287680941622e-08,0.039520756804542,0.00376032767464692,0.0107234693522129,0.0135011487900425,46
6,4,2,3.78315017194523e-06,0.033638551542911,0.0180121316117403,0.00298055541925015,0.0136587554310184,47
10,2,4,0.00222091979416966,0.0396214734503441,0.00975655069109898,0.00305657504150102,0.0136638797442784,48
4,4,4,0.000130051500058113,0.0426564627094108,0.00712018199778087,0.00477730057475228,0.0136709991955005,49
10,1,3,0.00243822939698245,0.0398003949309916,0.00444480861454845,0.00895278250807263,0.0139090538626488,50
8,1,4,1.69326779941223e-07,0.0356199819815373,0.0156585742119069,0.00445432004875072,0.0139332613922437,51
8,3,4,0.00146022704543308,0.0358693492466888,0.0150500913478175,0.00444539125966949,0.0142062647249022,52
10,4,3,5.07602580112561e-08,0.0396847659529531,0.0129269871716456,0.00667143346659358,0.0148208093378626,53
8,4,3,0.00197424184741964,0.0359182789324569,0.00829482721989994,0.0136468146423228,0.0149585406605248,54
6,4,1,3.7798548746749e-06,0.033064856217911,0.0163595444476128,0.0105339622489281,0.0149905356923316,55
4,2,3,0.00299370743320015,0.0421298015868425,0.0059981748521281,0.0100455232814961,0.0152918017884167,56
4,3,3,0.000504682039616983,0.0424574902350877,0.0129006277316086,0.00598924945627188,0.0154630123656463,57
8,3,2,0.00258786132649017,0.0355545651479182,0.00931778385546835,0.0159570787581333,0.0158543222720025,58
10,4,2,9.59891680326507e-05,0.0399998754571602,0.0152292031955204,0.00833126276992494,0.0159140826476595,59
10,2,2,0.00199885584937828,0.0407785933904348,0.0070761173550193,0.0150967874107192,0.0162375885013879,60
4,2,4,0.000131811324521431,0.0421521567124788,0.00957318478663642,0.0131490338393023,0.0162515466657347,61
4,1,2,0.00132721592735814,0.0424311601672505,0.0163623414743778,0.00578720714198388,0.0164769811777426,62
4,2,1,0.00123979971758325,0.0416159593037848,0.0135268870393937,0.00991977797965774,0.0165756060101049,63
8,4,2,1.9782139274253e-07,0.0359167056642596,0.0280175657722495,0.00252195967766783,0.0166141072338924,64
7,4,3,0.00161186778751816,0.0308646873204702,0.0216083098101425,0.012669387318001,0.016688563059033,65
4,2,2,0.0037668381481729,0.0424360855637619,0.0134341351850523,0.00743271826266063,0.0167674442899119,66
4,3,4,0.0015887396757077,0.042498397701662,0.00469039726366191,0.0199821794242906,0.0171899285163306,67
4,1,4,0.00134332025573096,0.0420387469660207,0.014781440937429,0.0111831685242666,0.0173366691708618,68
4,1,3,0.00209955922359025,0.0424098106053503,0.00575168161851472,0.0198389309764733,0.0175249956059821,69
4,4,3,0.000490925525028058,0.0420586349158692,0.0128852909400337,0.0147038884350952,0.0175346849540066,70
10,4,1,0.00347231339856386,0.0395244226003707,0.0230163372843464,0.00470646856893073,0.0176798854630529,71
4,4,1,0.00127979741337787,0.0429547746186878,0.0204857217410175,0.0100900407101321,0.0187025836208038,72
4,3,2,0.000132242399632947,0.0417953194951359,0.0200739403922069,0.0223020670090243,0.021075892324,73
7,4,2,0.000869180259165966,0.0309594103386498,0.0467185180692775,0.00994980324008567,0.0221242279767947,74
4,4,2,0.00303421508218939,0.0428738390084202,0.0226440760209362,0.0232180955658134,0.0229425564193398,75
6,4,3,0.00121393254515502,0.0327957858071935,0.0604969699900703,0.00496190677879926,0.0248671487803045,76
