na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
4,1,6,0.00236752474926352,0.0421473486229116,0.00643529882880866+0i,0.00632410087257957+0i,0.0143185682683908+0i,1
4,3,6,0.00237127678929092,0.0424707134973513,0.00647669614462983+0i,0.00637646274290099+0i,0.0144237872935433+0i,2
4,3,7,0.00234519668075397,0.0424721258284521,0.00649532990863496+0i,0.00638271141853757+0i,0.0144238409590947+0i,3
4,3,5,0.0023902769391756,0.042475855969618,0.00645197039852197+0i,0.00638055289429358+0i,0.0144246640504023+0i,4
4,5,6,0.00237639376686951,0.0426841888232559,0.00650989278710352+0i,0.0064562019879157+0i,0.0145066693412861+0i,5
4,2,4,0.00191106805824347,0.0424075773264743,0.0112914719520018+0i,0.00782320939274459+0i,0.015858331682366+0i,6
4,3,4,0.00189904454759246,0.0425865080541349,0.0112067901410583+0i,0.00790489127929723+0i,0.0158993085055207+0i,7
4,5,5,0.0018482412977116,0.0426766279231875,0.0120141411707242+0i,0.00808778730025504+0i,0.0161566994229696+0i,8
4,6,6,0.00181271863538653,0.0428312514458913,0.0124355700619011+0i,0.00800049270272227+0i,0.0162700082114753+0i,9
4,7,7,0.00179254330926854,0.0428716076755609,0.0158548113526893+0i,0.00791819903022488+0i,0.0171092903419359+0i,10
2,4,5,0.00388014647988702,0.0290341663261615,0.020372090957497+0i,0.0207445494576291+0i,0.0185077383052936+0i,11
2,4,6,0.00389927005896334,0.0290273709730153,0.0203471410582961+0i,0.021048446229061+0i,0.0185805570798339+0i,12
2,3,7,0.00389997880757299,0.0289237938902705,0.0208564039303218+0i,0.0208669100429073+0i,0.0186367716677682+0i,13
2,3,6,0.00389869464212353,0.0289258010243914,0.0209195584779576+0i,0.0208471744269969+0i,0.0186478071428673+0i,14
2,3,5,0.0038909984379597,0.0289300965674047,0.0209968378888336+0i,0.0208085488632916+0i,0.0186566204393724+0i,15
2,4,7,0.00390563328601995,0.0290236832729001,0.0203299796256796+0i,0.0213753787289292+0i,0.0186586687283822+0i,16
2,3,4,0.00387162690650706,0.0289377169964345,0.021039386142265+0i,0.0208200485218096+0i,0.018667194641754+0i,17
2,5,6,0.00389084166228263,0.0291083288555684,0.0198958762426809+0i,0.0219226432423637+0i,0.0187044225007239+0i,18
2,2,7,0.00389431163147968,0.0287952043582963,0.0215122672172778+0i,0.0211550157463377+0i,0.0188391997383479+0i,19
