p,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
2,0.00396076648700958,0.0244171252496388,0.020115142497855,0.021234189047793,0.0174318058205741,1
1,0.0328369688190365,0.0299255507205196,0.0922284414540922,0.0958505969794869,0.0627103894932838,2
3,0.000374533756108726,2.82876829760085,0.00471697236632831,0.00491192760978528,0.709692932833269,3
5,1.19536481354857e-05,78776.918261194,0.000847378132640702,0.000879066837646028,19694.2299998981,4
7,2.24048382877326e-05,40748297094.1324,0.000169505645661159,0.000187856033940128,10187074273.5332,5
8,1.69440022044194e-05,43466922690779.1,7.72386358696392e-05,7.81141137418859e-05,10866730672694.8,6
9,8.9111023774556e-06,7.86363159133852e+16,4.09598660412833e-05,4.6011399423804e-05,1.96590789783463e+16,7
10,5.84394081804587e-06,1.24293305350124e+20,2.87952932105241e-05,2.69230002089069e-05,3.1073326337531e+19,8
6,4.82765051191929e-06,5.02203304975095e+24,0.000292415121188669,0.000307854508442913,1.25550826243774e+24,9
4,7.97890570928149e-05,4.35141593749366e+293,0.00210129119227863,0.00219021497836407,1.08785398437341e+293,10
